Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,57.938044762767106,8,Mustard,H
2,1851,59.65433884598375,8,Mustard,H
3,1852,61.330998920668364,9,Mauve,I
4,1853,61.67402485446192,9,Mauve,I
5,1854,62.25925745697646,9,Mauve,I
6,1855,66.70725150604947,9,Mauve,I
7,1856,60.96979011267408,9,Mauve,I
8,1857,63.71289145269161,9,Mauve,I
9,1858,62.13159925071546,9,Mauve,I
10,1859,62.914917442347516,9,Mauve,I
11,1860,60.51057903065112,9,Mauve,I
12,1861,60.33931116742445,9,Mauve,I
13,1862,65.02294212475728,9,Mauve,I
14,1863,65.87219478755834,9,Mauve,I
15,1864,66.33561289524502,9,Mauve,I
16,1865,56.76491350153157,8,Mustard,H
17,1866,66.90172681285482,9,Mauve,I
18,1867,64.09208168908874,9,Mauve,I
19,1868,63.72593780497629,9,Mauve,I
20,1869,61.49819370827763,9,Mauve,I
21,1870,66.90748974969641,9,Mauve,I
22,1871,70.4250229165997,10,Brown,J
23,1872,65.14135186617334,9,Mauve,I
24,1873,64.8354697584726,9,Mauve,I
25,1874,64.64745326602369,9,Mauve,I
26,1875,65.86611001292361,9,Mauve,I
27,1876,57.8641326875439,8,Mustard,H
28,1877,66.57514163507747,9,Mauve,I
29,1878,72.16079950002987,10,Brown,J
30,1879,63.60070013873471,9,Mauve,I
31,1880,62.81745401039834,9,Mauve,I
32,1881,64.79104983918235,9,Mauve,I
33,1882,63.96059411940556,9,Mauve,I
34,1883,62.377362966474514,9,Mauve,I
35,1884,58.836262669123066,8,Mustard,H
36,1885,62.81131850006648,9,Mauve,I
37,1886,66.08456640343167,9,Mauve,I
38,1887,67.4566629810087,9,Mauve,I
39,1888,60.01533532403928,9,Mauve,I
40,1889,61.71927893562352,9,Mauve,I
41,1890,65.7838511828956,9,Mauve,I
42,1891,63.24990868888215,9,Mauve,I
43,1892,69.4485188972644,9,Mauve,I
44,1893,60.344393355788974,9,Mauve,I
45,1894,63.29550899920248,9,Mauve,I
46,1895,64.88707017821393,9,Mauve,I
47,1896,69.41424435935551,9,Mauve,I
48,1897,62.34363310131651,9,Mauve,I
49,1898,69.30560775283634,9,Mauve,I
50,1899,64.71862983479504,9,Mauve,I
51,1900,70.83327145476649,10,Brown,J
52,1901,70.79663219838723,10,Brown,J
53,1902,65.82203910367485,9,Mauve,I
54,1903,65.12466704676596,9,Mauve,I
55,1904,69.77709344259316,9,Mauve,I
56,1905,68.95227259727376,9,Mauve,I
57,1906,60.46364149304475,9,Mauve,I
58,1907,68.95441589119096,9,Mauve,I
59,1908,67.23868610538109,9,Mauve,I
60,1909,70.13757151141239,10,Brown,J
61,1910,71.85671254385974,10,Brown,J
62,1911,58.19552906136068,8,Mustard,H
63,1912,68.51289526044054,9,Mauve,I
64,1913,64.83790691516948,9,Mauve,I
65,1914,73.70652702038892,10,Brown,J
66,1915,67.58006024448093,9,Mauve,I
67,1916,71.44196758622607,10,Brown,J
68,1917,66.91693856536544,9,Mauve,I
69,1918,65.40389314688223,9,Mauve,I
70,1919,61.51694690028891,9,Mauve,I
71,1920,66.4114635141087,9,Mauve,I
72,1921,67.74192666952825,9,Mauve,I
73,1922,64.6964435410931,9,Mauve,I
74,1923,63.69332702052783,9,Mauve,I
75,1924,70.67739064411981,10,Brown,J
76,1925,61.713990427409726,9,Mauve,I
77,1926,62.20411078819466,9,Mauve,I
78,1927,59.201451992943426,8,Mustard,H
79,1928,64.31893659995303,9,Mauve,I
80,1929,65.06988925164539,9,Mauve,I
81,1930,65.68239261542925,9,Mauve,I
