Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.235735749017703,3,CornflowerBlue,C
2,1851,12.494236895272232,3,CornflowerBlue,C
3,1852,13.796900060664369,3,CornflowerBlue,C
4,1853,13.321886307648112,3,CornflowerBlue,C
5,1854,12.163755806762248,3,CornflowerBlue,C
6,1855,12.779417754741758,3,CornflowerBlue,C
7,1856,13.57746776376414,3,CornflowerBlue,C
8,1857,12.986265813147886,3,CornflowerBlue,C
9,1858,12.66074191136935,3,CornflowerBlue,C
10,1859,14.330997776010413,3,CornflowerBlue,C
11,1860,12.109358303895096,3,CornflowerBlue,C
12,1861,14.34492068276559,3,CornflowerBlue,C
13,1862,13.715342051242663,3,CornflowerBlue,C
14,1863,13.092448570011697,3,CornflowerBlue,C
15,1864,14.825211618103019,3,CornflowerBlue,C
16,1865,13.691736124283329,3,CornflowerBlue,C
17,1866,14.045397872423912,3,CornflowerBlue,C
18,1867,14.004889417371034,3,CornflowerBlue,C
19,1868,14.533214469972892,3,CornflowerBlue,C
20,1869,13.79109593184573,3,CornflowerBlue,C
21,1870,14.040353480017485,3,CornflowerBlue,C
22,1871,13.782361474163839,3,CornflowerBlue,C
23,1872,13.370812508854396,3,CornflowerBlue,C
24,1873,14.854794500925234,3,CornflowerBlue,C
25,1874,13.646543434198348,3,CornflowerBlue,C
26,1875,14.254153441945883,3,CornflowerBlue,C
27,1876,14.24762650582969,3,CornflowerBlue,C
28,1877,14.6363097992183,3,CornflowerBlue,C
29,1878,13.76572558374899,3,CornflowerBlue,C
30,1879,13.557031160709053,3,CornflowerBlue,C
31,1880,14.429108531986182,3,CornflowerBlue,C
32,1881,14.554837080624914,3,CornflowerBlue,C
33,1882,14.411821524398519,3,CornflowerBlue,C
34,1883,14.405058147956069,3,CornflowerBlue,C
35,1884,14.782657153143758,3,CornflowerBlue,C
36,1885,15.388579334875597,4,LightYellow,D
37,1886,15.087999723002376,4,LightYellow,D
38,1887,15.07873103026433,4,LightYellow,D
39,1888,15.403848310399628,4,LightYellow,D
40,1889,15.260813433247897,4,LightYellow,D
41,1890,14.506203478825626,3,CornflowerBlue,C
42,1891,15.693598456628079,4,LightYellow,D
43,1892,14.482376287682909,3,CornflowerBlue,C
44,1893,14.596587234678186,3,CornflowerBlue,C
45,1894,16.16566982151572,4,LightYellow,D
46,1895,15.78905925193622,4,LightYellow,D
47,1896,14.87630447250132,3,CornflowerBlue,C
48,1897,16.031997732250726,4,LightYellow,D
49,1898,15.335348346135708,4,LightYellow,D
50,1899,15.993876328904117,4,LightYellow,D
51,1900,16.085701256010815,4,LightYellow,D
52,1901,16.902994876862245,4,LightYellow,D
53,1902,16.28957710263298,4,LightYellow,D
54,1903,16.495958989052045,4,LightYellow,D
55,1904,16.30102293611304,4,LightYellow,D
56,1905,17.530049386209743,4,LightYellow,D
57,1906,16.66869474368693,4,LightYellow,D
58,1907,18.360747050139892,4,LightYellow,D
59,1908,18.389129783834697,4,LightYellow,D
60,1909,17.26910335412204,4,LightYellow,D
61,1910,17.836743289125796,4,LightYellow,D
62,1911,17.57842101062127,4,LightYellow,D
63,1912,17.614311454572174,4,LightYellow,D
64,1913,17.924576949365846,4,LightYellow,D
65,1914,17.419953388776012,4,LightYellow,D
66,1915,16.470225004252345,4,LightYellow,D
67,1916,17.712734153944872,4,LightYellow,D
68,1917,15.775422150603463,4,LightYellow,D
69,1918,16.31030775045847,4,LightYellow,D
70,1919,16.65926318867969,4,LightYellow,D
71,1920,16.226803415507778,4,LightYellow,D
72,1921,15.626171863951988,4,LightYellow,D
73,1922,16.180267381252904,4,LightYellow,D
74,1923,16.448638311400515,4,LightYellow,D
75,1924,18.09424032976011,4,LightYellow,D
76,1925,17.155958921328125,4,LightYellow,D
77,1926,18.27234776848745,4,LightYellow,D
78,1927,18.414671614947935,4,LightYellow,D
79,1928,17.566101624569058,4,LightYellow,D
80,1929,18.484328242009997,4,LightYellow,D
81,1930,17.92672310138352,4,LightYellow,D
82,1931,17.84856468041612,4,LightYellow,D
83,1932,16.800322020909324,4,LightYellow,D
84,1933,16.771294990216955,4,LightYellow,D
85,1934,17.043119000116437,4,LightYellow,D
86,1935,17.68294675219456,4,LightYellow,D
87,1936,18.05123596347039,4,LightYellow,D
88,1937,18.941454930117185,4,LightYellow,D
89,1938,19.263645232979624,4,LightYellow,D
90,1939,20.344290998116065,5,Vanilla,E
91,1940,18.82392696745862,4,LightYellow,D
92,1941,18.527790903334076,4,LightYellow,D
93,1942,18.30030809179246,4,LightYellow,D
94,1943,17.32687019451939,4,LightYellow,D
95,1944,15.248213432271053,4,LightYellow,D
96,1945,14.483731770791374,3,CornflowerBlue,C
97,1946,16.623643338339942,4,LightYellow,D
98,1947,19.211850343999302,4,LightYellow,D
99,1948,18.774618415607176,4,LightYellow,D
100,1949,18.74819296378593,4,LightYellow,D
101,1950,18.937221668440504,4,LightYellow,D
102,1951,20.021918234629997,5,Vanilla,E
103,1952,19.0885592721525,4,LightYellow,D
104,1953,18.68772152511124,4,LightYellow,D
105,1954,20.121729266598592,5,Vanilla,E
106,1955,21.648119135198517,5,Vanilla,E
107,1956,20.93942600129552,5,Vanilla,E
108,1957,21.683450927743433,5,Vanilla,E
109,1958,22.20761218114819,5,Vanilla,E
110,1959,22.22643235443206,5,Vanilla,E
111,1960,23.814394244589966,5,Vanilla,E
112,1961,26.476880967429075,5,Vanilla,E
113,1962,27.87174538031391,5,Vanilla,E
114,1963,27.263959481355805,5,Vanilla,E
115,1964,28.97659789528289,5,Vanilla,E
116,1965,30.326552673364176,6,Dandelion,F
117,1966,28.90084754995771,5,Vanilla,E
118,1967,30.336433688780282,6,Dandelion,F
119,1968,30.892807836812437,6,Dandelion,F
120,1969,32.38200896905683,6,Dandelion,F
121,1970,32.33414281827033,6,Dandelion,F
122,1971,32.320646713350165,6,Dandelion,F
