Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.444771840496577,3,CornflowerBlue,C
2,1851,13.053568982169661,3,CornflowerBlue,C
3,1852,12.885422865711202,3,CornflowerBlue,C
4,1853,13.346593045635768,3,CornflowerBlue,C
5,1854,13.29499803152026,3,CornflowerBlue,C
6,1855,13.030174368573128,3,CornflowerBlue,C
7,1856,13.296344233439559,3,CornflowerBlue,C
8,1857,13.293469016755372,3,CornflowerBlue,C
9,1858,13.225353429909005,3,CornflowerBlue,C
10,1859,13.857417331911385,3,CornflowerBlue,C
11,1860,14.074558181951948,3,CornflowerBlue,C
12,1861,13.323042215204866,3,CornflowerBlue,C
13,1862,12.893109713439227,3,CornflowerBlue,C
14,1863,13.659121673884043,3,CornflowerBlue,C
15,1864,13.18739966397636,3,CornflowerBlue,C
16,1865,13.561546747169022,3,CornflowerBlue,C
17,1866,13.562578480651617,3,CornflowerBlue,C
18,1867,13.360435594944883,3,CornflowerBlue,C
19,1868,13.271002039697832,3,CornflowerBlue,C
20,1869,13.254689032435726,3,CornflowerBlue,C
21,1870,13.657720386750302,3,CornflowerBlue,C
22,1871,13.269647543757177,3,CornflowerBlue,C
23,1872,12.954152731786936,3,CornflowerBlue,C
24,1873,13.802196216568726,3,CornflowerBlue,C
25,1874,13.822267346421851,3,CornflowerBlue,C
26,1875,13.05316634235615,3,CornflowerBlue,C
27,1876,13.527441436572136,3,CornflowerBlue,C
28,1877,13.178785186388618,3,CornflowerBlue,C
29,1878,13.387917231148647,3,CornflowerBlue,C
30,1879,13.055847876259813,3,CornflowerBlue,C
31,1880,13.223132605287397,3,CornflowerBlue,C
32,1881,13.59309626644735,3,CornflowerBlue,C
33,1882,13.30566980133372,3,CornflowerBlue,C
34,1883,13.711874422051547,3,CornflowerBlue,C
35,1884,14.35005491403203,3,CornflowerBlue,C
36,1885,14.034635541967127,3,CornflowerBlue,C
37,1886,13.824714488863693,3,CornflowerBlue,C
38,1887,13.68224367630012,3,CornflowerBlue,C
39,1888,13.20683598149489,3,CornflowerBlue,C
40,1889,13.014855348061646,3,CornflowerBlue,C
41,1890,13.548863201084833,3,CornflowerBlue,C
42,1891,13.460641180851335,3,CornflowerBlue,C
43,1892,14.092887342551697,3,CornflowerBlue,C
44,1893,13.747178207969371,3,CornflowerBlue,C
45,1894,13.42935997045542,3,CornflowerBlue,C
46,1895,13.730468791527088,3,CornflowerBlue,C
47,1896,13.52753777535644,3,CornflowerBlue,C
48,1897,14.00093339036437,3,CornflowerBlue,C
49,1898,13.591884132320068,3,CornflowerBlue,C
50,1899,13.751366795006906,3,CornflowerBlue,C
51,1900,13.627056328073499,3,CornflowerBlue,C
52,1901,13.722063136960633,3,CornflowerBlue,C
53,1902,13.872966704347126,3,CornflowerBlue,C
54,1903,13.349459516719206,3,CornflowerBlue,C
55,1904,14.266000890364529,3,CornflowerBlue,C
56,1905,14.158075252552973,3,CornflowerBlue,C
57,1906,14.08829496375859,3,CornflowerBlue,C
58,1907,14.092738058485239,3,CornflowerBlue,C
59,1908,13.982885129638712,3,CornflowerBlue,C
60,1909,14.240041703865517,3,CornflowerBlue,C
61,1910,13.923836276788878,3,CornflowerBlue,C
62,1911,13.968650334725366,3,CornflowerBlue,C
63,1912,14.165970271820727,3,CornflowerBlue,C
64,1913,13.687700403242472,3,CornflowerBlue,C
65,1914,14.164285752338914,3,CornflowerBlue,C
66,1915,13.98838017756183,3,CornflowerBlue,C
67,1916,14.485676053809438,3,CornflowerBlue,C
68,1917,13.89249431242101,3,CornflowerBlue,C
69,1918,14.2275417668714,3,CornflowerBlue,C
70,1919,14.95534781474731,3,CornflowerBlue,C
71,1920,14.236255539202112,3,CornflowerBlue,C
72,1921,14.016889723426049,3,CornflowerBlue,C
73,1922,14.935854220076678,3,CornflowerBlue,C
74,1923,14.649507579024633,3,CornflowerBlue,C
75,1924,14.369347765208046,3,CornflowerBlue,C
76,1925,14.922253920958353,3,CornflowerBlue,C
77,1926,14.82808429612005,3,CornflowerBlue,C
78,1927,14.427602546971245,3,CornflowerBlue,C
79,1928,14.432660769210184,3,CornflowerBlue,C
80,1929,14.759981856284226,3,CornflowerBlue,C
81,1930,14.967723646563133,3,CornflowerBlue,C
82,1931,14.018884548061129,3,CornflowerBlue,C
83,1932,15.344636177278508,4,LightYellow,D
84,1933,14.304821119262998,3,CornflowerBlue,C
85,1934,14.783055753282978,3,CornflowerBlue,C
86,1935,14.590061448953469,3,CornflowerBlue,C
87,1936,14.95893671815339,3,CornflowerBlue,C
88,1937,15.541709058148442,4,LightYellow,D
89,1938,15.486110604684399,4,LightYellow,D
90,1939,15.00768411328417,4,LightYellow,D
91,1940,14.798466934181558,3,CornflowerBlue,C
92,1941,15.422553528112743,4,LightYellow,D
93,1942,15.344732177552352,4,LightYellow,D
94,1943,15.10682532631868,4,LightYellow,D
95,1944,15.959746907755628,4,LightYellow,D
96,1945,15.48139817624176,4,LightYellow,D
97,1946,15.662859894181059,4,LightYellow,D
98,1947,15.261975385342991,4,LightYellow,D
99,1948,15.48392120644024,4,LightYellow,D
100,1949,15.053999721205201,4,LightYellow,D
101,1950,16.285624325834682,4,LightYellow,D
102,1951,15.230551478384736,4,LightYellow,D
103,1952,16.083060122046714,4,LightYellow,D
104,1953,15.353156556061316,4,LightYellow,D
105,1954,16.226150658549514,4,LightYellow,D
106,1955,16.04974545050239,4,LightYellow,D
107,1956,16.48188740203795,4,LightYellow,D
108,1957,16.897093674202967,4,LightYellow,D
109,1958,16.883212438065296,4,LightYellow,D
110,1959,15.943791208801633,4,LightYellow,D
111,1960,16.099310215934132,4,LightYellow,D
112,1961,16.31453702240746,4,LightYellow,D
113,1962,16.534909483457355,4,LightYellow,D
114,1963,17.376953522075635,4,LightYellow,D
115,1964,16.973146323402688,4,LightYellow,D
116,1965,16.169230834256236,4,LightYellow,D
117,1966,17.08530569777181,4,LightYellow,D
118,1967,16.61676616836485,4,LightYellow,D
119,1968,16.958242062453277,4,LightYellow,D
120,1969,17.058312870783716,4,LightYellow,D
121,1970,17.153961605504715,4,LightYellow,D
122,1971,17.27229738045978,4,LightYellow,D
123,1972,17.63055441518749,4,LightYellow,D
124,1973,17.786134435789897,4,LightYellow,D
125,1974,17.291466875669066,4,LightYellow,D
126,1975,16.88006204219824,4,LightYellow,D
127,1976,17.21733256138081,4,LightYellow,D
128,1977,17.973665945601223,4,LightYellow,D
129,1978,17.93811542490994,4,LightYellow,D
130,1979,17.73198683948318,4,LightYellow,D
131,1980,18.25211376765097,4,LightYellow,D
132,1981,17.166851922938825,4,LightYellow,D
133,1982,17.429290190283552,4,LightYellow,D
134,1983,17.59559336789372,4,LightYellow,D
135,1984,18.09700825285036,4,LightYellow,D
136,1985,17.434320938946485,4,LightYellow,D
137,1986,18.680702986306432,4,LightYellow,D
138,1987,18.083702825951796,4,LightYellow,D
139,1988,18.28791236124586,4,LightYellow,D
140,1989,18.399305938944686,4,LightYellow,D
141,1990,19.11253290049942,4,LightYellow,D
142,1991,18.22947177962233,4,LightYellow,D
143,1992,17.933751630703103,4,LightYellow,D
144,1993,17.858650780990843,4,LightYellow,D
145,1994,17.76726743611822,4,LightYellow,D
146,1995,17.853732923949618,4,LightYellow,D
147,1996,18.21171893339403,4,LightYellow,D
148,1997,17.57584888106898,4,LightYellow,D
149,1998,19.03064746607094,4,LightYellow,D
