Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.514428038517346,3,CornflowerBlue,C
2,1851,11.660716028067606,3,CornflowerBlue,C
3,1852,12.573004502188992,3,CornflowerBlue,C
4,1853,12.38161521442599,3,CornflowerBlue,C
5,1854,11.577856543358624,3,CornflowerBlue,C
6,1855,12.098544706431994,3,CornflowerBlue,C
7,1856,12.903120778369303,3,CornflowerBlue,C
8,1857,12.157631207402815,3,CornflowerBlue,C
9,1858,11.893408407832702,3,CornflowerBlue,C
10,1859,13.078771891039423,3,CornflowerBlue,C
11,1860,11.762623382067591,3,CornflowerBlue,C
12,1861,13.389577644978887,3,CornflowerBlue,C
13,1862,12.939928633504419,3,CornflowerBlue,C
14,1863,12.345534198438738,3,CornflowerBlue,C
15,1864,13.891899814878938,3,CornflowerBlue,C
16,1865,13.040786838682502,3,CornflowerBlue,C
17,1866,13.479282248356249,3,CornflowerBlue,C
18,1867,12.905450723081378,3,CornflowerBlue,C
19,1868,13.475723060989608,3,CornflowerBlue,C
20,1869,12.953769109940582,3,CornflowerBlue,C
21,1870,13.195729431380139,3,CornflowerBlue,C
22,1871,13.252260330233986,3,CornflowerBlue,C
23,1872,12.73723133981432,3,CornflowerBlue,C
24,1873,13.531938381177543,3,CornflowerBlue,C
25,1874,12.785400963802383,3,CornflowerBlue,C
26,1875,13.573240975154174,3,CornflowerBlue,C
27,1876,13.619118996250002,3,CornflowerBlue,C
28,1877,13.614163506375126,3,CornflowerBlue,C
29,1878,13.314023328646053,3,CornflowerBlue,C
30,1879,12.786489528679846,3,CornflowerBlue,C
31,1880,13.804389755962532,3,CornflowerBlue,C
32,1881,13.523047237483668,3,CornflowerBlue,C
33,1882,13.763083912152199,3,CornflowerBlue,C
34,1883,13.607917569215472,3,CornflowerBlue,C
35,1884,13.9916226137684,3,CornflowerBlue,C
36,1885,14.420006579630284,3,CornflowerBlue,C
37,1886,14.488248434541173,3,CornflowerBlue,C
38,1887,14.386615723764468,3,CornflowerBlue,C
39,1888,14.392023448694738,3,CornflowerBlue,C
40,1889,14.502728009866448,3,CornflowerBlue,C
41,1890,13.944947553368944,3,CornflowerBlue,C
42,1891,14.492972448515312,3,CornflowerBlue,C
43,1892,13.923434275419204,3,CornflowerBlue,C
44,1893,14.088613322494112,3,CornflowerBlue,C
45,1894,15.154548965090777,4,LightYellow,D
46,1895,15.072995726122441,4,LightYellow,D
47,1896,14.065573961103194,3,CornflowerBlue,C
48,1897,15.450649818355043,4,LightYellow,D
49,1898,14.680872441349168,3,CornflowerBlue,C
50,1899,15.56272065179758,4,LightYellow,D
51,1900,15.504182837408578,4,LightYellow,D
52,1901,16.196193953104096,4,LightYellow,D
53,1902,15.478736077229831,4,LightYellow,D
54,1903,15.786855370540193,4,LightYellow,D
55,1904,15.968243612021862,4,LightYellow,D
56,1905,16.50007200922426,4,LightYellow,D
57,1906,15.935100737270842,4,LightYellow,D
