Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.129816643708816,3,CornflowerBlue,C
2,1851,11.821160667526577,3,CornflowerBlue,C
3,1852,11.501522201089475,3,CornflowerBlue,C
4,1853,13.23870080816593,3,CornflowerBlue,C
5,1854,12.77971976811883,3,CornflowerBlue,C
6,1855,13.008592199175022,3,CornflowerBlue,C
7,1856,13.138528957388809,3,CornflowerBlue,C
8,1857,12.374710444498252,3,CornflowerBlue,C
9,1858,13.355707790930422,3,CornflowerBlue,C
10,1859,13.428950350653981,3,CornflowerBlue,C
11,1860,14.181394464974058,3,CornflowerBlue,C
12,1861,12.490199488041426,3,CornflowerBlue,C
13,1862,12.417539144112446,3,CornflowerBlue,C
14,1863,12.692250595371759,3,CornflowerBlue,C
15,1864,12.79504704201185,3,CornflowerBlue,C
16,1865,12.473655946297026,3,CornflowerBlue,C
17,1866,13.345054146871952,3,CornflowerBlue,C
18,1867,13.168927658570823,3,CornflowerBlue,C
19,1868,13.445161085247575,3,CornflowerBlue,C
20,1869,12.609146529592262,3,CornflowerBlue,C
21,1870,13.518969474491815,3,CornflowerBlue,C
22,1871,12.68545095781359,3,CornflowerBlue,C
23,1872,12.340617687090859,3,CornflowerBlue,C
24,1873,13.003284521648995,3,CornflowerBlue,C
25,1874,13.711011660642722,3,CornflowerBlue,C
26,1875,12.469641011459592,3,CornflowerBlue,C
27,1876,12.706888330498034,3,CornflowerBlue,C
28,1877,13.027392047389688,3,CornflowerBlue,C
29,1878,12.665737235080915,3,CornflowerBlue,C
30,1879,13.456215182535388,3,CornflowerBlue,C
31,1880,12.710091734165106,3,CornflowerBlue,C
32,1881,12.876448498525377,3,CornflowerBlue,C
33,1882,12.682785888897453,3,CornflowerBlue,C
34,1883,13.432692584301181,3,CornflowerBlue,C
35,1884,14.14060631452374,3,CornflowerBlue,C
36,1885,13.737660643721624,3,CornflowerBlue,C
37,1886,13.53597858195845,3,CornflowerBlue,C
38,1887,12.946232520411733,3,CornflowerBlue,C
39,1888,13.693077133383419,3,CornflowerBlue,C
40,1889,13.517757095238915,3,CornflowerBlue,C
41,1890,13.517996228183657,3,CornflowerBlue,C
42,1891,13.306685285686488,3,CornflowerBlue,C
43,1892,13.280292894545168,3,CornflowerBlue,C
44,1893,13.71117479553087,3,CornflowerBlue,C
45,1894,13.208686841254888,3,CornflowerBlue,C
46,1895,13.331464810538984,3,CornflowerBlue,C
47,1896,13.448056008069624,3,CornflowerBlue,C
48,1897,13.809870199985182,3,CornflowerBlue,C
49,1898,13.889676259608423,3,CornflowerBlue,C
50,1899,13.360275762856702,3,CornflowerBlue,C
51,1900,12.823770632178679,3,CornflowerBlue,C
52,1901,14.12318756825018,3,CornflowerBlue,C
53,1902,14.449272766064894,3,CornflowerBlue,C
54,1903,13.872429329021237,3,CornflowerBlue,C
55,1904,14.105951820735907,3,CornflowerBlue,C
56,1905,14.157352253164836,3,CornflowerBlue,C
57,1906,14.808466002203291,3,CornflowerBlue,C
58,1907,14.476133425702983,3,CornflowerBlue,C
59,1908,14.159867704507699,3,CornflowerBlue,C
60,1909,13.826226148666755,3,CornflowerBlue,C
61,1910,13.978469413112544,3,CornflowerBlue,C
62,1911,14.47679197043037,3,CornflowerBlue,C
63,1912,13.863957106190831,3,CornflowerBlue,C
64,1913,14.724764681598751,3,CornflowerBlue,C
65,1914,14.95323123003274,3,CornflowerBlue,C
66,1915,14.622731976578955,3,CornflowerBlue,C
67,1916,14.886695272430927,3,CornflowerBlue,C
68,1917,14.719275655385989,3,CornflowerBlue,C
69,1918,14.953180457066546,3,CornflowerBlue,C
70,1919,15.938789299009372,4,LightYellow,D
71,1920,14.907202028932868,3,CornflowerBlue,C
72,1921,14.092602846322764,3,CornflowerBlue,C
73,1922,14.979725079760055,3,CornflowerBlue,C
74,1923,16.07422799082151,4,LightYellow,D
75,1924,15.430749194460962,4,LightYellow,D
76,1925,15.792757963990804,4,LightYellow,D
77,1926,15.539234003574412,4,LightYellow,D
78,1927,14.835592314841566,3,CornflowerBlue,C
79,1928,15.329750517890508,4,LightYellow,D
80,1929,16.100561207733882,4,LightYellow,D
81,1930,16.835879777608884,4,LightYellow,D
82,1931,14.956789352054956,3,CornflowerBlue,C
