Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,18.814221971343354,4,LightYellow,D
2,1851,19.343061941153668,4,LightYellow,D
3,1852,17.735179829641712,4,LightYellow,D
4,1853,17.92763262466254,4,LightYellow,D
5,1854,19.08707792146863,4,LightYellow,D
6,1855,18.299767927971168,4,LightYellow,D
7,1856,20.18244779209218,5,Vanilla,E
8,1857,18.635075286951803,4,LightYellow,D
9,1858,18.86221947281354,4,LightYellow,D
10,1859,17.03651159561029,4,LightYellow,D
11,1860,18.29880025559284,4,LightYellow,D
12,1861,18.286187533398955,4,LightYellow,D
13,1862,17.49000057100033,4,LightYellow,D
14,1863,17.575836187936023,4,LightYellow,D
15,1864,18.740876534560563,4,LightYellow,D
16,1865,18.428227555447783,4,LightYellow,D
17,1866,19.217387547229546,4,LightYellow,D
18,1867,19.50445093530681,4,LightYellow,D
19,1868,18.453485950986224,4,LightYellow,D
20,1869,18.395767406374496,4,LightYellow,D
21,1870,18.27796900918742,4,LightYellow,D
22,1871,18.353990765582285,4,LightYellow,D
23,1872,17.273021920158445,4,LightYellow,D
24,1873,18.43267665411182,4,LightYellow,D
25,1874,19.217762163978065,4,LightYellow,D
26,1875,19.952782554652728,4,LightYellow,D
27,1876,17.678445563089838,4,LightYellow,D
28,1877,17.66865203468584,4,LightYellow,D
29,1878,18.838014039401454,4,LightYellow,D
30,1879,19.131520275344176,4,LightYellow,D
31,1880,18.5621728692685,4,LightYellow,D
32,1881,18.082100567818976,4,LightYellow,D
33,1882,21.024434759136962,5,Vanilla,E
34,1883,17.947468317446,4,LightYellow,D
35,1884,16.74570653516761,4,LightYellow,D
36,1885,17.330209181150128,4,LightYellow,D
37,1886,19.380507507895988,4,LightYellow,D
38,1887,19.26963895867245,4,LightYellow,D
39,1888,19.742550819882982,4,LightYellow,D
40,1889,17.41967966531884,4,LightYellow,D
41,1890,17.422476233093306,4,LightYellow,D
42,1891,17.74343468248609,4,LightYellow,D
43,1892,21.608800986392918,5,Vanilla,E
44,1893,17.52135657805427,4,LightYellow,D
45,1894,18.951787502773882,4,LightYellow,D
46,1895,19.598679596792913,4,LightYellow,D
47,1896,18.78124271593922,4,LightYellow,D
