Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.553268125768094,3,CornflowerBlue,C
2,1851,14.270375812244083,3,CornflowerBlue,C
3,1852,15.06825550973416,4,LightYellow,D
4,1853,15.381584136693796,4,LightYellow,D
5,1854,14.466756694904857,3,CornflowerBlue,C
6,1855,14.34010999057062,3,CornflowerBlue,C
7,1856,15.606895672475632,4,LightYellow,D
8,1857,14.479836203413342,3,CornflowerBlue,C
9,1858,14.751198265974558,3,CornflowerBlue,C
10,1859,15.879228765903724,4,LightYellow,D
11,1860,14.018285883754075,3,CornflowerBlue,C
12,1861,16.717226826079422,4,LightYellow,D
13,1862,15.43265691559389,4,LightYellow,D
14,1863,15.303346815837013,4,LightYellow,D
15,1864,16.91434334503315,4,LightYellow,D
16,1865,15.74666931952091,4,LightYellow,D
17,1866,16.099708233981463,4,LightYellow,D
18,1867,15.506664444986603,4,LightYellow,D
19,1868,15.989752056130536,4,LightYellow,D
20,1869,15.453096197475704,4,LightYellow,D
21,1870,15.652171861763511,4,LightYellow,D
22,1871,16.522457718810784,4,LightYellow,D
23,1872,15.499409981540522,4,LightYellow,D
24,1873,16.03896063404673,4,LightYellow,D
25,1874,16.17596726011522,4,LightYellow,D
26,1875,16.236719257122175,4,LightYellow,D
27,1876,16.66029216922795,4,LightYellow,D
28,1877,17.213866688778932,4,LightYellow,D
29,1878,15.99675259585266,4,LightYellow,D
30,1879,15.947061185636977,4,LightYellow,D
31,1880,16.939784828106887,4,LightYellow,D
32,1881,16.572743254197178,4,LightYellow,D
33,1882,17.181911233370272,4,LightYellow,D
34,1883,17.42420691008452,4,LightYellow,D
35,1884,16.82540279795023,4,LightYellow,D
36,1885,17.652658489459768,4,LightYellow,D
37,1886,17.24093806979485,4,LightYellow,D
38,1887,16.699890124704318,4,LightYellow,D
39,1888,16.944444972428027,4,LightYellow,D
40,1889,17.342295221173593,4,LightYellow,D
41,1890,16.831680019982368,4,LightYellow,D
42,1891,17.095563276502034,4,LightYellow,D
43,1892,17.4067877209779,4,LightYellow,D
44,1893,17.166447104099756,4,LightYellow,D
45,1894,18.524837891183644,4,LightYellow,D
46,1895,18.693258326094128,4,LightYellow,D
47,1896,17.39030422588452,4,LightYellow,D
48,1897,19.954264233549218,4,LightYellow,D
49,1898,17.77029764135145,4,LightYellow,D
50,1899,19.34973427332455,4,LightYellow,D
51,1900,19.591598548332467,4,LightYellow,D
52,1901,19.5628980095376,4,LightYellow,D
53,1902,18.215698507259432,4,LightYellow,D
54,1903,19.011091998590434,4,LightYellow,D
55,1904,18.672006940325108,4,LightYellow,D
56,1905,20.005560667709382,5,Vanilla,E
57,1906,19.367773295065643,4,LightYellow,D
58,1907,21.170170692765367,5,Vanilla,E
59,1908,20.274403027412276,5,Vanilla,E
60,1909,20.413322912868733,5,Vanilla,E
61,1910,20.37831663078918,5,Vanilla,E
62,1911,20.210806831669927,5,Vanilla,E
63,1912,20.24771119761032,5,Vanilla,E
64,1913,21.59059497400297,5,Vanilla,E
65,1914,19.224818264748023,4,LightYellow,D
66,1915,18.61865707509955,4,LightYellow,D
