Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,4.092266109605344,1,LightTurquoise,A
2,1851,3.8867141297025993,1,LightTurquoise,A
3,1852,4.221096450392825,1,LightTurquoise,A
4,1853,4.622587080146287,1,LightTurquoise,A
5,1854,4.26248585624016,1,LightTurquoise,A
6,1855,4.467414540087643,1,LightTurquoise,A
7,1856,4.2071137934722165,1,LightTurquoise,A
8,1857,4.290175239477168,1,LightTurquoise,A
9,1858,4.463476656098597,1,LightTurquoise,A
10,1859,4.527008460298991,1,LightTurquoise,A
11,1860,4.281599123682214,1,LightTurquoise,A
12,1861,4.513586718559175,1,LightTurquoise,A
13,1862,4.754697850961579,1,LightTurquoise,A
14,1863,4.425604002048904,1,LightTurquoise,A
15,1864,4.428054783090017,1,LightTurquoise,A
16,1865,4.873773096591301,1,LightTurquoise,A
17,1866,4.523856656577008,1,LightTurquoise,A
18,1867,4.495008124694881,1,LightTurquoise,A
19,1868,4.512374468093692,1,LightTurquoise,A
20,1869,4.724667132138716,1,LightTurquoise,A
21,1870,4.527088761907371,1,LightTurquoise,A
22,1871,4.684722176633066,1,LightTurquoise,A
23,1872,4.782407609599166,1,LightTurquoise,A
24,1873,4.777099161292539,1,LightTurquoise,A
25,1874,4.645561358940253,1,LightTurquoise,A
26,1875,4.621463164554982,1,LightTurquoise,A
27,1876,4.924687511957673,1,LightTurquoise,A
28,1877,4.804212473495716,1,LightTurquoise,A
29,1878,4.823291667362172,1,LightTurquoise,A
30,1879,5.067545779617943,2,PowderBlue,B
31,1880,4.884457439647896,1,LightTurquoise,A
32,1881,5.289350787084237,2,PowderBlue,B
33,1882,5.273784054846845,2,PowderBlue,B
34,1883,5.599954824785616,2,PowderBlue,B
35,1884,6.034223626633749,2,PowderBlue,B
36,1885,6.104088294445168,2,PowderBlue,B
37,1886,5.97580234410795,2,PowderBlue,B
38,1887,6.351560158249644,2,PowderBlue,B
39,1888,6.827825431059913,2,PowderBlue,B
40,1889,6.841638774082706,2,PowderBlue,B
41,1890,7.139594110808056,2,PowderBlue,B
42,1891,7.661820875186395,2,PowderBlue,B
43,1892,7.409278686987876,2,PowderBlue,B
44,1893,7.464724442054384,2,PowderBlue,B
45,1894,7.639300537001665,2,PowderBlue,B
46,1895,7.7350868754072,2,PowderBlue,B
47,1896,7.762062052225941,2,PowderBlue,B
48,1897,8.112835498555674,2,PowderBlue,B
49,1898,8.35553212378507,2,PowderBlue,B
50,1899,8.163579951989213,2,PowderBlue,B
51,1900,8.583552976137359,2,PowderBlue,B
52,1901,8.881012489847459,2,PowderBlue,B
53,1902,9.154097717192917,2,PowderBlue,B
54,1903,9.237208572683144,2,PowderBlue,B
55,1904,9.296663918209068,2,PowderBlue,B
56,1905,9.82653923600974,2,PowderBlue,B
57,1906,10.56382235792251,3,CornflowerBlue,C
58,1907,11.112644477336923,3,CornflowerBlue,C
59,1908,10.51365952223091,3,CornflowerBlue,C
60,1909,11.043773468440351,3,CornflowerBlue,C
61,1910,11.278485640081263,3,CornflowerBlue,C
62,1911,11.854871734304828,3,CornflowerBlue,C
63,1912,11.622847095014043,3,CornflowerBlue,C
64,1913,12.848723283817922,3,CornflowerBlue,C
65,1914,12.42078491354471,3,CornflowerBlue,C
66,1915,12.93731222521669,3,CornflowerBlue,C
67,1916,12.992020490935616,3,CornflowerBlue,C
68,1917,14.051607920213048,3,CornflowerBlue,C
69,1918,14.630323068550366,3,CornflowerBlue,C
70,1919,13.406986927113811,3,CornflowerBlue,C
71,1920,14.45609080522787,3,CornflowerBlue,C
72,1921,13.124181915370539,3,CornflowerBlue,C
73,1922,13.418889416848396,3,CornflowerBlue,C
74,1923,14.833958036982525,3,CornflowerBlue,C
75,1924,13.814243998443713,3,CornflowerBlue,C
76,1925,13.986760672396983,3,CornflowerBlue,C
77,1926,14.35105208744461,3,CornflowerBlue,C
78,1927,14.122771045551788,3,CornflowerBlue,C
79,1928,13.608750282571535,3,CornflowerBlue,C
80,1929,13.903368423332818,3,CornflowerBlue,C
81,1930,12.322853548750821,3,CornflowerBlue,C
82,1931,11.911415459194705,3,CornflowerBlue,C
83,1932,11.036053165312744,3,CornflowerBlue,C
84,1933,11.468496075144106,3,CornflowerBlue,C
85,1934,10.59558133109911,3,CornflowerBlue,C
86,1935,11.294972991397987,3,CornflowerBlue,C
87,1936,12.308048221575316,3,CornflowerBlue,C
88,1937,12.338889049242495,3,CornflowerBlue,C
89,1938,11.640648675441037,3,CornflowerBlue,C
90,1939,12.28288386388396,3,CornflowerBlue,C
91,1940,12.667246222085131,3,CornflowerBlue,C
92,1941,13.778459252149103,3,CornflowerBlue,C
93,1942,13.08491506265014,3,CornflowerBlue,C
94,1943,14.521772891634614,3,CornflowerBlue,C
95,1944,14.311556422517606,3,CornflowerBlue,C
96,1945,13.54779140416447,3,CornflowerBlue,C
97,1946,13.37278829873331,3,CornflowerBlue,C
98,1947,14.099722827096574,3,CornflowerBlue,C
99,1948,14.601350337235235,3,CornflowerBlue,C
100,1949,13.307302022589257,3,CornflowerBlue,C
101,1950,14.191719727636508,3,CornflowerBlue,C
102,1951,14.402136578030396,3,CornflowerBlue,C
103,1952,13.522557752662234,3,CornflowerBlue,C
104,1953,13.643394747190575,3,CornflowerBlue,C
105,1954,13.104953452513822,3,CornflowerBlue,C
106,1955,13.319526556269913,3,CornflowerBlue,C
107,1956,13.61298863310721,3,CornflowerBlue,C
108,1957,13.686267387561855,3,CornflowerBlue,C
109,1958,13.47663871710855,3,CornflowerBlue,C
110,1959,13.963552178132964,3,CornflowerBlue,C
111,1960,13.065618748970909,3,CornflowerBlue,C
112,1961,13.743210504356602,3,CornflowerBlue,C
113,1962,13.704097660997228,3,CornflowerBlue,C
114,1963,13.76081086471432,3,CornflowerBlue,C
115,1964,13.251421970210478,3,CornflowerBlue,C
116,1965,12.786563232355547,3,CornflowerBlue,C
117,1966,13.17889865611749,3,CornflowerBlue,C
118,1967,12.865129319803735,3,CornflowerBlue,C
119,1968,12.373440087071533,3,CornflowerBlue,C
120,1969,12.871375587071283,3,CornflowerBlue,C
121,1970,12.919706573792364,3,CornflowerBlue,C
122,1971,12.839412147031728,3,CornflowerBlue,C
123,1972,12.678692249240704,3,CornflowerBlue,C
124,1973,12.782616112619053,3,CornflowerBlue,C
125,1974,12.630371584912165,3,CornflowerBlue,C
126,1975,12.092249853454872,3,CornflowerBlue,C
127,1976,12.272296274669484,3,CornflowerBlue,C
128,1977,12.268596863680663,3,CornflowerBlue,C
129,1978,12.843858616777093,3,CornflowerBlue,C
130,1979,14.064333755206377,3,CornflowerBlue,C
131,1980,12.1659651760292,3,CornflowerBlue,C
132,1981,12.315769478932479,3,CornflowerBlue,C
133,1982,11.844897353440581,3,CornflowerBlue,C
134,1983,12.372742153126639,3,CornflowerBlue,C
135,1984,12.462049969664227,3,CornflowerBlue,C
136,1985,11.338766125917653,3,CornflowerBlue,C
137,1986,12.055814809354013,3,CornflowerBlue,C
138,1987,11.656981441754235,3,CornflowerBlue,C
139,1988,12.27694830089189,3,CornflowerBlue,C
140,1989,11.370220694800475,3,CornflowerBlue,C
141,1990,10.70558135257825,3,CornflowerBlue,C
142,1991,10.531748851767286,3,CornflowerBlue,C
143,1992,10.483797375523226,3,CornflowerBlue,C
144,1993,10.295324423437108,3,CornflowerBlue,C
145,1994,10.119377062428875,3,CornflowerBlue,C
146,1995,10.295003022978083,3,CornflowerBlue,C
147,1996,10.487848909889186,3,CornflowerBlue,C
148,1997,9.678386584271058,2,PowderBlue,B
149,1998,10.208245830426408,3,CornflowerBlue,C
150,1999,9.574819708339511,2,PowderBlue,B
151,2000,9.30280654791506,2,PowderBlue,B
152,2001,9.208333015441895,2,PowderBlue,B
153,2002,9.341666221618652,2,PowderBlue,B
154,2003,8.824999809265137,2,PowderBlue,B
155,2004,9.125,2,PowderBlue,B
156,2005,8.675000190734863,2,PowderBlue,B
157,2006,7.975000381469727,2,PowderBlue,B
158,2007,7.483333587646484,2,PowderBlue,B
159,2008,6.908332824707031,2,PowderBlue,B
160,2009,7.4083333015441895,2,PowderBlue,B
161,2010,6.366666793823242,2,PowderBlue,B
162,2011,6.908332824707031,2,PowderBlue,B
163,2012,6.766666889190674,2,PowderBlue,B
164,2013,7.883333206176758,2,PowderBlue,B
165,2014,6.783332824707031,2,PowderBlue,B
166,2015,7.308332920074463,2,PowderBlue,B
167,2016,5.583333492279053,2,PowderBlue,B
168,2017,7.058333873748779,2,PowderBlue,B
169,2018,7.200000286102295,2,PowderBlue,B
170,2019,6.5,2,PowderBlue,B
171,2020,6.816666126251221,2,PowderBlue,B
172,2021,5.583333492279053,2,PowderBlue,B
173,2022,7.450000286102295,2,PowderBlue,B
