Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.696628436289995,2,PowderBlue,B
2,1851,8.822224241456912,2,PowderBlue,B
3,1852,8.555906327501342,2,PowderBlue,B
4,1853,8.70122913176948,2,PowderBlue,B
5,1854,8.623275046365988,2,PowderBlue,B
6,1855,8.955110349997552,2,PowderBlue,B
7,1856,9.011523547355146,2,PowderBlue,B
8,1857,8.391848051350266,2,PowderBlue,B
9,1858,8.619982564191616,2,PowderBlue,B
10,1859,9.145695484690481,2,PowderBlue,B
11,1860,9.199745445922913,2,PowderBlue,B
12,1861,9.081362241495636,2,PowderBlue,B
13,1862,8.921442198745517,2,PowderBlue,B
14,1863,8.49854739447844,2,PowderBlue,B
15,1864,8.864828071975271,2,PowderBlue,B
16,1865,8.654596272862255,2,PowderBlue,B
17,1866,8.699258062603048,2,PowderBlue,B
18,1867,8.816695064267922,2,PowderBlue,B
19,1868,9.071903519382978,2,PowderBlue,B
20,1869,8.942343827236895,2,PowderBlue,B
21,1870,9.049025651988572,2,PowderBlue,B
22,1871,8.341986472685763,2,PowderBlue,B
23,1872,8.447660828810257,2,PowderBlue,B
24,1873,9.04919155389724,2,PowderBlue,B
25,1874,8.870395271063481,2,PowderBlue,B
26,1875,8.893828190016226,2,PowderBlue,B
27,1876,8.919815476551184,2,PowderBlue,B
28,1877,8.902731603806098,2,PowderBlue,B
29,1878,9.098680606023711,2,PowderBlue,B
30,1879,8.606609389709154,2,PowderBlue,B
31,1880,8.997780880592913,2,PowderBlue,B
32,1881,8.786504544052137,2,PowderBlue,B
33,1882,9.394172755907935,2,PowderBlue,B
34,1883,8.942815143750925,2,PowderBlue,B
35,1884,8.462893278250837,2,PowderBlue,B
36,1885,8.845151046123048,2,PowderBlue,B
37,1886,8.826013408066395,2,PowderBlue,B
38,1887,9.453326850185139,2,PowderBlue,B
39,1888,8.858298838089185,2,PowderBlue,B
40,1889,8.71721536184978,2,PowderBlue,B
41,1890,8.95729228944156,2,PowderBlue,B
42,1891,8.80274417288505,2,PowderBlue,B
43,1892,9.558620882502616,2,PowderBlue,B
44,1893,8.855936939797422,2,PowderBlue,B
45,1894,8.905044190120295,2,PowderBlue,B
46,1895,8.800323650859397,2,PowderBlue,B
47,1896,8.545403241319493,2,PowderBlue,B
48,1897,8.754430984727122,2,PowderBlue,B
