Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.513579423120877,3,CornflowerBlue,C
2,1851,11.783450960308963,3,CornflowerBlue,C
3,1852,11.697724087342845,3,CornflowerBlue,C
4,1853,11.900913725591392,3,CornflowerBlue,C
5,1854,12.138006218980472,3,CornflowerBlue,C
6,1855,11.853865044286541,3,CornflowerBlue,C
7,1856,12.050565226982439,3,CornflowerBlue,C
8,1857,11.556112040704695,3,CornflowerBlue,C
9,1858,11.408756534409985,3,CornflowerBlue,C
10,1859,11.941481054854513,3,CornflowerBlue,C
11,1860,11.954986878222345,3,CornflowerBlue,C
12,1861,11.730044419239393,3,CornflowerBlue,C
13,1862,11.304707897402697,3,CornflowerBlue,C
14,1863,11.27552318202776,3,CornflowerBlue,C
15,1864,11.630971388696905,3,CornflowerBlue,C
16,1865,11.040615173296493,3,CornflowerBlue,C
17,1866,11.571134028442076,3,CornflowerBlue,C
18,1867,12.143908208543456,3,CornflowerBlue,C
19,1868,12.03286747623834,3,CornflowerBlue,C
20,1869,11.503593638814893,3,CornflowerBlue,C
21,1870,11.34476234378239,3,CornflowerBlue,C
22,1871,10.74553863973822,3,CornflowerBlue,C
23,1872,11.288986187226422,3,CornflowerBlue,C
24,1873,11.921397817357434,3,CornflowerBlue,C
25,1874,11.802208426073856,3,CornflowerBlue,C
26,1875,10.998346952083814,3,CornflowerBlue,C
27,1876,11.633753003486612,3,CornflowerBlue,C
28,1877,10.981031977242916,3,CornflowerBlue,C
29,1878,11.346484973484031,3,CornflowerBlue,C
30,1879,10.987681488780478,3,CornflowerBlue,C
31,1880,11.445987113653615,3,CornflowerBlue,C
32,1881,11.235492767140656,3,CornflowerBlue,C
33,1882,11.73918345709715,3,CornflowerBlue,C
34,1883,11.028187171568002,3,CornflowerBlue,C
35,1884,11.154867412856255,3,CornflowerBlue,C
36,1885,11.963984415199794,3,CornflowerBlue,C
37,1886,11.725754959927798,3,CornflowerBlue,C
38,1887,11.497015762516261,3,CornflowerBlue,C
39,1888,11.636462255688597,3,CornflowerBlue,C
40,1889,11.511504370763447,3,CornflowerBlue,C
41,1890,11.591535248077568,3,CornflowerBlue,C
42,1891,11.929006774769158,3,CornflowerBlue,C
43,1892,12.32067924227155,3,CornflowerBlue,C
44,1893,11.87993131710648,3,CornflowerBlue,C
45,1894,12.213309771548362,3,CornflowerBlue,C
46,1895,11.427538590027579,3,CornflowerBlue,C
47,1896,11.91088613898243,3,CornflowerBlue,C
48,1897,11.665584912274163,3,CornflowerBlue,C
49,1898,11.732361255237135,3,CornflowerBlue,C
50,1899,12.136449788299169,3,CornflowerBlue,C
51,1900,11.950984822951126,3,CornflowerBlue,C
52,1901,11.597132943132975,3,CornflowerBlue,C
53,1902,12.206241855603896,3,CornflowerBlue,C
54,1903,12.137064535718835,3,CornflowerBlue,C
55,1904,11.469707923211468,3,CornflowerBlue,C
56,1905,11.526652094060621,3,CornflowerBlue,C
57,1906,12.08215749113938,3,CornflowerBlue,C
58,1907,12.542254613006849,3,CornflowerBlue,C
59,1908,11.332827153967333,3,CornflowerBlue,C
60,1909,12.050584198574805,3,CornflowerBlue,C
61,1910,11.988059912078405,3,CornflowerBlue,C
62,1911,12.010759165743389,3,CornflowerBlue,C
63,1912,11.828449156930505,3,CornflowerBlue,C
64,1913,12.265701519372472,3,CornflowerBlue,C
65,1914,12.123261764056156,3,CornflowerBlue,C
66,1915,12.311379101505922,3,CornflowerBlue,C
67,1916,12.469019786396148,3,CornflowerBlue,C
68,1917,12.723265106631695,3,CornflowerBlue,C
69,1918,12.722524371388579,3,CornflowerBlue,C
70,1919,12.829104943942593,3,CornflowerBlue,C
71,1920,13.00906025422256,3,CornflowerBlue,C
72,1921,12.22633375716187,3,CornflowerBlue,C
73,1922,12.31846760900618,3,CornflowerBlue,C
74,1923,13.668625966488305,3,CornflowerBlue,C
75,1924,12.045182133682125,3,CornflowerBlue,C
76,1925,12.920491996842104,3,CornflowerBlue,C
77,1926,12.306734981750436,3,CornflowerBlue,C
78,1927,12.752950554506286,3,CornflowerBlue,C
79,1928,12.616535568807329,3,CornflowerBlue,C
80,1929,12.90400386901664,3,CornflowerBlue,C
81,1930,12.806095293933094,3,CornflowerBlue,C
82,1931,12.371163719315714,3,CornflowerBlue,C
83,1932,12.909335755483909,3,CornflowerBlue,C
84,1933,12.557143882287384,3,CornflowerBlue,C
85,1934,12.673966842386307,3,CornflowerBlue,C
86,1935,13.119662633042765,3,CornflowerBlue,C
87,1936,13.178580494540368,3,CornflowerBlue,C
88,1937,12.628425427137294,3,CornflowerBlue,C
89,1938,12.792301537668196,3,CornflowerBlue,C
90,1939,13.00522300971789,3,CornflowerBlue,C
91,1940,12.323296660633478,3,CornflowerBlue,C
92,1941,12.879023713829806,3,CornflowerBlue,C
93,1942,13.094307583097583,3,CornflowerBlue,C
94,1943,12.305489469518749,3,CornflowerBlue,C
95,1944,12.919943522757034,3,CornflowerBlue,C
96,1945,11.900512978248186,3,CornflowerBlue,C
97,1946,11.546442718498358,3,CornflowerBlue,C
98,1947,12.090412954876111,3,CornflowerBlue,C
99,1948,11.774220032360763,3,CornflowerBlue,C
100,1949,12.036596104857002,3,CornflowerBlue,C
101,1950,12.554826749591129,3,CornflowerBlue,C
102,1951,13.19452101791684,3,CornflowerBlue,C
103,1952,12.803649445394806,3,CornflowerBlue,C
104,1953,13.316172766870823,3,CornflowerBlue,C
105,1954,14.01413723293909,3,CornflowerBlue,C
