Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.711659910896364,3,CornflowerBlue,C
2,1851,11.025922137350765,3,CornflowerBlue,C
3,1852,11.557300598181396,3,CornflowerBlue,C
4,1853,12.036691838392509,3,CornflowerBlue,C
5,1854,11.93671451684864,3,CornflowerBlue,C
6,1855,11.355104535637787,3,CornflowerBlue,C
7,1856,12.002793877563217,3,CornflowerBlue,C
8,1857,11.238740954024413,3,CornflowerBlue,C
9,1858,11.581841912106457,3,CornflowerBlue,C
10,1859,12.063670539362187,3,CornflowerBlue,C
11,1860,11.083711109092809,3,CornflowerBlue,C
12,1861,12.667383388928396,3,CornflowerBlue,C
13,1862,12.11080289609909,3,CornflowerBlue,C
14,1863,11.8412166927514,3,CornflowerBlue,C
15,1864,13.034711986758987,3,CornflowerBlue,C
16,1865,12.264190967915106,3,CornflowerBlue,C
17,1866,12.129574794830486,3,CornflowerBlue,C
18,1867,11.93818366317574,3,CornflowerBlue,C
19,1868,12.398163566870373,3,CornflowerBlue,C
20,1869,11.981795452452303,3,CornflowerBlue,C
21,1870,11.871751364705101,3,CornflowerBlue,C
22,1871,12.823203508874384,3,CornflowerBlue,C
23,1872,11.866069612749852,3,CornflowerBlue,C
24,1873,12.815836143532627,3,CornflowerBlue,C
25,1874,12.525626303107233,3,CornflowerBlue,C
26,1875,12.506294597113232,3,CornflowerBlue,C
27,1876,12.776034191549138,3,CornflowerBlue,C
28,1877,12.620689987812392,3,CornflowerBlue,C
29,1878,11.942018774149,3,CornflowerBlue,C
30,1879,12.7222758964785,3,CornflowerBlue,C
31,1880,12.91757489345049,3,CornflowerBlue,C
32,1881,12.694666042102572,3,CornflowerBlue,C
33,1882,13.156418941474202,3,CornflowerBlue,C
34,1883,13.56660178599548,3,CornflowerBlue,C
35,1884,12.638355623324342,3,CornflowerBlue,C
36,1885,13.285476902915292,3,CornflowerBlue,C
37,1886,12.832140437089478,3,CornflowerBlue,C
38,1887,12.809221425894696,3,CornflowerBlue,C
39,1888,13.038831573292585,3,CornflowerBlue,C
40,1889,13.100060629966872,3,CornflowerBlue,C
41,1890,12.886211746437077,3,CornflowerBlue,C
42,1891,13.279802668325335,3,CornflowerBlue,C
43,1892,13.507730384243157,3,CornflowerBlue,C
44,1893,13.293913136539048,3,CornflowerBlue,C
45,1894,13.885794233480869,3,CornflowerBlue,C
46,1895,13.880685899628771,3,CornflowerBlue,C
47,1896,13.556596898467687,3,CornflowerBlue,C
48,1897,14.459379530162309,3,CornflowerBlue,C
49,1898,13.17320277302413,3,CornflowerBlue,C
50,1899,14.479419778300137,3,CornflowerBlue,C
51,1900,14.709875720978024,3,CornflowerBlue,C
52,1901,14.505686089303458,3,CornflowerBlue,C
53,1902,13.90355526630624,3,CornflowerBlue,C
54,1903,14.325437081445658,3,CornflowerBlue,C
55,1904,13.796205410095729,3,CornflowerBlue,C
56,1905,14.723272650109292,3,CornflowerBlue,C
57,1906,14.05795359055373,3,CornflowerBlue,C
58,1907,15.67043555134763,4,LightYellow,D
59,1908,14.485343525332167,3,CornflowerBlue,C
60,1909,14.796204644171247,3,CornflowerBlue,C
61,1910,14.781861884907851,3,CornflowerBlue,C
62,1911,15.12744801279262,4,LightYellow,D
63,1912,14.818836907905352,3,CornflowerBlue,C
64,1913,15.449933862145402,4,LightYellow,D
65,1914,14.519643871391757,3,CornflowerBlue,C
66,1915,14.064551127701954,3,CornflowerBlue,C
67,1916,14.362662202979083,3,CornflowerBlue,C
68,1917,14.157753040647094,3,CornflowerBlue,C
69,1918,14.858926563875116,3,CornflowerBlue,C
70,1919,14.496652088851071,3,CornflowerBlue,C
71,1920,14.628898500186496,3,CornflowerBlue,C
72,1921,14.46980245076533,3,CornflowerBlue,C
73,1922,15.236864438748317,4,LightYellow,D
74,1923,15.232101993615023,4,LightYellow,D
75,1924,16.112906805501435,4,LightYellow,D
76,1925,16.62136923149037,4,LightYellow,D
77,1926,16.738472269494206,4,LightYellow,D
78,1927,17.092901857473606,4,LightYellow,D
79,1928,16.906303832801456,4,LightYellow,D
80,1929,17.602507580218575,4,LightYellow,D
81,1930,17.338036195388035,4,LightYellow,D
82,1931,18.246003741860523,4,LightYellow,D
83,1932,16.691994512638228,4,LightYellow,D
84,1933,16.730149889823227,4,LightYellow,D
85,1934,17.619894068381342,4,LightYellow,D
86,1935,18.044465741281144,4,LightYellow,D
87,1936,18.293139449075706,4,LightYellow,D
88,1937,19.31001027238509,4,LightYellow,D
89,1938,19.92711031528104,4,LightYellow,D
90,1939,18.799873885560906,4,LightYellow,D
91,1940,20.091367195578943,5,Vanilla,E
92,1941,18.006376616851785,4,LightYellow,D
93,1942,18.124772440892844,4,LightYellow,D
94,1943,18.635343420951372,4,LightYellow,D
95,1944,18.019980319933666,4,LightYellow,D
96,1945,17.797818447304522,4,LightYellow,D
97,1946,20.07036992326385,5,Vanilla,E
98,1947,21.277903242444992,5,Vanilla,E
99,1948,21.9408493690785,5,Vanilla,E
100,1949,23.110585310407224,5,Vanilla,E
101,1950,23.231590697310835,5,Vanilla,E
102,1951,24.372895806405765,5,Vanilla,E
103,1952,24.693338832566475,5,Vanilla,E
104,1953,24.178073597220124,5,Vanilla,E
105,1954,25.134512949597855,5,Vanilla,E
106,1955,27.685335584380322,5,Vanilla,E
107,1956,29.181667799682977,5,Vanilla,E
108,1957,28.62919094244926,5,Vanilla,E
109,1958,28.541848887842356,5,Vanilla,E
110,1959,30.042715020523552,6,Dandelion,F
111,1960,31.98441908220861,6,Dandelion,F
112,1961,33.576760937087414,6,Dandelion,F
