Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,13.78295673091015,3,CornflowerBlue,C
2,1851,12.966454275039045,3,CornflowerBlue,C
3,1852,13.62567286063378,3,CornflowerBlue,C
4,1853,14.254637238054938,3,CornflowerBlue,C
5,1854,13.929932049560803,3,CornflowerBlue,C
6,1855,13.320124391334765,3,CornflowerBlue,C
7,1856,14.002919854272491,3,CornflowerBlue,C
8,1857,13.295380676381825,3,CornflowerBlue,C
9,1858,13.718107171798566,3,CornflowerBlue,C
10,1859,14.234277438045462,3,CornflowerBlue,C
11,1860,13.202114142744733,3,CornflowerBlue,C
12,1861,14.716822338987475,3,CornflowerBlue,C
13,1862,14.310610556775414,3,CornflowerBlue,C
14,1863,14.100235425400527,3,CornflowerBlue,C
15,1864,15.2778818193674,4,LightYellow,D
16,1865,14.396935267920227,3,CornflowerBlue,C
17,1866,14.299319729105397,3,CornflowerBlue,C
18,1867,14.069165022977115,3,CornflowerBlue,C
19,1868,14.334507438378543,3,CornflowerBlue,C
20,1869,14.14052457569433,3,CornflowerBlue,C
21,1870,13.704819411579896,3,CornflowerBlue,C
22,1871,14.863423235262964,3,CornflowerBlue,C
23,1872,13.945285978594047,3,CornflowerBlue,C
24,1873,14.671188289949857,3,CornflowerBlue,C
25,1874,14.712034391755902,3,CornflowerBlue,C
26,1875,15.11203682334312,4,LightYellow,D
27,1876,15.150278833176538,4,LightYellow,D
28,1877,14.915674362606152,3,CornflowerBlue,C
29,1878,14.34859452634446,3,CornflowerBlue,C
30,1879,15.014679309352791,4,LightYellow,D
31,1880,15.480332477422538,4,LightYellow,D
32,1881,14.896460834143943,3,CornflowerBlue,C
33,1882,15.644185634942742,4,LightYellow,D
34,1883,16.104259639139904,4,LightYellow,D
35,1884,15.043146880682382,4,LightYellow,D
36,1885,15.72861765413675,4,LightYellow,D
37,1886,15.460458573363377,4,LightYellow,D
38,1887,15.55525329576731,4,LightYellow,D
39,1888,15.891256676076543,4,LightYellow,D
40,1889,15.694353969173301,4,LightYellow,D
41,1890,15.705603080318832,4,LightYellow,D
42,1891,15.96807621772057,4,LightYellow,D
43,1892,16.526092571252896,4,LightYellow,D
44,1893,16.13368958013323,4,LightYellow,D
45,1894,16.814531169843736,4,LightYellow,D
46,1895,16.941758990351403,4,LightYellow,D
47,1896,16.505322322794505,4,LightYellow,D
48,1897,17.36035128516833,4,LightYellow,D
49,1898,16.3955755975184,4,LightYellow,D
50,1899,17.83164623115415,4,LightYellow,D
51,1900,17.818341409593344,4,LightYellow,D
52,1901,17.748038626109356,4,LightYellow,D
53,1902,17.43273835731496,4,LightYellow,D
54,1903,17.572848537027827,4,LightYellow,D
55,1904,17.271166764495113,4,LightYellow,D
56,1905,18.669963667621545,4,LightYellow,D
57,1906,17.736124599788972,4,LightYellow,D
58,1907,19.184733090461002,4,LightYellow,D
59,1908,18.37034615248527,4,LightYellow,D
60,1909,18.99889526597262,4,LightYellow,D
61,1910,19.147594041645196,4,LightYellow,D
62,1911,19.55952083251691,4,LightYellow,D
63,1912,19.444045748497235,4,LightYellow,D
64,1913,20.37031422589245,5,Vanilla,E
65,1914,19.734350994958564,4,LightYellow,D
66,1915,18.929649014980903,4,LightYellow,D
67,1916,19.230180858467982,4,LightYellow,D
68,1917,20.12503597831588,5,Vanilla,E
69,1918,20.865357319456955,5,Vanilla,E
70,1919,19.33056057041308,4,LightYellow,D
71,1920,19.92002655737703,4,LightYellow,D
72,1921,20.372942964882466,5,Vanilla,E
73,1922,20.603083709368285,5,Vanilla,E
74,1923,20.32845479914304,5,Vanilla,E
75,1924,20.99918451056806,5,Vanilla,E
76,1925,21.545196595870383,5,Vanilla,E
77,1926,21.787908674109087,5,Vanilla,E
78,1927,22.21818247830873,5,Vanilla,E
79,1928,21.88885474441615,5,Vanilla,E
80,1929,23.17420415803824,5,Vanilla,E
81,1930,23.2080732465787,5,Vanilla,E
82,1931,23.910296368407593,5,Vanilla,E
83,1932,23.046221616813646,5,Vanilla,E
84,1933,22.71062348851006,5,Vanilla,E
85,1934,23.982403827626495,5,Vanilla,E
86,1935,24.403891490386172,5,Vanilla,E
87,1936,25.12225150368623,5,Vanilla,E
88,1937,25.50947601314415,5,Vanilla,E
89,1938,26.128557319631643,5,Vanilla,E
90,1939,24.599080140804638,5,Vanilla,E
