Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,6.015964743558965,2,PowderBlue,B
2,1851,5.9060620973903415,2,PowderBlue,B
3,1852,6.343122192779494,2,PowderBlue,B
4,1853,6.529643289359165,2,PowderBlue,B
5,1854,6.719615722811812,2,PowderBlue,B
6,1855,5.998175642982011,2,PowderBlue,B
7,1856,5.955656565989665,2,PowderBlue,B
8,1857,6.468922362417568,2,PowderBlue,B
9,1858,6.133777501322057,2,PowderBlue,B
10,1859,6.3165256168550155,2,PowderBlue,B
11,1860,6.368823212578986,2,PowderBlue,B
12,1861,5.970818618355934,2,PowderBlue,B
13,1862,6.057305991344141,2,PowderBlue,B
14,1863,6.302998431437502,2,PowderBlue,B
15,1864,5.913213017440279,2,PowderBlue,B
16,1865,6.57315891781189,2,PowderBlue,B
17,1866,6.061659345469615,2,PowderBlue,B
18,1867,6.38957008572114,2,PowderBlue,B
19,1868,6.246365640707691,2,PowderBlue,B
20,1869,5.905524401123833,2,PowderBlue,B
21,1870,6.367975921989051,2,PowderBlue,B
22,1871,6.242942453382241,2,PowderBlue,B
23,1872,6.3298442852517685,2,PowderBlue,B
24,1873,6.549849174399595,2,PowderBlue,B
25,1874,6.3749220784562,2,PowderBlue,B
26,1875,6.477746624243651,2,PowderBlue,B
27,1876,5.9668642418645925,2,PowderBlue,B
28,1877,5.973941542449941,2,PowderBlue,B
29,1878,6.5351103567645845,2,PowderBlue,B
30,1879,5.912523903821911,2,PowderBlue,B
31,1880,6.186435606683134,2,PowderBlue,B
32,1881,6.178999319806717,2,PowderBlue,B
33,1882,6.168982158982468,2,PowderBlue,B
34,1883,5.896887991804445,2,PowderBlue,B
35,1884,6.596676156369434,2,PowderBlue,B
36,1885,6.328278898203133,2,PowderBlue,B
37,1886,6.0633587881596,2,PowderBlue,B
38,1887,6.342276100287354,2,PowderBlue,B
39,1888,5.926065018947105,2,PowderBlue,B
40,1889,6.290223755372905,2,PowderBlue,B
41,1890,6.381498665139047,2,PowderBlue,B
42,1891,6.246739461038796,2,PowderBlue,B
43,1892,6.003490669808382,2,PowderBlue,B
44,1893,6.217252872217215,2,PowderBlue,B
45,1894,6.14659321604291,2,PowderBlue,B
46,1895,6.271959353195424,2,PowderBlue,B
47,1896,6.180556377654844,2,PowderBlue,B
48,1897,5.938699134944614,2,PowderBlue,B
49,1898,6.769003315062212,2,PowderBlue,B
50,1899,5.9969055154743005,2,PowderBlue,B
51,1900,5.759314651457813,2,PowderBlue,B
52,1901,5.829956248332654,2,PowderBlue,B
53,1902,6.262311888262451,2,PowderBlue,B
54,1903,6.4535533767741775,2,PowderBlue,B
55,1904,6.18731850810672,2,PowderBlue,B
56,1905,6.044062929565934,2,PowderBlue,B
57,1906,6.17160170966756,2,PowderBlue,B
58,1907,6.59738429866111,2,PowderBlue,B
59,1908,6.136113395682677,2,PowderBlue,B
60,1909,6.123029277878426,2,PowderBlue,B
61,1910,6.177083270051725,2,PowderBlue,B
62,1911,6.549005824003939,2,PowderBlue,B
63,1912,6.015665247012392,2,PowderBlue,B
64,1913,6.07923115952186,2,PowderBlue,B
65,1914,6.3194461055812745,2,PowderBlue,B
66,1915,6.0971161045415005,2,PowderBlue,B
67,1916,6.212112784588148,2,PowderBlue,B
68,1917,6.297505919605585,2,PowderBlue,B
69,1918,6.345497406241616,2,PowderBlue,B
70,1919,6.181405566277196,2,PowderBlue,B
71,1920,6.407300742274062,2,PowderBlue,B
72,1921,5.946400534470708,2,PowderBlue,B
73,1922,6.43330556980238,2,PowderBlue,B
74,1923,6.334573109106106,2,PowderBlue,B
75,1924,6.259662298086432,2,PowderBlue,B
76,1925,6.373080876398321,2,PowderBlue,B
77,1926,6.909393129947274,2,PowderBlue,B
78,1927,6.324016996046548,2,PowderBlue,B
79,1928,5.969888508466733,2,PowderBlue,B
80,1929,6.317451741142514,2,PowderBlue,B
81,1930,6.738422738926208,2,PowderBlue,B
82,1931,5.798243272929647,2,PowderBlue,B
83,1932,5.839928141025637,2,PowderBlue,B
84,1933,6.648749200333894,2,PowderBlue,B
85,1934,6.6408726014614885,2,PowderBlue,B
86,1935,6.28000768678409,2,PowderBlue,B
87,1936,6.301239366605176,2,PowderBlue,B
88,1937,6.319630317260057,2,PowderBlue,B
89,1938,6.445277753510818,2,PowderBlue,B
90,1939,6.6156388742711405,2,PowderBlue,B
91,1940,6.36176221091283,2,PowderBlue,B
92,1941,6.416990004837539,2,PowderBlue,B
93,1942,6.329388378777328,2,PowderBlue,B
94,1943,6.327557298520515,2,PowderBlue,B
95,1944,6.68289078786097,2,PowderBlue,B
96,1945,6.383670048147587,2,PowderBlue,B
97,1946,6.091618405306471,2,PowderBlue,B
98,1947,6.042341006543108,2,PowderBlue,B
99,1948,6.724092822311198,2,PowderBlue,B
100,1949,6.203252300785962,2,PowderBlue,B
101,1950,5.8685464353990975,2,PowderBlue,B
102,1951,6.249514309017265,2,PowderBlue,B
103,1952,6.483363840841587,2,PowderBlue,B
104,1953,5.980477876467825,2,PowderBlue,B
105,1954,6.410865055485585,2,PowderBlue,B
106,1955,6.245441602660837,2,PowderBlue,B
107,1956,6.1091062335427555,2,PowderBlue,B
108,1957,6.635892431052852,2,PowderBlue,B
109,1958,6.3371862460683195,2,PowderBlue,B
110,1959,6.572072289941488,2,PowderBlue,B
111,1960,6.267886921630107,2,PowderBlue,B
112,1961,5.615616321900533,2,PowderBlue,B
113,1962,6.627901362448183,2,PowderBlue,B
114,1963,6.599796027214833,2,PowderBlue,B
115,1964,6.332959214086561,2,PowderBlue,B
116,1965,6.682069387578985,2,PowderBlue,B
117,1966,6.498457046397647,2,PowderBlue,B
118,1967,6.054698662469793,2,PowderBlue,B
119,1968,6.232603119161245,2,PowderBlue,B
120,1969,6.331601168709155,2,PowderBlue,B
121,1970,6.615814451954291,2,PowderBlue,B
122,1971,6.489284923694773,2,PowderBlue,B
123,1972,6.332916822212146,2,PowderBlue,B
124,1973,6.117593853566666,2,PowderBlue,B
125,1974,6.181823570124077,2,PowderBlue,B
126,1975,6.006764600656612,2,PowderBlue,B
127,1976,6.340982517446991,2,PowderBlue,B
128,1977,6.341296984953842,2,PowderBlue,B
129,1978,6.365708887428698,2,PowderBlue,B
130,1979,6.6003323870897015,2,PowderBlue,B
131,1980,6.505284573462818,2,PowderBlue,B
132,1981,6.242507566954851,2,PowderBlue,B
133,1982,6.0160835347254995,2,PowderBlue,B
134,1983,5.898678905132718,2,PowderBlue,B
135,1984,6.625552701749492,2,PowderBlue,B
136,1985,6.064358463590476,2,PowderBlue,B
137,1986,6.548112117548827,2,PowderBlue,B
138,1987,6.276317504240664,2,PowderBlue,B
139,1988,6.4012331281440895,2,PowderBlue,B
140,1989,6.494635702832342,2,PowderBlue,B
141,1990,6.5147166785171455,2,PowderBlue,B
142,1991,6.156738721087081,2,PowderBlue,B
143,1992,6.115901477711103,2,PowderBlue,B
144,1993,6.382659535790475,2,PowderBlue,B
145,1994,6.3403239050300675,2,PowderBlue,B
146,1995,6.285450085282855,2,PowderBlue,B
147,1996,6.105632539843902,2,PowderBlue,B
148,1997,6.419465566052756,2,PowderBlue,B
149,1998,6.316280756002663,2,PowderBlue,B
150,1999,6.493362512501056,2,PowderBlue,B
151,2000,6.313407760125648,2,PowderBlue,B
152,2001,6.108333587646484,2,PowderBlue,B
153,2002,6.591667652130127,2,PowderBlue,B
154,2003,6.208333492279053,2,PowderBlue,B
155,2004,6.7416672706604,2,PowderBlue,B
156,2005,6.575000286102295,2,PowderBlue,B
157,2006,6.8000006675720215,2,PowderBlue,B
158,2007,7.766666412353516,2,PowderBlue,B
159,2008,8.141667366027832,2,PowderBlue,B
160,2009,6.7166666984558105,2,PowderBlue,B
161,2010,7.225000381469727,2,PowderBlue,B
162,2011,7.075000286102295,2,PowderBlue,B
163,2012,6.691667079925537,2,PowderBlue,B
164,2013,6.6750006675720215,2,PowderBlue,B
165,2014,5.6583333015441895,2,PowderBlue,B
166,2015,6.325000286102295,2,PowderBlue,B
167,2016,6.083333492279053,2,PowderBlue,B
168,2017,7.625,2,PowderBlue,B
169,2018,6.9666666984558105,2,PowderBlue,B
170,2019,7.283332824707031,2,PowderBlue,B
171,2020,6.466667175292969,2,PowderBlue,B
172,2021,6.375,2,PowderBlue,B
173,2022,7.775000095367432,2,PowderBlue,B
