Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,3.1862080893156803,1,LightTurquoise,A
2,1851,3.0451667289295665,1,LightTurquoise,A
3,1852,3.3362116162010227,1,LightTurquoise,A
4,1853,3.322771768021734,1,LightTurquoise,A
5,1854,2.8379902363772738,1,LightTurquoise,A
6,1855,3.0034274668794807,1,LightTurquoise,A
7,1856,3.1541238057469063,1,LightTurquoise,A
8,1857,3.4964888381033288,1,LightTurquoise,A
9,1858,3.320150413599017,1,LightTurquoise,A
10,1859,3.1853649736629643,1,LightTurquoise,A
11,1860,3.1244645237813287,1,LightTurquoise,A
12,1861,3.5944521147915363,1,LightTurquoise,A
13,1862,3.323095094430677,1,LightTurquoise,A
14,1863,3.035877729513954,1,LightTurquoise,A
15,1864,3.2167871759547184,1,LightTurquoise,A
16,1865,3.5332266339762874,1,LightTurquoise,A
17,1866,3.1107503281355644,1,LightTurquoise,A
18,1867,3.310928484765682,1,LightTurquoise,A
19,1868,3.193914392608948,1,LightTurquoise,A
20,1869,3.5023871482221267,1,LightTurquoise,A
21,1870,3.301696882525558,1,LightTurquoise,A
22,1871,3.5878627464236503,1,LightTurquoise,A
23,1872,3.4880263099112314,1,LightTurquoise,A
24,1873,3.3684510571444237,1,LightTurquoise,A
25,1874,3.282497214182731,1,LightTurquoise,A
26,1875,3.185892066123996,1,LightTurquoise,A
27,1876,3.4031933184625953,1,LightTurquoise,A
28,1877,3.4407776812938446,1,LightTurquoise,A
29,1878,3.3812372493201113,1,LightTurquoise,A
30,1879,3.385086071084222,1,LightTurquoise,A
31,1880,3.3148861821462483,1,LightTurquoise,A
32,1881,3.6978366129290614,1,LightTurquoise,A
33,1882,3.14795284719477,1,LightTurquoise,A
34,1883,3.319673086237587,1,LightTurquoise,A
35,1884,3.3863705291490427,1,LightTurquoise,A
36,1885,3.5625511455304166,1,LightTurquoise,A
37,1886,3.3165550375180293,1,LightTurquoise,A
38,1887,3.5679131370644104,1,LightTurquoise,A
39,1888,3.5103875592456313,1,LightTurquoise,A
40,1889,3.7297716767328932,1,LightTurquoise,A
41,1890,3.6567851404958773,1,LightTurquoise,A
42,1891,3.4870490331920436,1,LightTurquoise,A
43,1892,3.655068316240455,1,LightTurquoise,A
44,1893,3.76056256433818,1,LightTurquoise,A
45,1894,3.6671510748297345,1,LightTurquoise,A
46,1895,3.6574004819036503,1,LightTurquoise,A
47,1896,3.537452092874134,1,LightTurquoise,A
48,1897,3.6870011673361534,1,LightTurquoise,A
49,1898,3.844856440365563,1,LightTurquoise,A
50,1899,3.4964526085144563,1,LightTurquoise,A
51,1900,3.6263578547455504,1,LightTurquoise,A
52,1901,3.8871348222054563,1,LightTurquoise,A
53,1902,3.411902994732368,1,LightTurquoise,A
54,1903,3.7802680460402405,1,LightTurquoise,A
55,1904,3.7190123953723933,1,LightTurquoise,A
56,1905,3.967564549133903,1,LightTurquoise,A
57,1906,3.9323406853069813,1,LightTurquoise,A
58,1907,3.6993833704975794,1,LightTurquoise,A
59,1908,3.6764330683962996,1,LightTurquoise,A
60,1909,3.696785232042572,1,LightTurquoise,A
61,1910,3.7666521733337186,1,LightTurquoise,A
62,1911,4.210536603267998,1,LightTurquoise,A
63,1912,4.054777504777792,1,LightTurquoise,A
64,1913,3.7707643430758746,1,LightTurquoise,A
65,1914,3.801649179111951,1,LightTurquoise,A
66,1915,3.9444340967852902,1,LightTurquoise,A
67,1916,3.709158664473829,1,LightTurquoise,A
68,1917,4.018776564036475,1,LightTurquoise,A
69,1918,3.95355183797103,1,LightTurquoise,A
70,1919,3.6948324651695774,1,LightTurquoise,A
71,1920,3.7820961930670185,1,LightTurquoise,A
72,1921,4.223216031368421,1,LightTurquoise,A
73,1922,3.9418473352508534,1,LightTurquoise,A
74,1923,3.748539233341174,1,LightTurquoise,A
