Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,2.5305798222380727,1,LightTurquoise,A
2,1851,2.457452704713865,1,LightTurquoise,A
3,1852,2.5474672398450653,1,LightTurquoise,A
4,1853,2.561335116113013,1,LightTurquoise,A
5,1854,2.4785520784326094,1,LightTurquoise,A
6,1855,2.6160757017505794,1,LightTurquoise,A
7,1856,2.6792859724146,1,LightTurquoise,A
8,1857,2.554366875785369,1,LightTurquoise,A
9,1858,2.4384942780566803,1,LightTurquoise,A
10,1859,2.5695596623017947,1,LightTurquoise,A
11,1860,2.5719861388478833,1,LightTurquoise,A
12,1861,2.6629257892749467,1,LightTurquoise,A
13,1862,2.5549200526298805,1,LightTurquoise,A
14,1863,2.631035519921059,1,LightTurquoise,A
15,1864,2.636428608617835,1,LightTurquoise,A
16,1865,2.793839267834034,1,LightTurquoise,A
17,1866,2.741793850290642,1,LightTurquoise,A
18,1867,2.8078082767553596,1,LightTurquoise,A
19,1868,2.731334307965015,1,LightTurquoise,A
20,1869,2.7306845746777433,1,LightTurquoise,A
21,1870,2.8338245386043956,1,LightTurquoise,A
22,1871,2.8149924745179713,1,LightTurquoise,A
23,1872,2.7410881578596773,1,LightTurquoise,A
24,1873,2.8604964166109204,1,LightTurquoise,A
25,1874,2.820982760029123,1,LightTurquoise,A
26,1875,2.9192589900524397,1,LightTurquoise,A
27,1876,2.8820621412163954,1,LightTurquoise,A
28,1877,2.762593028757332,1,LightTurquoise,A
29,1878,2.772976837882528,1,LightTurquoise,A
30,1879,2.911669330630404,1,LightTurquoise,A
31,1880,2.8672392383765364,1,LightTurquoise,A
32,1881,3.0553845748521122,1,LightTurquoise,A
33,1882,2.9694144514637717,1,LightTurquoise,A
34,1883,2.924189365878203,1,LightTurquoise,A
35,1884,3.0814543757365835,1,LightTurquoise,A
36,1885,3.076576945390098,1,LightTurquoise,A
37,1886,2.9243323459982347,1,LightTurquoise,A
38,1887,3.0968208086779456,1,LightTurquoise,A
39,1888,3.123525398905442,1,LightTurquoise,A
40,1889,3.3009571471326784,1,LightTurquoise,A
41,1890,3.2874570387574593,1,LightTurquoise,A
42,1891,3.1582368968612426,1,LightTurquoise,A
43,1892,3.24257774725033,1,LightTurquoise,A
44,1893,3.3367386394863816,1,LightTurquoise,A
45,1894,3.3930904276141107,1,LightTurquoise,A
46,1895,3.4056925726830647,1,LightTurquoise,A
47,1896,3.4596511642655794,1,LightTurquoise,A
48,1897,3.585130721023417,1,LightTurquoise,A
49,1898,3.5619461856494863,1,LightTurquoise,A
50,1899,3.683662922440871,1,LightTurquoise,A
51,1900,3.4777846295226573,1,LightTurquoise,A
52,1901,3.7041618066563546,1,LightTurquoise,A
53,1902,3.8298581294569933,1,LightTurquoise,A
54,1903,3.7926026095979326,1,LightTurquoise,A
55,1904,3.7311348820044454,1,LightTurquoise,A
56,1905,4.000888080469819,1,LightTurquoise,A
57,1906,3.8996501514352326,1,LightTurquoise,A
58,1907,3.915795179601608,1,LightTurquoise,A
59,1908,4.101987328686045,1,LightTurquoise,A
60,1909,4.215502960993729,1,LightTurquoise,A
61,1910,4.154249539521745,1,LightTurquoise,A
62,1911,4.272194136641707,1,LightTurquoise,A
63,1912,4.206240149331847,1,LightTurquoise,A
64,1913,4.250059011363215,1,LightTurquoise,A
65,1914,4.482117473824127,1,LightTurquoise,A
66,1915,4.5878820237369204,1,LightTurquoise,A
67,1916,4.532735818297799,1,LightTurquoise,A
68,1917,4.307064177151578,1,LightTurquoise,A
69,1918,4.5203104395522775,1,LightTurquoise,A
70,1919,4.681588271808494,1,LightTurquoise,A
71,1920,4.83999801204128,1,LightTurquoise,A
72,1921,4.745932347255442,1,LightTurquoise,A
73,1922,4.84469755928612,1,LightTurquoise,A
74,1923,5.100503161600782,2,PowderBlue,B
75,1924,5.135109731629104,2,PowderBlue,B
76,1925,5.224513175789944,2,PowderBlue,B
77,1926,5.297396935166305,2,PowderBlue,B
78,1927,5.23888742053161,2,PowderBlue,B
79,1928,5.491326405801334,2,PowderBlue,B
80,1929,5.532405168638581,2,PowderBlue,B
81,1930,5.481236240199909,2,PowderBlue,B
82,1931,5.447180614686637,2,PowderBlue,B
83,1932,5.6181924107993275,2,PowderBlue,B
84,1933,5.889222438187015,2,PowderBlue,B
85,1934,5.754908387601623,2,PowderBlue,B
86,1935,5.63032709520409,2,PowderBlue,B
87,1936,5.621129709213589,2,PowderBlue,B
88,1937,5.86719636560989,2,PowderBlue,B
89,1938,6.162184665675623,2,PowderBlue,B
90,1939,6.33668511198244,2,PowderBlue,B
91,1940,6.1772452935433435,2,PowderBlue,B
92,1941,6.63362850170071,2,PowderBlue,B
93,1942,6.974791727384536,2,PowderBlue,B
94,1943,7.070889821094578,2,PowderBlue,B
95,1944,6.993212027568376,2,PowderBlue,B
96,1945,7.252416335926875,2,PowderBlue,B
97,1946,7.353551532435938,2,PowderBlue,B
98,1947,7.690389263065448,2,PowderBlue,B
99,1948,7.800441396700409,2,PowderBlue,B
100,1949,7.868628852259156,2,PowderBlue,B
101,1950,8.301230011950944,2,PowderBlue,B
102,1951,8.463954580746204,2,PowderBlue,B
103,1952,8.735804190030711,2,PowderBlue,B
104,1953,8.721632310917252,2,PowderBlue,B
105,1954,8.981472488727308,2,PowderBlue,B
106,1955,9.239385441048691,2,PowderBlue,B
107,1956,9.500217791801889,2,PowderBlue,B
108,1957,9.627738512481743,2,PowderBlue,B
109,1958,9.57049280964309,2,PowderBlue,B
110,1959,9.735607922198673,2,PowderBlue,B
111,1960,10.088367638679083,3,CornflowerBlue,C
112,1961,10.0657781963936,3,CornflowerBlue,C
113,1962,10.752922683064163,3,CornflowerBlue,C
114,1963,10.515932268161281,3,CornflowerBlue,C
115,1964,10.601353147107053,3,CornflowerBlue,C
116,1965,10.54238827128816,3,CornflowerBlue,C
117,1966,10.901154494774534,3,CornflowerBlue,C
118,1967,11.463720392534789,3,CornflowerBlue,C
119,1968,11.052262027405495,3,CornflowerBlue,C
120,1969,11.765964641640133,3,CornflowerBlue,C
121,1970,11.679819385247741,3,CornflowerBlue,C
122,1971,11.599882245865098,3,CornflowerBlue,C
123,1972,12.340505299365443,3,CornflowerBlue,C
124,1973,12.613125505258267,3,CornflowerBlue,C
125,1974,12.695873167579045,3,CornflowerBlue,C
126,1975,12.756235699997577,3,CornflowerBlue,C
127,1976,13.088479975252728,3,CornflowerBlue,C
128,1977,13.548157526766603,3,CornflowerBlue,C
129,1978,13.608328285306541,3,CornflowerBlue,C
130,1979,13.56130345681586,3,CornflowerBlue,C
131,1980,14.408602506018024,3,CornflowerBlue,C
132,1981,14.144176100632567,3,CornflowerBlue,C
133,1982,14.570420035463826,3,CornflowerBlue,C
134,1983,14.786855050719417,3,CornflowerBlue,C
135,1984,15.491171430990887,4,LightYellow,D
136,1985,16.14867443987284,4,LightYellow,D
137,1986,15.783915690833938,4,LightYellow,D
138,1987,16.872674171229065,4,LightYellow,D
139,1988,16.1084691676423,4,LightYellow,D
140,1989,15.74945429954324,4,LightYellow,D
141,1990,14.86256670830745,3,CornflowerBlue,C
142,1991,15.053329938662237,4,LightYellow,D
143,1992,15.42887683454831,4,LightYellow,D
144,1993,15.758537636317854,4,LightYellow,D
145,1994,16.79680437693283,4,LightYellow,D
146,1995,16.69400296538276,4,LightYellow,D
147,1996,17.06452577399819,4,LightYellow,D
148,1997,17.295483535426296,4,LightYellow,D
149,1998,17.358527794039773,4,LightYellow,D
150,1999,18.834675183691555,4,LightYellow,D
151,2000,16.557531934147125,4,LightYellow,D
152,2001,17.57499885559082,4,LightYellow,D
153,2002,18.024999618530273,4,LightYellow,D
154,2003,18.516666412353516,4,LightYellow,D
155,2004,18.38333511352539,4,LightYellow,D
156,2005,17.833332061767578,4,LightYellow,D
157,2006,17.633333206176758,4,LightYellow,D
158,2007,19.36666488647461,4,LightYellow,D
159,2008,18.341665267944336,4,LightYellow,D
160,2009,19.066665649414062,4,LightYellow,D
161,2010,18.5,4,LightYellow,D
162,2011,18.16666603088379,4,LightYellow,D
163,2012,16.83333396911621,4,LightYellow,D
164,2013,16.399999618530273,4,LightYellow,D
165,2014,16.475000381469727,4,LightYellow,D
166,2015,17.80000114440918,4,LightYellow,D
167,2016,17.599998474121094,4,LightYellow,D
168,2017,17.100000381469727,4,LightYellow,D
169,2018,16.691667556762695,4,LightYellow,D
170,2019,16.441667556762695,4,LightYellow,D
171,2020,15.591666221618652,4,LightYellow,D
172,2021,16.70833396911621,4,LightYellow,D
173,2022,15.991665840148926,4,LightYellow,D
