Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.29671092033212,3,CornflowerBlue,C
2,1851,14.179224988350496,3,CornflowerBlue,C
3,1852,12.30267907210604,3,CornflowerBlue,C
4,1853,12.049995204805654,3,CornflowerBlue,C
5,1854,13.726643341532753,3,CornflowerBlue,C
6,1855,13.444546501569079,3,CornflowerBlue,C
7,1856,13.237965651359161,3,CornflowerBlue,C
8,1857,13.327888691203462,3,CornflowerBlue,C
9,1858,12.887708594478468,3,CornflowerBlue,C
10,1859,12.703302844686936,3,CornflowerBlue,C
11,1860,14.990386450239003,3,CornflowerBlue,C
12,1861,14.21879327796786,3,CornflowerBlue,C
13,1862,12.734691878387304,3,CornflowerBlue,C
14,1863,11.496070271845467,3,CornflowerBlue,C
15,1864,11.731643358114612,3,CornflowerBlue,C
16,1865,13.64766721463155,3,CornflowerBlue,C
17,1866,12.367920056797637,3,CornflowerBlue,C
18,1867,13.031877804544457,3,CornflowerBlue,C
19,1868,13.012019114823495,3,CornflowerBlue,C
20,1869,13.208496469594092,3,CornflowerBlue,C
21,1870,12.39575066338505,3,CornflowerBlue,C
22,1871,11.223688205312431,3,CornflowerBlue,C
23,1872,12.078197873402734,3,CornflowerBlue,C
24,1873,13.022346548815262,3,CornflowerBlue,C
25,1874,13.259806024253383,3,CornflowerBlue,C
26,1875,14.029942552830041,3,CornflowerBlue,C
27,1876,12.959007363667943,3,CornflowerBlue,C
28,1877,12.467569558134043,3,CornflowerBlue,C
29,1878,12.931160559340807,3,CornflowerBlue,C
30,1879,12.758155157746708,3,CornflowerBlue,C
31,1880,13.073738031512775,3,CornflowerBlue,C
32,1881,13.014190155692656,3,CornflowerBlue,C
33,1882,14.547117146483409,3,CornflowerBlue,C
34,1883,12.070926303151763,3,CornflowerBlue,C
35,1884,12.641431845207777,3,CornflowerBlue,C
36,1885,13.493661965136459,3,CornflowerBlue,C
37,1886,12.741378258795084,3,CornflowerBlue,C
38,1887,13.550991534320334,3,CornflowerBlue,C
39,1888,12.833994017068036,3,CornflowerBlue,C
40,1889,12.07756757068595,3,CornflowerBlue,C
41,1890,12.114665534727607,3,CornflowerBlue,C
42,1891,12.536094982734445,3,CornflowerBlue,C
43,1892,13.014135430962323,3,CornflowerBlue,C
44,1893,12.868420466632681,3,CornflowerBlue,C
45,1894,12.226003472799258,3,CornflowerBlue,C
46,1895,13.337333246930145,3,CornflowerBlue,C
47,1896,12.998981411071782,3,CornflowerBlue,C
48,1897,12.559695526339626,3,CornflowerBlue,C
49,1898,13.061460722828727,3,CornflowerBlue,C
50,1899,12.61295513390581,3,CornflowerBlue,C
51,1900,13.238513779562652,3,CornflowerBlue,C
52,1901,12.119388393973816,3,CornflowerBlue,C
53,1902,13.158467789346325,3,CornflowerBlue,C
54,1903,12.91367237241113,3,CornflowerBlue,C
55,1904,13.295309756376334,3,CornflowerBlue,C
56,1905,14.073005701885675,3,CornflowerBlue,C
57,1906,13.738784022938628,3,CornflowerBlue,C
58,1907,12.706878897239047,3,CornflowerBlue,C
59,1908,13.682536617994364,3,CornflowerBlue,C
60,1909,12.881992429264812,3,CornflowerBlue,C
61,1910,13.481481773518231,3,CornflowerBlue,C
62,1911,12.701348224073332,3,CornflowerBlue,C
63,1912,13.679296386057189,3,CornflowerBlue,C
64,1913,13.464666498298245,3,CornflowerBlue,C
65,1914,13.57254903299612,3,CornflowerBlue,C
66,1915,13.413548457551851,3,CornflowerBlue,C
67,1916,15.406861161714161,4,LightYellow,D
68,1917,12.218202450509597,3,CornflowerBlue,C
69,1918,12.55180695708202,3,CornflowerBlue,C
70,1919,13.569875845051067,3,CornflowerBlue,C
71,1920,13.471124056977228,3,CornflowerBlue,C
72,1921,13.948362358211574,3,CornflowerBlue,C
73,1922,12.832067892251294,3,CornflowerBlue,C
74,1923,12.688241257613345,3,CornflowerBlue,C
75,1924,12.706022318393071,3,CornflowerBlue,C
76,1925,12.74058578543117,3,CornflowerBlue,C
77,1926,13.49821280060798,3,CornflowerBlue,C
78,1927,14.050952670097404,3,CornflowerBlue,C
79,1928,13.610595802605147,3,CornflowerBlue,C
80,1929,13.883213486461154,3,CornflowerBlue,C
81,1930,14.601729982067855,3,CornflowerBlue,C
82,1931,13.61279310560685,3,CornflowerBlue,C
83,1932,14.726450965852546,3,CornflowerBlue,C
84,1933,13.835451082278,3,CornflowerBlue,C
85,1934,12.55851438026046,3,CornflowerBlue,C
86,1935,13.00098503222772,3,CornflowerBlue,C
87,1936,11.941446930816646,3,CornflowerBlue,C
88,1937,14.806656041180892,3,CornflowerBlue,C
89,1938,15.601752724406811,4,LightYellow,D
90,1939,14.683416225657517,3,CornflowerBlue,C
91,1940,12.832668083581348,3,CornflowerBlue,C
92,1941,13.407113939004265,3,CornflowerBlue,C
93,1942,13.801308416525801,3,CornflowerBlue,C
94,1943,13.76300115903893,3,CornflowerBlue,C
95,1944,12.995246450467345,3,CornflowerBlue,C
96,1945,13.779496774805038,3,CornflowerBlue,C
97,1946,14.114916548239668,3,CornflowerBlue,C
98,1947,13.299276167838528,3,CornflowerBlue,C
99,1948,14.188040950936458,3,CornflowerBlue,C
100,1949,13.306309607359532,3,CornflowerBlue,C
101,1950,13.388356806373785,3,CornflowerBlue,C
102,1951,13.046523931367265,3,CornflowerBlue,C
103,1952,13.283872601881207,3,CornflowerBlue,C
104,1953,14.148072009426803,3,CornflowerBlue,C
105,1954,13.422451751359407,3,CornflowerBlue,C
106,1955,14.225566809096268,3,CornflowerBlue,C
107,1956,13.273415721464243,3,CornflowerBlue,C
108,1957,13.239321618272232,3,CornflowerBlue,C
109,1958,15.585219540007335,4,LightYellow,D
110,1959,14.028433955706275,3,CornflowerBlue,C
111,1960,13.864061509572403,3,CornflowerBlue,C
112,1961,13.054671925074791,3,CornflowerBlue,C
113,1962,12.909057691335896,3,CornflowerBlue,C
114,1963,13.43273482229855,3,CornflowerBlue,C
115,1964,13.162983696820493,3,CornflowerBlue,C
116,1965,14.083614440924235,3,CornflowerBlue,C
117,1966,13.89691232074968,3,CornflowerBlue,C
118,1967,14.146455498581592,3,CornflowerBlue,C
119,1968,13.406828332554662,3,CornflowerBlue,C
120,1969,14.626454303799067,3,CornflowerBlue,C
121,1970,12.89343696444728,3,CornflowerBlue,C
122,1971,13.432971431646093,3,CornflowerBlue,C
123,1972,14.574769371435755,3,CornflowerBlue,C
124,1973,14.416102435818686,3,CornflowerBlue,C
125,1974,14.313211753420351,3,CornflowerBlue,C
126,1975,13.668211315656356,3,CornflowerBlue,C
127,1976,14.11487697661279,3,CornflowerBlue,C
128,1977,13.776705595058496,3,CornflowerBlue,C
129,1978,14.453099505670608,3,CornflowerBlue,C
130,1979,13.462197250970583,3,CornflowerBlue,C
131,1980,14.193114287408312,3,CornflowerBlue,C
132,1981,14.628745911262234,3,CornflowerBlue,C
133,1982,13.95758855883893,3,CornflowerBlue,C
134,1983,13.852572689571515,3,CornflowerBlue,C
135,1984,14.635772148967035,3,CornflowerBlue,C
136,1985,13.1259892950308,3,CornflowerBlue,C
137,1986,15.040593118211662,4,LightYellow,D
138,1987,15.161870606919365,4,LightYellow,D
139,1988,14.348893229601526,3,CornflowerBlue,C
140,1989,13.39422395280391,3,CornflowerBlue,C
141,1990,13.220653967364646,3,CornflowerBlue,C
142,1991,13.505654495991118,3,CornflowerBlue,C
143,1992,14.485158591517118,3,CornflowerBlue,C
144,1993,13.733907733086365,3,CornflowerBlue,C
145,1994,14.958273521373824,3,CornflowerBlue,C
146,1995,13.441730327911218,3,CornflowerBlue,C
147,1996,14.349340339285831,3,CornflowerBlue,C
148,1997,14.447210861837997,3,CornflowerBlue,C
149,1998,14.325516671015933,3,CornflowerBlue,C
150,1999,15.200029910342048,4,LightYellow,D
151,2000,14.913559266267603,3,CornflowerBlue,C
