Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.184475529251183,2,PowderBlue,B
2,1851,6.820972197757885,2,PowderBlue,B
3,1852,6.935440876615977,2,PowderBlue,B
4,1853,7.210075935473467,2,PowderBlue,B
5,1854,7.256958094035367,2,PowderBlue,B
6,1855,7.134099027021342,2,PowderBlue,B
7,1856,7.124826562993324,2,PowderBlue,B
8,1857,7.185766652722875,2,PowderBlue,B
9,1858,7.0452335452930654,2,PowderBlue,B
10,1859,7.137221439358411,2,PowderBlue,B
11,1860,7.107516076791915,2,PowderBlue,B
12,1861,7.123506507535818,2,PowderBlue,B
13,1862,7.125132677473449,2,PowderBlue,B
14,1863,7.196904705405723,2,PowderBlue,B
15,1864,6.878102453926274,2,PowderBlue,B
16,1865,7.184107447053147,2,PowderBlue,B
17,1866,7.201666401654324,2,PowderBlue,B
18,1867,7.296312180294575,2,PowderBlue,B
19,1868,7.230365710764571,2,PowderBlue,B
20,1869,7.159215667958377,2,PowderBlue,B
21,1870,7.190471210919963,2,PowderBlue,B
22,1871,7.020777606224816,2,PowderBlue,B
23,1872,6.889417002387661,2,PowderBlue,B
24,1873,7.137350683478506,2,PowderBlue,B
25,1874,7.305122004263316,2,PowderBlue,B
26,1875,7.122572786683431,2,PowderBlue,B
27,1876,7.082331976456422,2,PowderBlue,B
28,1877,7.085804094566816,2,PowderBlue,B
29,1878,7.210067113714918,2,PowderBlue,B
30,1879,7.196075341122444,2,PowderBlue,B
31,1880,6.972559602158894,2,PowderBlue,B
32,1881,7.05788452160389,2,PowderBlue,B
33,1882,7.2333954865181616,2,PowderBlue,B
34,1883,7.045983581510516,2,PowderBlue,B
35,1884,6.795510149069911,2,PowderBlue,B
36,1885,7.104147350028003,2,PowderBlue,B
37,1886,7.263786674489343,2,PowderBlue,B
38,1887,7.252028930785186,2,PowderBlue,B
39,1888,6.898736500438632,2,PowderBlue,B
40,1889,6.954658969829651,2,PowderBlue,B
41,1890,7.271694891920742,2,PowderBlue,B
42,1891,7.012621262551017,2,PowderBlue,B
43,1892,7.152158218971917,2,PowderBlue,B
44,1893,7.186086707711306,2,PowderBlue,B
45,1894,7.363481706147948,2,PowderBlue,B
46,1895,7.212879318124395,2,PowderBlue,B
