Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,20.511172535387956,5,Vanilla,E
2,1851,23.312307924105166,5,Vanilla,E
3,1852,19.14680990215668,4,LightYellow,D
4,1853,20.272821426503253,5,Vanilla,E
5,1854,21.217573499626972,5,Vanilla,E
6,1855,22.587831162329643,5,Vanilla,E
7,1856,19.750253501932292,4,LightYellow,D
8,1857,18.40954575447542,4,LightYellow,D
9,1858,19.722269710417443,4,LightYellow,D
10,1859,18.776169425521616,4,LightYellow,D
11,1860,20.89263434281744,5,Vanilla,E
12,1861,19.886541287045798,4,LightYellow,D
13,1862,20.927538867752897,5,Vanilla,E
14,1863,20.04223682021808,5,Vanilla,E
15,1864,22.896970646639133,5,Vanilla,E
16,1865,20.720850431408408,5,Vanilla,E
17,1866,20.858549051156242,5,Vanilla,E
18,1867,19.639879701085512,4,LightYellow,D
19,1868,21.638712441640735,5,Vanilla,E
20,1869,21.190599603770497,5,Vanilla,E
21,1870,21.219452024698434,5,Vanilla,E
22,1871,17.528003557149397,4,LightYellow,D
23,1872,19.195854349132304,4,LightYellow,D
24,1873,22.040619705437656,5,Vanilla,E
25,1874,21.314587124420658,5,Vanilla,E
26,1875,21.37803231489048,5,Vanilla,E
27,1876,20.234410793968014,5,Vanilla,E
28,1877,21.514873545575956,5,Vanilla,E
29,1878,20.04494897816848,5,Vanilla,E
30,1879,20.68241195891667,5,Vanilla,E
31,1880,21.341235201301036,5,Vanilla,E
32,1881,20.818267695795125,5,Vanilla,E
33,1882,24.335567646798474,5,Vanilla,E
34,1883,19.787990858920725,4,LightYellow,D
35,1884,18.3806834862359,4,LightYellow,D
36,1885,19.358927424237823,4,LightYellow,D
37,1886,19.86386274376738,4,LightYellow,D
38,1887,21.32786209317413,5,Vanilla,E
39,1888,22.460172690897256,5,Vanilla,E
40,1889,19.478901515278373,4,LightYellow,D
41,1890,19.257497356325466,4,LightYellow,D
42,1891,20.097065858991325,5,Vanilla,E
43,1892,22.26314360017079,5,Vanilla,E
44,1893,20.992555714093683,5,Vanilla,E
45,1894,21.126916920129844,5,Vanilla,E
46,1895,21.585594357848077,5,Vanilla,E
47,1896,21.26880172262625,5,Vanilla,E
48,1897,19.94054827617932,4,LightYellow,D
49,1898,20.499277157949454,5,Vanilla,E
50,1899,21.794891522369078,5,Vanilla,E
51,1900,22.4766586829026,5,Vanilla,E
52,1901,21.626359258221992,5,Vanilla,E
53,1902,21.54830219938962,5,Vanilla,E
54,1903,21.163613014684426,5,Vanilla,E
55,1904,20.152545124877793,5,Vanilla,E
56,1905,23.480665568131325,5,Vanilla,E
57,1906,24.617302781878365,5,Vanilla,E
58,1907,25.377841023242357,5,Vanilla,E
59,1908,20.64752114469594,5,Vanilla,E
60,1909,24.396059400811644,5,Vanilla,E
61,1910,21.40470974263324,5,Vanilla,E
62,1911,21.32758297255431,5,Vanilla,E
63,1912,22.583843549453366,5,Vanilla,E
64,1913,20.243978162800545,5,Vanilla,E
65,1914,24.489050624581086,5,Vanilla,E
66,1915,22.415401589873376,5,Vanilla,E
67,1916,26.44437340465711,5,Vanilla,E
68,1917,24.622744407658185,5,Vanilla,E
69,1918,18.655353595220962,4,LightYellow,D
70,1919,21.715311903855778,5,Vanilla,E
71,1920,21.881976046154705,5,Vanilla,E
72,1921,21.199893998791694,5,Vanilla,E
73,1922,21.135778481424374,5,Vanilla,E
74,1923,22.518791589877942,5,Vanilla,E
75,1924,20.415729900659787,5,Vanilla,E
76,1925,20.491860606201843,5,Vanilla,E
77,1926,22.562484118754405,5,Vanilla,E
78,1927,24.857310035649306,5,Vanilla,E
79,1928,25.242995233668054,5,Vanilla,E
80,1929,22.229851058157877,5,Vanilla,E
81,1930,20.71649830517045,5,Vanilla,E
82,1931,25.10806016685605,5,Vanilla,E
83,1932,25.711734192041654,5,Vanilla,E
84,1933,21.493649601019698,5,Vanilla,E
85,1934,24.042303734438757,5,Vanilla,E
86,1935,25.308012289811785,5,Vanilla,E
87,1936,24.399716644182256,5,Vanilla,E
88,1937,25.164612575555577,5,Vanilla,E
89,1938,26.765033617964622,5,Vanilla,E
90,1939,26.213854060381333,5,Vanilla,E
91,1940,26.071428592949875,5,Vanilla,E
92,1941,27.313940828913886,5,Vanilla,E
93,1942,25.886693243557584,5,Vanilla,E
94,1943,24.050608465742684,5,Vanilla,E
