Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.827505292713672,3,CornflowerBlue,C
2,1851,11.593654690439678,3,CornflowerBlue,C
3,1852,11.753907462841394,3,CornflowerBlue,C
4,1853,11.361543603042445,3,CornflowerBlue,C
5,1854,11.22043429016329,3,CornflowerBlue,C
6,1855,10.043735635056319,3,CornflowerBlue,C
7,1856,10.76222806069385,3,CornflowerBlue,C
8,1857,11.443694218045705,3,CornflowerBlue,C
9,1858,10.38582004843829,3,CornflowerBlue,C
10,1859,10.582520922576487,3,CornflowerBlue,C
11,1860,11.33003934114712,3,CornflowerBlue,C
12,1861,11.630566092588492,3,CornflowerBlue,C
13,1862,11.43948225009826,3,CornflowerBlue,C
14,1863,10.475386554669537,3,CornflowerBlue,C
15,1864,11.256995004021531,3,CornflowerBlue,C
16,1865,11.044103046272683,3,CornflowerBlue,C
17,1866,11.279430355726264,3,CornflowerBlue,C
18,1867,11.795554319962234,3,CornflowerBlue,C
19,1868,11.848235567607349,3,CornflowerBlue,C
20,1869,11.32168785416504,3,CornflowerBlue,C
21,1870,10.713783638404722,3,CornflowerBlue,C
22,1871,10.865971814189006,3,CornflowerBlue,C
23,1872,10.656962725443945,3,CornflowerBlue,C
24,1873,11.32631386105763,3,CornflowerBlue,C
25,1874,11.508853062347455,3,CornflowerBlue,C
26,1875,11.432676758105073,3,CornflowerBlue,C
27,1876,12.716536014366095,3,CornflowerBlue,C
28,1877,12.004532407399623,3,CornflowerBlue,C
29,1878,11.601590979598878,3,CornflowerBlue,C
30,1879,12.196761701083199,3,CornflowerBlue,C
31,1880,12.340549634930793,3,CornflowerBlue,C
32,1881,11.368260843790347,3,CornflowerBlue,C
33,1882,12.130733065364716,3,CornflowerBlue,C
34,1883,12.18374483616675,3,CornflowerBlue,C
35,1884,11.811047390264418,3,CornflowerBlue,C
36,1885,12.459109634854835,3,CornflowerBlue,C
37,1886,13.198619265726828,3,CornflowerBlue,C
38,1887,12.607765832224999,3,CornflowerBlue,C
39,1888,13.608137435257493,3,CornflowerBlue,C
40,1889,12.703577875916642,3,CornflowerBlue,C
41,1890,12.460786877947735,3,CornflowerBlue,C
42,1891,11.998317685611056,3,CornflowerBlue,C
43,1892,13.608422117567914,3,CornflowerBlue,C
44,1893,12.4599570152223,3,CornflowerBlue,C
45,1894,13.365316246196796,3,CornflowerBlue,C
46,1895,13.845579838771817,3,CornflowerBlue,C
47,1896,14.078858315392553,3,CornflowerBlue,C
48,1897,13.574984633797687,3,CornflowerBlue,C
49,1898,12.853009559573911,3,CornflowerBlue,C
50,1899,13.570799613312966,3,CornflowerBlue,C
51,1900,15.547590668819707,4,LightYellow,D
52,1901,13.603586431339911,3,CornflowerBlue,C
53,1902,13.815261146289451,3,CornflowerBlue,C
54,1903,14.67178115438451,3,CornflowerBlue,C
55,1904,13.696895418911167,3,CornflowerBlue,C
56,1905,14.347019422020626,3,CornflowerBlue,C
57,1906,13.944868979737828,3,CornflowerBlue,C
58,1907,14.39582047646685,3,CornflowerBlue,C
59,1908,13.337140447361005,3,CornflowerBlue,C
60,1909,14.506229315217217,3,CornflowerBlue,C
61,1910,14.495463956906777,3,CornflowerBlue,C
62,1911,14.743630959012274,3,CornflowerBlue,C
63,1912,15.259335772966734,4,LightYellow,D
