Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.10450763940582,4,LightYellow,D
2,1851,20.22967693949513,5,Vanilla,E
3,1852,19.274012700232202,4,LightYellow,D
4,1853,18.957107906567305,4,LightYellow,D
5,1854,18.328100343258047,4,LightYellow,D
6,1855,18.50868172904067,4,LightYellow,D
7,1856,18.812570017849996,4,LightYellow,D
8,1857,18.189453298935252,4,LightYellow,D
9,1858,16.195311559927,4,LightYellow,D
10,1859,16.147007468453708,4,LightYellow,D
11,1860,19.946347451322445,4,LightYellow,D
12,1861,17.412538151362618,4,LightYellow,D
13,1862,19.7264689144843,4,LightYellow,D
14,1863,16.969095970780938,4,LightYellow,D
15,1864,18.80596255791869,4,LightYellow,D
16,1865,16.624110688270008,4,LightYellow,D
17,1866,19.11690905476308,4,LightYellow,D
18,1867,18.34545781557521,4,LightYellow,D
19,1868,19.873908090046505,4,LightYellow,D
20,1869,18.350249187368643,4,LightYellow,D
21,1870,18.303173829287726,4,LightYellow,D
22,1871,15.631529871644732,4,LightYellow,D
23,1872,16.62408074970781,4,LightYellow,D
24,1873,17.91144034281656,4,LightYellow,D
25,1874,18.6255783693035,4,LightYellow,D
26,1875,18.70158473402102,4,LightYellow,D
27,1876,19.324500584789337,4,LightYellow,D
28,1877,18.333214821729175,4,LightYellow,D
29,1878,18.070352306867736,4,LightYellow,D
30,1879,17.53425854191973,4,LightYellow,D
31,1880,18.67472505621863,4,LightYellow,D
32,1881,16.35486982761459,4,LightYellow,D
33,1882,19.68680113907143,4,LightYellow,D
34,1883,17.91860548353105,4,LightYellow,D
35,1884,15.343087093884375,4,LightYellow,D
36,1885,16.93272296865698,4,LightYellow,D
37,1886,20.1389877979379,5,Vanilla,E
38,1887,19.487881689974913,4,LightYellow,D
39,1888,20.790448992285935,5,Vanilla,E
40,1889,16.88310639145767,4,LightYellow,D
41,1890,18.694373785886246,4,LightYellow,D
42,1891,16.356333618793744,4,LightYellow,D
43,1892,19.940428143789315,4,LightYellow,D
44,1893,17.958001149268668,4,LightYellow,D
45,1894,18.566386452950454,4,LightYellow,D
46,1895,20.06242654947423,5,Vanilla,E
47,1896,21.137890698209194,5,Vanilla,E
48,1897,17.229555516353297,4,LightYellow,D
49,1898,16.525785674886965,4,LightYellow,D
50,1899,16.723682946105573,4,LightYellow,D
51,1900,24.160292645854067,5,Vanilla,E
52,1901,17.52388107147082,4,LightYellow,D
53,1902,17.948702833115963,4,LightYellow,D
54,1903,18.93642432213623,4,LightYellow,D
55,1904,18.903331902287178,4,LightYellow,D
56,1905,18.640302226282472,4,LightYellow,D
57,1906,18.137624227852488,4,LightYellow,D
58,1907,18.86460595430301,4,LightYellow,D
59,1908,16.354925579230176,4,LightYellow,D
60,1909,17.4128064776775,4,LightYellow,D
61,1910,18.355750214537146,4,LightYellow,D
62,1911,16.922845947518923,4,LightYellow,D
63,1912,20.12093895236527,5,Vanilla,E
64,1913,17.542528934325194,4,LightYellow,D
65,1914,19.59747664888139,4,LightYellow,D
66,1915,17.3281835322471,4,LightYellow,D
67,1916,18.822325639063315,4,LightYellow,D
68,1917,22.149090816853548,5,Vanilla,E
69,1918,18.499177223425793,4,LightYellow,D
70,1919,17.250236848123745,4,LightYellow,D
71,1920,18.707350766005373,4,LightYellow,D
72,1921,18.789761169181407,4,LightYellow,D
73,1922,19.33659528293519,4,LightYellow,D
74,1923,19.9318053567767,4,LightYellow,D
75,1924,15.604530176259749,4,LightYellow,D
76,1925,15.691898326493106,4,LightYellow,D
77,1926,17.60855432958506,4,LightYellow,D
78,1927,18.98150376705104,4,LightYellow,D
79,1928,18.687545590129947,4,LightYellow,D
80,1929,18.76037654548166,4,LightYellow,D
81,1930,18.365692909593047,4,LightYellow,D
82,1931,19.060631940610683,4,LightYellow,D
83,1932,21.0700679974432,5,Vanilla,E
84,1933,16.60968373312983,4,LightYellow,D
85,1934,18.213695196762853,4,LightYellow,D
86,1935,17.029513217619638,4,LightYellow,D
87,1936,21.13623887793971,5,Vanilla,E
88,1937,18.720355668222542,4,LightYellow,D
89,1938,18.367255524170083,4,LightYellow,D
90,1939,18.447817341582713,4,LightYellow,D
91,1940,19.384746100774258,4,LightYellow,D
92,1941,18.415234867763406,4,LightYellow,D
93,1942,16.45037284317323,4,LightYellow,D
94,1943,15.577886850650597,4,LightYellow,D
95,1944,18.557640272574055,4,LightYellow,D
96,1945,16.724781695907055,4,LightYellow,D
97,1946,17.58636154024725,4,LightYellow,D
98,1947,17.706904666463405,4,LightYellow,D
99,1948,17.14790831733045,4,LightYellow,D
100,1949,19.914030070115434,4,LightYellow,D
101,1950,16.22610606184397,4,LightYellow,D
102,1951,16.941463777167368,4,LightYellow,D
103,1952,16.022741778218588,4,LightYellow,D
104,1953,18.13743012023871,4,LightYellow,D
105,1954,16.95175439385477,4,LightYellow,D
106,1955,20.437577304367625,5,Vanilla,E
107,1956,19.47057292178118,4,LightYellow,D
108,1957,18.12753738178977,4,LightYellow,D
109,1958,18.82883249753871,4,LightYellow,D
110,1959,18.658662430502613,4,LightYellow,D
111,1960,19.58855205462662,4,LightYellow,D
112,1961,19.453888147896894,4,LightYellow,D
113,1962,15.199866896149878,4,LightYellow,D
114,1963,20.827403576208702,5,Vanilla,E
115,1964,20.885053987563975,5,Vanilla,E
116,1965,20.424099702248068,5,Vanilla,E
117,1966,19.67543693743681,4,LightYellow,D
118,1967,19.873897581565654,4,LightYellow,D
119,1968,21.238663048374406,5,Vanilla,E
120,1969,20.68703961331898,5,Vanilla,E
121,1970,18.79300994850722,4,LightYellow,D
122,1971,21.99647744038637,5,Vanilla,E
123,1972,22.344991833303855,5,Vanilla,E
124,1973,22.93090992284777,5,Vanilla,E
125,1974,24.26243445199406,5,Vanilla,E
126,1975,24.162142100443308,5,Vanilla,E
127,1976,27.2132438385632,5,Vanilla,E
128,1977,25.561253942395027,5,Vanilla,E
129,1978,25.740099748564823,5,Vanilla,E
130,1979,24.167456774901623,5,Vanilla,E
131,1980,26.14775474567026,5,Vanilla,E
132,1981,23.208265661597995,5,Vanilla,E
133,1982,25.290478093831577,5,Vanilla,E
134,1983,25.163347176138522,5,Vanilla,E
135,1984,26.143169646891316,5,Vanilla,E
136,1985,29.610162337815307,5,Vanilla,E
137,1986,28.455644875266916,5,Vanilla,E
138,1987,28.790402312912764,5,Vanilla,E
139,1988,28.16174452170042,5,Vanilla,E
140,1989,29.826744290416652,5,Vanilla,E
141,1990,32.28540855043671,6,Dandelion,F
142,1991,31.61247059065752,6,Dandelion,F
143,1992,31.834389461009348,6,Dandelion,F
144,1993,30.861508896441734,6,Dandelion,F
145,1994,31.37482725017139,6,Dandelion,F
146,1995,32.19284878277695,6,Dandelion,F
147,1996,32.169188482588915,6,Dandelion,F
148,1997,32.77944721946046,6,Dandelion,F
149,1998,32.60172680783477,6,Dandelion,F
150,1999,33.040158046658,6,Dandelion,F
151,2000,33.52971784313652,6,Dandelion,F
152,2001,35.29166793823242,6,Dandelion,F
153,2002,33.1916618347168,6,Dandelion,F
154,2003,35.616668701171875,6,Dandelion,F
155,2004,33.499996185302734,6,Dandelion,F
156,2005,33.775001525878906,6,Dandelion,F
157,2006,34.958335876464844,6,Dandelion,F
158,2007,35.16666793823242,6,Dandelion,F
159,2008,38.05833435058594,6,Dandelion,F
160,2009,38.31666564941406,6,Dandelion,F
161,2010,40.09166717529297,7,Tangerine,G
162,2011,37.93333435058594,6,Dandelion,F
163,2012,35.983333587646484,6,Dandelion,F
164,2013,33.59166717529297,6,Dandelion,F
165,2014,37.35000228881836,6,Dandelion,F
166,2015,35.86666488647461,6,Dandelion,F
167,2016,35.30833435058594,6,Dandelion,F
168,2017,36.64999771118164,6,Dandelion,F
169,2018,36.633338928222656,6,Dandelion,F
170,2019,36.41667175292969,6,Dandelion,F
171,2020,36.21666717529297,6,Dandelion,F
172,2021,38.716670989990234,6,Dandelion,F
173,2022,39.20833206176758,6,Dandelion,F
