Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.561371768440699,3,CornflowerBlue,C
2,1851,12.034214114372196,3,CornflowerBlue,C
3,1852,10.143099148795455,3,CornflowerBlue,C
4,1853,11.455029540724029,3,CornflowerBlue,C
5,1854,10.235072251525711,3,CornflowerBlue,C
6,1855,10.999581027169835,3,CornflowerBlue,C
7,1856,9.598171612038648,2,PowderBlue,B
8,1857,9.55865757009091,2,PowderBlue,B
9,1858,10.901983035432586,3,CornflowerBlue,C
10,1859,10.516200832547133,3,CornflowerBlue,C
11,1860,10.123622969346602,3,CornflowerBlue,C
12,1861,9.920868329872402,2,PowderBlue,B
13,1862,11.528357471974273,3,CornflowerBlue,C
14,1863,9.324964933884445,2,PowderBlue,B
15,1864,9.834417046507006,2,PowderBlue,B
16,1865,9.705103195714077,2,PowderBlue,B
17,1866,9.821539770851272,2,PowderBlue,B
18,1867,10.702896930194008,3,CornflowerBlue,C
19,1868,10.943388928133439,3,CornflowerBlue,C
20,1869,10.88316345992115,3,CornflowerBlue,C
21,1870,10.73061739795465,3,CornflowerBlue,C
22,1871,9.802419302351238,2,PowderBlue,B
23,1872,10.229467305448072,3,CornflowerBlue,C
24,1873,11.038049770414126,3,CornflowerBlue,C
25,1874,12.608785345900168,3,CornflowerBlue,C
26,1875,10.505181011031986,3,CornflowerBlue,C
27,1876,9.666486983401363,2,PowderBlue,B
28,1877,10.699701155674939,3,CornflowerBlue,C
29,1878,9.379638075984062,2,PowderBlue,B
30,1879,10.610642734763017,3,CornflowerBlue,C
31,1880,10.199953351258975,3,CornflowerBlue,C
32,1881,10.940728992489074,3,CornflowerBlue,C
33,1882,11.752596403713298,3,CornflowerBlue,C
34,1883,8.931326060601885,2,PowderBlue,B
35,1884,9.559498990616005,2,PowderBlue,B
36,1885,9.052157045493935,2,PowderBlue,B
37,1886,9.389610594443953,2,PowderBlue,B
38,1887,10.053044558970562,3,CornflowerBlue,C
39,1888,10.87667289571126,3,CornflowerBlue,C
40,1889,10.889558831548868,3,CornflowerBlue,C
41,1890,10.27067266545184,3,CornflowerBlue,C
42,1891,10.217478404617403,3,CornflowerBlue,C
43,1892,9.715457117366398,2,PowderBlue,B
44,1893,10.642110438451388,3,CornflowerBlue,C
45,1894,11.197004189606208,3,CornflowerBlue,C
46,1895,9.444262188670857,2,PowderBlue,B
47,1896,9.923612478319809,2,PowderBlue,B
48,1897,9.94257741024547,2,PowderBlue,B
49,1898,9.569430424193714,2,PowderBlue,B
50,1899,10.93980966435053,3,CornflowerBlue,C
51,1900,10.894574623758494,3,CornflowerBlue,C
52,1901,10.469338960259508,3,CornflowerBlue,C
53,1902,11.08033113695023,3,CornflowerBlue,C
54,1903,10.264363161537716,3,CornflowerBlue,C
55,1904,11.200621378321376,3,CornflowerBlue,C
56,1905,10.291198957977633,3,CornflowerBlue,C
57,1906,11.263481929707234,3,CornflowerBlue,C
58,1907,11.590338498456086,3,CornflowerBlue,C
59,1908,10.525900987258062,3,CornflowerBlue,C
60,1909,10.666033545247263,3,CornflowerBlue,C
61,1910,10.768337123104345,3,CornflowerBlue,C
62,1911,9.248792682486886,2,PowderBlue,B
63,1912,11.34194526587029,3,CornflowerBlue,C
64,1913,10.403181468173761,3,CornflowerBlue,C
65,1914,11.332781791317453,3,CornflowerBlue,C
66,1915,11.50536555256168,3,CornflowerBlue,C
67,1916,12.633666338381229,3,CornflowerBlue,C
68,1917,12.698174249987416,3,CornflowerBlue,C
69,1918,10.381365623568543,3,CornflowerBlue,C
70,1919,10.547022218842518,3,CornflowerBlue,C
71,1920,10.87087990663933,3,CornflowerBlue,C
72,1921,10.629046097187418,3,CornflowerBlue,C
73,1922,10.097557782151107,3,CornflowerBlue,C
74,1923,11.443528005395967,3,CornflowerBlue,C
75,1924,11.060042659125827,3,CornflowerBlue,C
76,1925,10.630960408751355,3,CornflowerBlue,C
77,1926,10.17853078469085,3,CornflowerBlue,C
78,1927,11.660419623199157,3,CornflowerBlue,C
79,1928,10.61687131874732,3,CornflowerBlue,C
80,1929,11.156933471898004,3,CornflowerBlue,C
81,1930,10.723815981105627,3,CornflowerBlue,C
82,1931,12.11286464451853,3,CornflowerBlue,C
83,1932,10.874861679194206,3,CornflowerBlue,C
84,1933,10.045486907869865,3,CornflowerBlue,C
85,1934,10.579426203512527,3,CornflowerBlue,C
86,1935,10.950060886208897,3,CornflowerBlue,C
87,1936,10.521209344986273,3,CornflowerBlue,C
88,1937,11.418009324926416,3,CornflowerBlue,C
89,1938,11.33325102164633,3,CornflowerBlue,C
90,1939,11.008851999111458,3,CornflowerBlue,C
91,1940,10.49253227316413,3,CornflowerBlue,C
92,1941,11.226064765945143,3,CornflowerBlue,C
93,1942,11.146892492688673,3,CornflowerBlue,C
94,1943,10.341917166993552,3,CornflowerBlue,C
95,1944,9.933604847015406,2,PowderBlue,B
96,1945,11.010412632795736,3,CornflowerBlue,C
97,1946,10.98449434500208,3,CornflowerBlue,C
98,1947,10.523490771003269,3,CornflowerBlue,C
99,1948,11.519248214370021,3,CornflowerBlue,C
100,1949,10.678144394119235,3,CornflowerBlue,C
101,1950,12.25817742312724,3,CornflowerBlue,C
102,1951,12.66845520478025,3,CornflowerBlue,C
103,1952,12.569317591652652,3,CornflowerBlue,C
104,1953,12.438166458261836,3,CornflowerBlue,C
105,1954,12.406957744920387,3,CornflowerBlue,C
106,1955,13.482635331982324,3,CornflowerBlue,C
107,1956,11.942286096359595,3,CornflowerBlue,C
108,1957,12.815539209322601,3,CornflowerBlue,C
109,1958,13.714731180167547,3,CornflowerBlue,C
110,1959,12.877547277877134,3,CornflowerBlue,C
111,1960,13.31427803499201,3,CornflowerBlue,C
112,1961,12.998430888927652,3,CornflowerBlue,C
113,1962,11.887701918315585,3,CornflowerBlue,C
114,1963,12.929713189279296,3,CornflowerBlue,C
115,1964,14.690950563626119,3,CornflowerBlue,C
116,1965,14.393395588382827,3,CornflowerBlue,C
117,1966,12.422384887925716,3,CornflowerBlue,C
118,1967,13.988543581640986,3,CornflowerBlue,C
119,1968,14.420571840504271,3,CornflowerBlue,C
120,1969,13.892302500384506,3,CornflowerBlue,C
121,1970,14.580482349841368,3,CornflowerBlue,C
122,1971,14.276608693117714,3,CornflowerBlue,C
123,1972,13.828933233150869,3,CornflowerBlue,C
124,1973,14.540576614332997,3,CornflowerBlue,C
125,1974,13.389486971467027,3,CornflowerBlue,C
126,1975,14.173011501985265,3,CornflowerBlue,C
127,1976,14.73467014919531,3,CornflowerBlue,C
128,1977,14.289126906487542,3,CornflowerBlue,C
129,1978,14.698049405742928,3,CornflowerBlue,C
130,1979,13.834910005134118,3,CornflowerBlue,C
131,1980,12.800343002398943,3,CornflowerBlue,C
132,1981,13.809755714585876,3,CornflowerBlue,C
133,1982,13.490518302368528,3,CornflowerBlue,C
134,1983,13.16044919250727,3,CornflowerBlue,C
135,1984,13.365199011258445,3,CornflowerBlue,C
136,1985,13.618543823130297,3,CornflowerBlue,C
137,1986,14.474457568202633,3,CornflowerBlue,C
138,1987,12.892555929300013,3,CornflowerBlue,C
139,1988,13.505922352775464,3,CornflowerBlue,C
140,1989,12.358824940496858,3,CornflowerBlue,C
141,1990,13.311426752630366,3,CornflowerBlue,C
142,1991,13.04620110458177,3,CornflowerBlue,C
143,1992,12.113663086621935,3,CornflowerBlue,C
144,1993,12.423151939919155,3,CornflowerBlue,C
145,1994,12.062644555561329,3,CornflowerBlue,C
146,1995,11.798120622081887,3,CornflowerBlue,C
147,1996,10.97762089950336,3,CornflowerBlue,C
148,1997,12.620366285062145,3,CornflowerBlue,C
149,1998,12.308935619993395,3,CornflowerBlue,C
150,1999,10.932265450145854,3,CornflowerBlue,C
151,2000,11.189088982456928,3,CornflowerBlue,C
152,2001,12.558333396911621,3,CornflowerBlue,C
153,2002,14.183333396911621,3,CornflowerBlue,C
154,2003,12.658333778381348,3,CornflowerBlue,C
155,2004,13.575000762939453,3,CornflowerBlue,C
156,2005,14.141667366027832,3,CornflowerBlue,C
157,2006,13.833334922790527,3,CornflowerBlue,C
158,2007,14.47499942779541,3,CornflowerBlue,C
159,2008,18.09166717529297,4,LightYellow,D
160,2009,17.266666412353516,4,LightYellow,D
161,2010,16.391666412353516,4,LightYellow,D
162,2011,13.566666603088379,3,CornflowerBlue,C
163,2012,17.391664505004883,4,LightYellow,D
164,2013,14.758334159851074,3,CornflowerBlue,C
165,2014,17.08333396911621,4,LightYellow,D
166,2015,14.550000190734863,3,CornflowerBlue,C
167,2016,14.291666984558105,3,CornflowerBlue,C
168,2017,16.26666831970215,4,LightYellow,D
169,2018,13.3583345413208,3,CornflowerBlue,C
170,2019,16.48333168029785,4,LightYellow,D
171,2020,14.625,3,CornflowerBlue,C
172,2021,13.666666984558105,3,CornflowerBlue,C
173,2022,12.566665649414062,3,CornflowerBlue,C
