Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.77399906532527,2,PowderBlue,B
2,1851,10.714736314841764,3,CornflowerBlue,C
3,1852,11.70454475435615,3,CornflowerBlue,C
4,1853,10.88741301580793,3,CornflowerBlue,C
5,1854,10.017975770197424,3,CornflowerBlue,C
6,1855,10.105038181381346,3,CornflowerBlue,C
7,1856,10.20644211820053,3,CornflowerBlue,C
8,1857,12.619295517149116,3,CornflowerBlue,C
9,1858,10.74656170559392,3,CornflowerBlue,C
10,1859,12.36576154336246,3,CornflowerBlue,C
11,1860,10.331378061868701,3,CornflowerBlue,C
12,1861,10.570273792887214,3,CornflowerBlue,C
13,1862,10.251926213138514,3,CornflowerBlue,C
14,1863,10.690987778847463,3,CornflowerBlue,C
15,1864,10.380718427416983,3,CornflowerBlue,C
16,1865,12.476253707370411,3,CornflowerBlue,C
17,1866,10.336229266549003,3,CornflowerBlue,C
18,1867,12.703996482104227,3,CornflowerBlue,C
19,1868,10.399327713997467,3,CornflowerBlue,C
20,1869,10.205653117301022,3,CornflowerBlue,C
21,1870,9.824282386057213,2,PowderBlue,B
22,1871,11.270166073009928,3,CornflowerBlue,C
23,1872,10.68323393439696,3,CornflowerBlue,C
24,1873,10.96033515946056,3,CornflowerBlue,C
25,1874,11.343152316972441,3,CornflowerBlue,C
26,1875,10.975647911762241,3,CornflowerBlue,C
27,1876,11.596135248536557,3,CornflowerBlue,C
28,1877,10.587597283291034,3,CornflowerBlue,C
29,1878,9.747678935327412,2,PowderBlue,B
30,1879,11.196881501015628,3,CornflowerBlue,C
31,1880,12.664346252351539,3,CornflowerBlue,C
32,1881,9.96005240568566,2,PowderBlue,B
33,1882,10.125172699936675,3,CornflowerBlue,C
34,1883,9.998610638549836,2,PowderBlue,B
35,1884,10.885451917256828,3,CornflowerBlue,C
36,1885,11.087485631604663,3,CornflowerBlue,C
37,1886,10.555333035701263,3,CornflowerBlue,C
38,1887,10.433015595024557,3,CornflowerBlue,C
39,1888,11.6888576374593,3,CornflowerBlue,C
40,1889,10.895795035551432,3,CornflowerBlue,C
41,1890,13.540669413359533,3,CornflowerBlue,C
42,1891,12.117722539485577,3,CornflowerBlue,C
43,1892,11.778381114654678,3,CornflowerBlue,C
44,1893,10.324610986920934,3,CornflowerBlue,C
45,1894,11.33890111099226,3,CornflowerBlue,C
46,1895,10.496441872264299,3,CornflowerBlue,C
47,1896,9.638321754937184,2,PowderBlue,B
48,1897,11.710385151369012,3,CornflowerBlue,C
49,1898,11.828766948212936,3,CornflowerBlue,C
50,1899,12.440252036675401,3,CornflowerBlue,C
51,1900,10.410626322918997,3,CornflowerBlue,C
52,1901,11.048991747141557,3,CornflowerBlue,C
53,1902,11.553766540753053,3,CornflowerBlue,C
54,1903,12.271004130528647,3,CornflowerBlue,C
55,1904,10.936405603132998,3,CornflowerBlue,C
56,1905,10.81787053487765,3,CornflowerBlue,C
57,1906,11.691463492118176,3,CornflowerBlue,C
58,1907,9.75347364367315,2,PowderBlue,B
59,1908,11.482423876182121,3,CornflowerBlue,C
60,1909,11.156330559420649,3,CornflowerBlue,C
61,1910,11.335690910229303,3,CornflowerBlue,C
62,1911,12.892580156489156,3,CornflowerBlue,C
63,1912,10.174773348435957,3,CornflowerBlue,C
64,1913,12.620321688506792,3,CornflowerBlue,C
