Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.465688750567452,3,CornflowerBlue,C
2,1851,9.965611329070455,2,PowderBlue,B
3,1852,10.598910146190741,3,CornflowerBlue,C
4,1853,10.85061411619208,3,CornflowerBlue,C
5,1854,10.424425260419849,3,CornflowerBlue,C
6,1855,10.142841108324212,3,CornflowerBlue,C
7,1856,10.983897115890464,3,CornflowerBlue,C
8,1857,10.102487481864095,3,CornflowerBlue,C
9,1858,10.526057580649846,3,CornflowerBlue,C
10,1859,11.09798809285141,3,CornflowerBlue,C
11,1860,9.87656140287186,2,PowderBlue,B
12,1861,11.4949084271644,3,CornflowerBlue,C
13,1862,10.575155024929577,3,CornflowerBlue,C
14,1863,10.426139325804378,3,CornflowerBlue,C
15,1864,11.692194915880831,3,CornflowerBlue,C
16,1865,10.991681413763258,3,CornflowerBlue,C
17,1866,11.117235473833041,3,CornflowerBlue,C
18,1867,11.017251143476027,3,CornflowerBlue,C
19,1868,11.194365019792011,3,CornflowerBlue,C
20,1869,10.834155820367657,3,CornflowerBlue,C
21,1870,10.750179995314912,3,CornflowerBlue,C
22,1871,11.378140363004057,3,CornflowerBlue,C
23,1872,10.627638788678535,3,CornflowerBlue,C
24,1873,11.363190202887445,3,CornflowerBlue,C
25,1874,11.11811313042012,3,CornflowerBlue,C
26,1875,11.051827287866683,3,CornflowerBlue,C
27,1876,11.339319032377333,3,CornflowerBlue,C
28,1877,11.553750320885399,3,CornflowerBlue,C
29,1878,10.631093655558077,3,CornflowerBlue,C
30,1879,11.493965057816911,3,CornflowerBlue,C
31,1880,11.577905689110807,3,CornflowerBlue,C
32,1881,11.471720999508909,3,CornflowerBlue,C
33,1882,11.604828126062026,3,CornflowerBlue,C
34,1883,11.990628725833503,3,CornflowerBlue,C
35,1884,11.311175425846361,3,CornflowerBlue,C
36,1885,11.886121734064238,3,CornflowerBlue,C
37,1886,11.54067493848453,3,CornflowerBlue,C
38,1887,11.370356839424602,3,CornflowerBlue,C
39,1888,11.946231444887562,3,CornflowerBlue,C
40,1889,11.616793008172374,3,CornflowerBlue,C
41,1890,11.366835762032204,3,CornflowerBlue,C
42,1891,11.902121334560647,3,CornflowerBlue,C
43,1892,11.729980862884696,3,CornflowerBlue,C
44,1893,11.685012130725504,3,CornflowerBlue,C
45,1894,12.329665892750322,3,CornflowerBlue,C
46,1895,11.971111528662828,3,CornflowerBlue,C
