Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,7.303037677777669,2,PowderBlue,B
2,1851,7.028328775564294,2,PowderBlue,B
3,1852,7.011967740814633,2,PowderBlue,B
4,1853,7.237675095377295,2,PowderBlue,B
5,1854,7.10775655561397,2,PowderBlue,B
6,1855,7.383451941478003,2,PowderBlue,B
7,1856,7.521156423340767,2,PowderBlue,B
8,1857,7.090524458328031,2,PowderBlue,B
9,1858,7.176507268390028,2,PowderBlue,B
10,1859,7.28644844741828,2,PowderBlue,B
11,1860,7.466900724335035,2,PowderBlue,B
12,1861,7.272364948915625,2,PowderBlue,B
13,1862,7.350203513699793,2,PowderBlue,B
14,1863,7.001898823937135,2,PowderBlue,B
15,1864,7.100180727365861,2,PowderBlue,B
16,1865,6.993112567381999,2,PowderBlue,B
17,1866,7.50569226896612,2,PowderBlue,B
18,1867,7.23786423552733,2,PowderBlue,B
19,1868,7.635320183692778,2,PowderBlue,B
20,1869,7.452159805914114,2,PowderBlue,B
21,1870,7.401619152244618,2,PowderBlue,B
22,1871,6.923541994677744,2,PowderBlue,B
23,1872,6.989927735382846,2,PowderBlue,B
24,1873,7.578985160297462,2,PowderBlue,B
25,1874,7.462760464568237,2,PowderBlue,B
26,1875,7.178438765873572,2,PowderBlue,B
27,1876,7.279802142717136,2,PowderBlue,B
28,1877,7.198103548323661,2,PowderBlue,B
29,1878,7.459714912231708,2,PowderBlue,B
30,1879,7.464917882884233,2,PowderBlue,B
31,1880,7.511973974088904,2,PowderBlue,B
32,1881,7.369254550261384,2,PowderBlue,B
33,1882,7.754904330067756,2,PowderBlue,B
34,1883,7.333545143694351,2,PowderBlue,B
35,1884,7.383682756434462,2,PowderBlue,B
36,1885,7.476368980341708,2,PowderBlue,B
37,1886,7.4705413445286215,2,PowderBlue,B
38,1887,7.430307434501785,2,PowderBlue,B
39,1888,7.828981576834922,2,PowderBlue,B
40,1889,7.453372469437569,2,PowderBlue,B
41,1890,7.83459385086954,2,PowderBlue,B
42,1891,7.5335898288689345,2,PowderBlue,B
43,1892,7.951755785351635,2,PowderBlue,B
44,1893,7.773610143950251,2,PowderBlue,B
45,1894,8.224067597631215,2,PowderBlue,B
46,1895,7.844504114166722,2,PowderBlue,B
47,1896,8.088143771865525,2,PowderBlue,B
48,1897,8.051673931198527,2,PowderBlue,B
49,1898,7.806348239948418,2,PowderBlue,B
50,1899,8.149699375589648,2,PowderBlue,B
51,1900,8.166827409552734,2,PowderBlue,B
52,1901,8.403556106578584,2,PowderBlue,B
53,1902,8.39854714498058,2,PowderBlue,B
54,1903,8.100965591227244,2,PowderBlue,B
55,1904,8.478989869537413,2,PowderBlue,B
56,1905,8.693533078145595,2,PowderBlue,B
57,1906,8.99302985618376,2,PowderBlue,B
58,1907,9.21292895815199,2,PowderBlue,B
59,1908,9.061556291581834,2,PowderBlue,B
60,1909,9.140573253454905,2,PowderBlue,B
61,1910,8.974722607924951,2,PowderBlue,B
62,1911,8.9552286803333,2,PowderBlue,B
63,1912,9.379878275228286,2,PowderBlue,B
64,1913,9.618230506530901,2,PowderBlue,B
65,1914,10.13605123668392,3,CornflowerBlue,C
66,1915,9.964173001853203,2,PowderBlue,B
67,1916,9.974653472817918,2,PowderBlue,B
68,1917,10.555568765993526,3,CornflowerBlue,C
69,1918,10.486663264155597,3,CornflowerBlue,C
70,1919,10.91019307014594,3,CornflowerBlue,C
71,1920,10.572515649869306,3,CornflowerBlue,C
72,1921,9.853089370437683,2,PowderBlue,B
73,1922,10.44116353096409,3,CornflowerBlue,C
74,1923,10.54012855906572,3,CornflowerBlue,C
75,1924,9.892275812486957,2,PowderBlue,B
76,1925,10.509065960480598,3,CornflowerBlue,C
77,1926,10.37184486859293,3,CornflowerBlue,C
78,1927,10.500040223721898,3,CornflowerBlue,C
79,1928,11.045767859017914,3,CornflowerBlue,C
80,1929,11.031318004989423,3,CornflowerBlue,C
81,1930,11.142147917507662,3,CornflowerBlue,C
82,1931,10.635221696417075,3,CornflowerBlue,C
83,1932,10.043178007479241,3,CornflowerBlue,C
84,1933,10.626847885442052,3,CornflowerBlue,C
85,1934,10.463798126765107,3,CornflowerBlue,C
86,1935,11.001996941966905,3,CornflowerBlue,C
87,1936,11.606184176305272,3,CornflowerBlue,C
88,1937,12.026455396122731,3,CornflowerBlue,C
89,1938,11.585234200112028,3,CornflowerBlue,C
90,1939,11.931937131262218,3,CornflowerBlue,C
91,1940,11.823634301283684,3,CornflowerBlue,C
92,1941,12.193005444610153,3,CornflowerBlue,C
93,1942,12.264367549996297,3,CornflowerBlue,C
94,1943,11.62303198605343,3,CornflowerBlue,C
