Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,8.20722785746464,2,PowderBlue,B
2,1851,9.200683654623827,2,PowderBlue,B
3,1852,9.347767092854433,2,PowderBlue,B
4,1853,9.871088354267146,2,PowderBlue,B
5,1854,10.30782001440904,3,CornflowerBlue,C
6,1855,9.762493913905782,2,PowderBlue,B
7,1856,11.108116777430324,3,CornflowerBlue,C
8,1857,10.313467170398614,3,CornflowerBlue,C
9,1858,11.568158834389786,3,CornflowerBlue,C
10,1859,10.219777682246248,3,CornflowerBlue,C
11,1860,11.321326620774682,3,CornflowerBlue,C
12,1861,10.794425880745745,3,CornflowerBlue,C
13,1862,10.894515424643494,3,CornflowerBlue,C
14,1863,10.296408786648028,3,CornflowerBlue,C
15,1864,10.327986010278892,3,CornflowerBlue,C
16,1865,11.589266204086142,3,CornflowerBlue,C
17,1866,10.848213646477731,3,CornflowerBlue,C
18,1867,11.123487756758148,3,CornflowerBlue,C
19,1868,12.16751809066121,3,CornflowerBlue,C
20,1869,11.665592884245166,3,CornflowerBlue,C
21,1870,12.011286433258402,3,CornflowerBlue,C
22,1871,11.407395949648144,3,CornflowerBlue,C
23,1872,14.560494749173547,3,CornflowerBlue,C
24,1873,12.206166978589073,3,CornflowerBlue,C
25,1874,12.463332775110567,3,CornflowerBlue,C
26,1875,11.526189499307204,3,CornflowerBlue,C
27,1876,12.003743286644674,3,CornflowerBlue,C
28,1877,13.208133934432235,3,CornflowerBlue,C
29,1878,13.73265211827819,3,CornflowerBlue,C
30,1879,12.654467651410563,3,CornflowerBlue,C
31,1880,13.020697228917424,3,CornflowerBlue,C
32,1881,12.489926204504444,3,CornflowerBlue,C
33,1882,12.386266636975497,3,CornflowerBlue,C
34,1883,12.290794189917797,3,CornflowerBlue,C
35,1884,13.15986986023103,3,CornflowerBlue,C
36,1885,12.228231614328894,3,CornflowerBlue,C
37,1886,11.92592973828809,3,CornflowerBlue,C
38,1887,11.455825538440607,3,CornflowerBlue,C
39,1888,12.551051775341987,3,CornflowerBlue,C
40,1889,12.069954113961774,3,CornflowerBlue,C
41,1890,13.658581430745691,3,CornflowerBlue,C
42,1891,14.148315050442134,3,CornflowerBlue,C
43,1892,13.54090881304147,3,CornflowerBlue,C
44,1893,14.644882599887008,3,CornflowerBlue,C
45,1894,13.41623632796188,3,CornflowerBlue,C
46,1895,13.029376220504975,3,CornflowerBlue,C
47,1896,14.082595207031966,3,CornflowerBlue,C
48,1897,13.952468079049778,3,CornflowerBlue,C
49,1898,13.856492999128282,3,CornflowerBlue,C
50,1899,13.37682645341236,3,CornflowerBlue,C
51,1900,13.447834762639403,3,CornflowerBlue,C
52,1901,14.360039373473978,3,CornflowerBlue,C
53,1902,13.668848463365272,3,CornflowerBlue,C
54,1903,16.82607145494955,4,LightYellow,D
55,1904,16.176479831856287,4,LightYellow,D
56,1905,16.065909526692717,4,LightYellow,D
57,1906,15.427676368099226,4,LightYellow,D
58,1907,18.22356776046764,4,LightYellow,D
59,1908,15.617764707889076,4,LightYellow,D
60,1909,16.407418918161643,4,LightYellow,D
61,1910,17.78889754290242,4,LightYellow,D
62,1911,19.093858896123574,4,LightYellow,D
63,1912,18.50800070117419,4,LightYellow,D
64,1913,18.356132818133585,4,LightYellow,D
65,1914,18.44940172437565,4,LightYellow,D
66,1915,18.685393133730702,4,LightYellow,D
67,1916,18.74427639590054,4,LightYellow,D
68,1917,19.696976848763338,4,LightYellow,D
69,1918,19.068988552180627,4,LightYellow,D
70,1919,18.40496961629268,4,LightYellow,D
71,1920,18.64341159652295,4,LightYellow,D
72,1921,17.687262446057893,4,LightYellow,D
73,1922,15.75565952614748,4,LightYellow,D
74,1923,17.62453074419557,4,LightYellow,D
75,1924,16.40862834114007,4,LightYellow,D
76,1925,17.069335652759904,4,LightYellow,D
77,1926,18.290015995890467,4,LightYellow,D
78,1927,16.87063057191487,4,LightYellow,D
79,1928,18.081505743473436,4,LightYellow,D
80,1929,18.535515484085984,4,LightYellow,D
81,1930,18.337190219051795,4,LightYellow,D
