Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.075844389900592,4,LightYellow,D
2,1851,16.870968198043705,4,LightYellow,D
3,1852,17.56168870324603,4,LightYellow,D
4,1853,17.436673310462957,4,LightYellow,D
5,1854,17.043675194706598,4,LightYellow,D
6,1855,15.938642259336453,4,LightYellow,D
7,1856,16.748424347277442,4,LightYellow,D
8,1857,16.280314719843275,4,LightYellow,D
9,1858,16.040591970464032,4,LightYellow,D
10,1859,18.057529015249116,4,LightYellow,D
11,1860,15.098140387258876,4,LightYellow,D
12,1861,16.384501148387503,4,LightYellow,D
13,1862,15.429951676507718,4,LightYellow,D
14,1863,17.482218913588945,4,LightYellow,D
15,1864,18.368351896024283,4,LightYellow,D
16,1865,16.519247487619502,4,LightYellow,D
17,1866,15.911800139862173,4,LightYellow,D
18,1867,16.079999439925324,4,LightYellow,D
19,1868,17.00987318535002,4,LightYellow,D
20,1869,15.89349287924561,4,LightYellow,D
21,1870,15.581769175138723,4,LightYellow,D
22,1871,16.405396596754777,4,LightYellow,D
23,1872,14.896851991402283,3,CornflowerBlue,C
24,1873,16.952506708324105,4,LightYellow,D
25,1874,17.21345779302687,4,LightYellow,D
26,1875,16.055582074161354,4,LightYellow,D
27,1876,17.724350330004643,4,LightYellow,D
28,1877,16.807089369485034,4,LightYellow,D
29,1878,16.73967017371118,4,LightYellow,D
30,1879,16.75479102557073,4,LightYellow,D
31,1880,16.51881418909945,4,LightYellow,D
32,1881,16.54720109607321,4,LightYellow,D
33,1882,16.263490494073324,4,LightYellow,D
34,1883,16.000411130202654,4,LightYellow,D
35,1884,16.66448403648662,4,LightYellow,D
36,1885,17.6724854791808,4,LightYellow,D
37,1886,15.430585939154488,4,LightYellow,D
38,1887,16.425528973164905,4,LightYellow,D
39,1888,18.924147227735837,4,LightYellow,D
40,1889,16.473645896384387,4,LightYellow,D
41,1890,17.11380327837525,4,LightYellow,D
42,1891,17.314038480635325,4,LightYellow,D
43,1892,17.27435601711753,4,LightYellow,D
44,1893,17.102293186345534,4,LightYellow,D
45,1894,18.535457698142103,4,LightYellow,D
46,1895,18.065060661655245,4,LightYellow,D
47,1896,17.834856026266134,4,LightYellow,D
48,1897,17.603256048341603,4,LightYellow,D
49,1898,18.80141819315453,4,LightYellow,D
50,1899,16.84783879572078,4,LightYellow,D
51,1900,16.928934925156415,4,LightYellow,D
52,1901,16.64697274648341,4,LightYellow,D
53,1902,17.054258876854274,4,LightYellow,D
54,1903,15.824068045284143,4,LightYellow,D
55,1904,17.6961763685773,4,LightYellow,D
56,1905,17.656849150282067,4,LightYellow,D
57,1906,18.19748206908122,4,LightYellow,D
58,1907,18.880570737567297,4,LightYellow,D
59,1908,16.460076171006158,4,LightYellow,D
60,1909,17.844462023727132,4,LightYellow,D
61,1910,18.848617466874746,4,LightYellow,D
62,1911,18.349745498983292,4,LightYellow,D
63,1912,16.97175226546516,4,LightYellow,D
64,1913,16.32103243208866,4,LightYellow,D
65,1914,18.506853250446934,4,LightYellow,D
66,1915,17.54489631723498,4,LightYellow,D
67,1916,18.41287266855824,4,LightYellow,D
68,1917,17.86801314665447,4,LightYellow,D
69,1918,15.981863778581616,4,LightYellow,D
70,1919,17.883411198002808,4,LightYellow,D
71,1920,16.9782812397874,4,LightYellow,D
72,1921,16.452884838699788,4,LightYellow,D
73,1922,17.53293735528526,4,LightYellow,D
74,1923,18.53062467168113,4,LightYellow,D
75,1924,17.482117330466544,4,LightYellow,D
76,1925,19.01291541697425,4,LightYellow,D
77,1926,17.009547205797773,4,LightYellow,D
78,1927,16.656652566154484,4,LightYellow,D
79,1928,16.89884815103292,4,LightYellow,D
80,1929,16.476939643375744,4,LightYellow,D
81,1930,17.93717060088659,4,LightYellow,D
82,1931,17.95957216121545,4,LightYellow,D
83,1932,17.373968606617392,4,LightYellow,D
84,1933,16.6725366970181,4,LightYellow,D
85,1934,17.906294648965144,4,LightYellow,D
86,1935,18.44671315513006,4,LightYellow,D
87,1936,18.754797446845824,4,LightYellow,D
88,1937,17.77872540147947,4,LightYellow,D
89,1938,18.494402176988633,4,LightYellow,D
90,1939,18.343333223884354,4,LightYellow,D
91,1940,18.394269118100578,4,LightYellow,D
92,1941,17.342891230428304,4,LightYellow,D
93,1942,17.17810624936268,4,LightYellow,D
94,1943,17.83425559161809,4,LightYellow,D
95,1944,16.274171895475675,4,LightYellow,D
96,1945,16.867782763470384,4,LightYellow,D
97,1946,18.79502136303542,4,LightYellow,D
98,1947,19.02955510598864,4,LightYellow,D
99,1948,18.509111911993273,4,LightYellow,D
100,1949,17.652425050809935,4,LightYellow,D
101,1950,18.748248976357083,4,LightYellow,D
102,1951,19.054220930763098,4,LightYellow,D
103,1952,18.771663226606933,4,LightYellow,D
104,1953,18.661422816243785,4,LightYellow,D
105,1954,19.44465113172504,4,LightYellow,D
106,1955,19.034647965344654,4,LightYellow,D
107,1956,18.74521037277655,4,LightYellow,D
108,1957,19.948607253302576,4,LightYellow,D
109,1958,19.577428525627848,4,LightYellow,D
110,1959,18.29617594783233,4,LightYellow,D
111,1960,19.745074798917955,4,LightYellow,D
112,1961,20.3385343718138,5,Vanilla,E
113,1962,20.027129427599903,5,Vanilla,E
114,1963,21.00982239630891,5,Vanilla,E
115,1964,20.404930482036157,5,Vanilla,E
116,1965,20.62676872332258,5,Vanilla,E
117,1966,21.006585278996745,5,Vanilla,E
118,1967,19.501022384624527,4,LightYellow,D
119,1968,22.449585273656925,5,Vanilla,E
120,1969,22.319380933381304,5,Vanilla,E
121,1970,21.93995194277799,5,Vanilla,E
122,1971,21.571893988342623,5,Vanilla,E
123,1972,22.335540220017208,5,Vanilla,E
124,1973,24.051997495207818,5,Vanilla,E
125,1974,23.91493943747067,5,Vanilla,E
126,1975,22.501091398766537,5,Vanilla,E
127,1976,23.498819838711388,5,Vanilla,E
128,1977,23.184885491558006,5,Vanilla,E
129,1978,23.406851016743012,5,Vanilla,E
130,1979,24.65120118362217,5,Vanilla,E
131,1980,24.5642210498747,5,Vanilla,E
