Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.844476044022594,3,CornflowerBlue,C
2,1851,12.806630115026525,3,CornflowerBlue,C
3,1852,13.881648663543855,3,CornflowerBlue,C
4,1853,13.2794022832691,3,CornflowerBlue,C
5,1854,12.227041140339905,3,CornflowerBlue,C
6,1855,12.834959704329467,3,CornflowerBlue,C
7,1856,13.628135446396298,3,CornflowerBlue,C
8,1857,12.853465687932612,3,CornflowerBlue,C
9,1858,12.555374688588786,3,CornflowerBlue,C
10,1859,14.14329327072767,3,CornflowerBlue,C
11,1860,12.393347496848536,3,CornflowerBlue,C
12,1861,13.619403764448617,3,CornflowerBlue,C
13,1862,12.60545011873624,3,CornflowerBlue,C
14,1863,13.196640890798728,3,CornflowerBlue,C
15,1864,14.387877688602215,3,CornflowerBlue,C
16,1865,13.288970546969548,3,CornflowerBlue,C
17,1866,12.991757273874624,3,CornflowerBlue,C
18,1867,13.894856471581646,3,CornflowerBlue,C
19,1868,13.86660763133311,3,CornflowerBlue,C
20,1869,12.960101790427368,3,CornflowerBlue,C
21,1870,12.774896008455112,3,CornflowerBlue,C
22,1871,13.247222968854835,3,CornflowerBlue,C
23,1872,12.208620133690498,3,CornflowerBlue,C
24,1873,14.370376170564144,3,CornflowerBlue,C
25,1874,13.700482408565588,3,CornflowerBlue,C
26,1875,13.902331830939682,3,CornflowerBlue,C
27,1876,13.755969298849436,3,CornflowerBlue,C
28,1877,13.535109362105427,3,CornflowerBlue,C
29,1878,13.569661367181682,3,CornflowerBlue,C
30,1879,13.057154157410801,3,CornflowerBlue,C
31,1880,13.669125753295269,3,CornflowerBlue,C
32,1881,13.446646077921079,3,CornflowerBlue,C
33,1882,13.796220991581043,3,CornflowerBlue,C
34,1883,12.895077202800774,3,CornflowerBlue,C
35,1884,13.407432271816468,3,CornflowerBlue,C
36,1885,14.010906294495433,3,CornflowerBlue,C
37,1886,13.022214938229654,3,CornflowerBlue,C
38,1887,13.329809019206467,3,CornflowerBlue,C
39,1888,14.383216655253193,3,CornflowerBlue,C
40,1889,13.803379966946036,3,CornflowerBlue,C
41,1890,13.552854411455941,3,CornflowerBlue,C
42,1891,14.746637653747754,3,CornflowerBlue,C
43,1892,13.029042476306167,3,CornflowerBlue,C
44,1893,13.366428263346387,3,CornflowerBlue,C
45,1894,14.696042602793197,3,CornflowerBlue,C
46,1895,14.48158031910163,3,CornflowerBlue,C
47,1896,13.766983635395254,3,CornflowerBlue,C
48,1897,15.026187544970119,4,LightYellow,D
49,1898,14.187783762484147,3,CornflowerBlue,C
50,1899,14.491385462713481,3,CornflowerBlue,C
51,1900,14.58044145113274,3,CornflowerBlue,C
52,1901,15.240705441374791,4,LightYellow,D
53,1902,14.576206550573112,3,CornflowerBlue,C
54,1903,14.448810400477011,3,CornflowerBlue,C
55,1904,15.024161894637427,4,LightYellow,D
56,1905,15.276519005823785,4,LightYellow,D
57,1906,15.12103480845927,4,LightYellow,D
58,1907,15.461668630591344,4,LightYellow,D
59,1908,15.812039933446702,4,LightYellow,D
60,1909,14.71562734061742,3,CornflowerBlue,C
61,1910,15.487833690336183,4,LightYellow,D
62,1911,15.075562094332403,4,LightYellow,D
63,1912,14.528058978730245,3,CornflowerBlue,C
64,1913,14.74326307485391,3,CornflowerBlue,C
65,1914,15.1420884086726,4,LightYellow,D
66,1915,14.431145716981046,3,CornflowerBlue,C
67,1916,15.094743969870516,4,LightYellow,D
68,1917,14.974732872389506,3,CornflowerBlue,C
69,1918,14.608593260371174,3,CornflowerBlue,C
70,1919,15.327092199803822,4,LightYellow,D
71,1920,14.696616524833043,3,CornflowerBlue,C
72,1921,14.31912849387996,3,CornflowerBlue,C
73,1922,14.250849568469715,3,CornflowerBlue,C
74,1923,15.527395395100665,4,LightYellow,D
75,1924,15.777905598218368,4,LightYellow,D
76,1925,15.572866243912582,4,LightYellow,D
77,1926,15.140093559269884,4,LightYellow,D
78,1927,14.95530742578335,3,CornflowerBlue,C
79,1928,15.04747589773928,4,LightYellow,D
80,1929,15.468580150641623,4,LightYellow,D
81,1930,15.141858284013468,4,LightYellow,D
82,1931,15.339626382521777,4,LightYellow,D
83,1932,15.42857462864385,4,LightYellow,D
84,1933,15.085901899885544,4,LightYellow,D
85,1934,14.727630771997786,3,CornflowerBlue,C
86,1935,15.869213638048901,4,LightYellow,D
87,1936,16.525940993978683,4,LightYellow,D
88,1937,15.406075850857718,4,LightYellow,D
89,1938,16.463270097664488,4,LightYellow,D
90,1939,16.572279543181924,4,LightYellow,D
91,1940,16.201496240251206,4,LightYellow,D
92,1941,15.329219983821428,4,LightYellow,D
93,1942,14.73483458229552,3,CornflowerBlue,C
94,1943,15.418462270756176,4,LightYellow,D
95,1944,13.796078036959313,3,CornflowerBlue,C
96,1945,14.341272747567606,3,CornflowerBlue,C
97,1946,14.913681603687756,3,CornflowerBlue,C
98,1947,16.256387714836848,4,LightYellow,D
99,1948,17.012821572613326,4,LightYellow,D
100,1949,16.438097092662996,4,LightYellow,D
101,1950,16.419741998637413,4,LightYellow,D
102,1951,17.346767861463107,4,LightYellow,D
103,1952,17.010470708604583,4,LightYellow,D
104,1953,16.8226546160692,4,LightYellow,D
105,1954,17.217809026578774,4,LightYellow,D
106,1955,17.936583059649287,4,LightYellow,D
107,1956,17.62806315849707,4,LightYellow,D
108,1957,17.84004716802395,4,LightYellow,D
109,1958,17.85191466331197,4,LightYellow,D
110,1959,17.51851445856078,4,LightYellow,D
111,1960,17.442692528404738,4,LightYellow,D
112,1961,19.729103914319005,4,LightYellow,D
113,1962,19.4936657288787,4,LightYellow,D
114,1963,20.263161461481673,5,Vanilla,E
115,1964,19.920096605482396,4,LightYellow,D
116,1965,20.521115685488983,5,Vanilla,E
117,1966,19.81209551723797,4,LightYellow,D
118,1967,20.01221078254004,5,Vanilla,E
119,1968,21.506085286916424,5,Vanilla,E
120,1969,21.41152964046898,5,Vanilla,E
121,1970,21.418177023882865,5,Vanilla,E
122,1971,21.103825894440053,5,Vanilla,E
123,1972,22.782626512905424,5,Vanilla,E
124,1973,22.839830168066328,5,Vanilla,E
125,1974,23.94131317760433,5,Vanilla,E
126,1975,24.045755473669605,5,Vanilla,E
127,1976,22.993923006417674,5,Vanilla,E
128,1977,23.189924600773328,5,Vanilla,E
129,1978,23.710093986503995,5,Vanilla,E
130,1979,24.42066858424658,5,Vanilla,E
131,1980,25.487193646557106,5,Vanilla,E
132,1981,25.194608825464375,5,Vanilla,E
133,1982,23.487700724415724,5,Vanilla,E
134,1983,24.590550174232302,5,Vanilla,E
135,1984,22.856367166368532,5,Vanilla,E
136,1985,24.89210407072857,5,Vanilla,E
137,1986,23.760739393817154,5,Vanilla,E
138,1987,24.792531928824655,5,Vanilla,E
139,1988,25.27999029746896,5,Vanilla,E
140,1989,25.130950698078948,5,Vanilla,E
141,1990,24.2776561895296,5,Vanilla,E
142,1991,23.906728310593635,5,Vanilla,E
143,1992,23.912040474883025,5,Vanilla,E
144,1993,21.865251260841926,5,Vanilla,E
145,1994,22.644484694654675,5,Vanilla,E
146,1995,22.54527044010958,5,Vanilla,E
147,1996,22.43159372013072,5,Vanilla,E
148,1997,22.629935600175028,5,Vanilla,E
149,1998,22.164236712954725,5,Vanilla,E
150,1999,21.689519020602628,5,Vanilla,E
151,2000,21.132641639956425,5,Vanilla,E
152,2001,21.46666717529297,5,Vanilla,E
