Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,21.907498655415502,5,Vanilla,E
2,1851,23.308251902006973,5,Vanilla,E
3,1852,23.249351114671033,5,Vanilla,E
4,1853,24.020386146748024,5,Vanilla,E
5,1854,22.90011803252345,5,Vanilla,E
6,1855,23.88807460746067,5,Vanilla,E
7,1856,24.567055482262575,5,Vanilla,E
8,1857,25.052780797490048,5,Vanilla,E
9,1858,23.443103952699406,5,Vanilla,E
10,1859,24.172756040543664,5,Vanilla,E
11,1860,24.175981510003506,5,Vanilla,E
12,1861,26.539766187894312,5,Vanilla,E
13,1862,24.955996902528955,5,Vanilla,E
14,1863,23.816104847673085,5,Vanilla,E
15,1864,26.35048752911361,5,Vanilla,E
16,1865,25.814675019881793,5,Vanilla,E
17,1866,26.832063642340852,5,Vanilla,E
18,1867,25.350066056034592,5,Vanilla,E
19,1868,26.822192569471053,5,Vanilla,E
20,1869,25.033206350139732,5,Vanilla,E
21,1870,26.047552642408498,5,Vanilla,E
22,1871,25.538040427144846,5,Vanilla,E
23,1872,25.097213093525067,5,Vanilla,E
24,1873,25.58930701651882,5,Vanilla,E
25,1874,26.01240372326788,5,Vanilla,E
26,1875,26.478677345575708,5,Vanilla,E
27,1876,25.703692101811843,5,Vanilla,E
28,1877,26.84400141487008,5,Vanilla,E
29,1878,26.024193330506936,5,Vanilla,E
30,1879,25.672684780325802,5,Vanilla,E
31,1880,27.13499176629578,5,Vanilla,E
32,1881,27.684786739914344,5,Vanilla,E
33,1882,28.91579475054814,5,Vanilla,E
34,1883,26.560982185264923,5,Vanilla,E
35,1884,27.996558295898353,5,Vanilla,E
36,1885,29.09885021225138,5,Vanilla,E
37,1886,28.10485606826924,5,Vanilla,E
38,1887,27.1229696321595,5,Vanilla,E
39,1888,27.100535505252928,5,Vanilla,E
40,1889,28.204483518347825,5,Vanilla,E
41,1890,27.883668143737133,5,Vanilla,E
42,1891,28.43039210925295,5,Vanilla,E
43,1892,27.320211718041243,5,Vanilla,E
44,1893,27.708159586929554,5,Vanilla,E
45,1894,28.86654199966982,5,Vanilla,E
46,1895,29.18463153919283,5,Vanilla,E
47,1896,28.46203702612867,5,Vanilla,E
48,1897,30.4668153977729,6,Dandelion,F
49,1898,29.51768905639128,5,Vanilla,E
50,1899,30.864637859111085,6,Dandelion,F
51,1900,31.300993407913623,6,Dandelion,F
52,1901,31.55106849137469,6,Dandelion,F
53,1902,31.139917527069713,6,Dandelion,F
54,1903,31.735091716522263,6,Dandelion,F
55,1904,31.78447552863778,6,Dandelion,F
56,1905,33.930088647702,6,Dandelion,F
57,1906,32.326907530824286,6,Dandelion,F
58,1907,34.413220391177965,6,Dandelion,F
59,1908,35.37660227737429,6,Dandelion,F
60,1909,34.744696736190534,6,Dandelion,F
61,1910,36.62701523488223,6,Dandelion,F
62,1911,34.99051391884011,6,Dandelion,F
63,1912,36.94298510395115,6,Dandelion,F
64,1913,35.82490185869217,6,Dandelion,F
65,1914,32.29618255414363,6,Dandelion,F
66,1915,31.389715040407175,6,Dandelion,F
67,1916,32.59407262944261,6,Dandelion,F
68,1917,30.67929418306456,6,Dandelion,F
69,1918,30.350650028837915,6,Dandelion,F
70,1919,30.76152937572424,6,Dandelion,F
71,1920,32.207713928801425,6,Dandelion,F
72,1921,31.08195204992154,6,Dandelion,F
73,1922,34.409969050097224,6,Dandelion,F
74,1923,33.56774064799732,6,Dandelion,F
75,1924,36.4012242697522,6,Dandelion,F
76,1925,35.28526467925662,6,Dandelion,F
77,1926,36.53995849894328,6,Dandelion,F
78,1927,37.35486260556249,6,Dandelion,F
79,1928,37.886925359067384,6,Dandelion,F
80,1929,39.37769917379776,6,Dandelion,F
81,1930,39.28268694023075,6,Dandelion,F
82,1931,37.89588557697547,6,Dandelion,F
83,1932,33.82389562794366,6,Dandelion,F
84,1933,35.212025273278094,6,Dandelion,F
85,1934,37.1966783973853,6,Dandelion,F
86,1935,37.17843791545586,6,Dandelion,F
87,1936,37.53132453095505,6,Dandelion,F
88,1937,40.05394713666838,7,Tangerine,G
89,1938,38.58324003250004,6,Dandelion,F
90,1939,40.478918816972595,7,Tangerine,G
91,1940,34.97560032855038,6,Dandelion,F
92,1941,33.88300948794997,6,Dandelion,F
93,1942,33.18247662558884,6,Dandelion,F
94,1943,31.940696970559507,6,Dandelion,F
95,1944,28.178869063053977,5,Vanilla,E
96,1945,27.502593192481005,5,Vanilla,E
97,1946,32.90784978233765,6,Dandelion,F
98,1947,36.30622289396122,6,Dandelion,F
99,1948,36.83656423979407,6,Dandelion,F
100,1949,37.61273245798476,6,Dandelion,F
101,1950,38.818448282988946,6,Dandelion,F
102,1951,38.60348068508946,6,Dandelion,F
103,1952,38.87851091276992,6,Dandelion,F
104,1953,37.013936970483485,6,Dandelion,F
105,1954,38.47881216983564,6,Dandelion,F
106,1955,40.74343302489689,7,Tangerine,G
107,1956,42.900864965975295,7,Tangerine,G
108,1957,43.287052923910814,7,Tangerine,G
109,1958,42.63454342016309,7,Tangerine,G
110,1959,41.16114834451688,7,Tangerine,G
111,1960,44.2770605624139,7,Tangerine,G
112,1961,47.88481060589619,7,Tangerine,G
113,1962,50.401422906765326,8,Mustard,H
114,1963,50.41408848833669,8,Mustard,H
115,1964,50.16452742669845,8,Mustard,H
116,1965,53.076855259338,8,Mustard,H
117,1966,47.83421523269648,7,Tangerine,G
118,1967,50.10625254812077,8,Mustard,H
119,1968,50.33915327602567,8,Mustard,H
120,1969,51.01952494788949,8,Mustard,H
121,1970,49.93785136747749,7,Tangerine,G
122,1971,50.12016564391157,8,Mustard,H
123,1972,51.93802298253587,8,Mustard,H
124,1973,50.18268611179169,8,Mustard,H
125,1974,54.04405097063992,8,Mustard,H
126,1975,48.113565958929094,7,Tangerine,G
127,1976,47.08775940891988,7,Tangerine,G
128,1977,49.94135391087398,7,Tangerine,G
129,1978,50.03713517329327,8,Mustard,H
130,1979,52.899833224460586,8,Mustard,H
131,1980,52.325553358652414,8,Mustard,H
132,1981,50.21216169887424,8,Mustard,H
133,1982,44.070769619487955,7,Tangerine,G
134,1983,45.245781453591015,7,Tangerine,G
135,1984,42.04722905414303,7,Tangerine,G
136,1985,43.99708920180409,7,Tangerine,G
137,1986,41.33371477680804,7,Tangerine,G
138,1987,43.48770692867789,7,Tangerine,G
139,1988,42.014897937081585,7,Tangerine,G
140,1989,44.151581633990055,7,Tangerine,G
141,1990,41.96880632707282,7,Tangerine,G
142,1991,40.78178033338393,7,Tangerine,G
143,1992,38.919065981221905,6,Dandelion,F
144,1993,37.03554289008018,6,Dandelion,F
145,1994,36.647715039163025,6,Dandelion,F
146,1995,34.45364824742269,6,Dandelion,F
147,1996,34.291837462517165,6,Dandelion,F
148,1997,34.398758346634374,6,Dandelion,F
149,1998,32.06508731667625,6,Dandelion,F
150,1999,29.198809635040117,5,Vanilla,E
151,2000,29.708146328632075,5,Vanilla,E
152,2001,28.325002670288086,5,Vanilla,E
153,2002,29.79166603088379,5,Vanilla,E
154,2003,29.783334732055664,5,Vanilla,E
155,2004,26.79166603088379,5,Vanilla,E
156,2005,28.23333168029785,5,Vanilla,E
157,2006,32.375,6,Dandelion,F
158,2007,31.65833282470703,6,Dandelion,F
159,2008,29.024999618530273,5,Vanilla,E
160,2009,28.391664505004883,5,Vanilla,E
161,2010,28.574996948242188,5,Vanilla,E
162,2011,31.416664123535156,6,Dandelion,F
163,2012,27.916669845581055,5,Vanilla,E
164,2013,25.08333396911621,5,Vanilla,E
165,2014,21.508333206176758,5,Vanilla,E
166,2015,25.60833168029785,5,Vanilla,E
167,2016,22.941665649414062,5,Vanilla,E
168,2017,25.98333168029785,5,Vanilla,E
169,2018,21.108335494995117,5,Vanilla,E
170,2019,20.10833168029785,5,Vanilla,E
171,2020,20.725000381469727,5,Vanilla,E
172,2021,19.950000762939453,4,LightYellow,D
173,2022,20.33333396911621,5,Vanilla,E
