Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,5.464427463271956,2,PowderBlue,B
2,1851,6.37136079193808,2,PowderBlue,B
3,1852,6.266149843981476,2,PowderBlue,B
4,1853,6.008940046138039,2,PowderBlue,B
5,1854,6.247925714488935,2,PowderBlue,B
6,1855,6.743408670874724,2,PowderBlue,B
7,1856,6.672174663102359,2,PowderBlue,B
8,1857,6.43901531696543,2,PowderBlue,B
9,1858,6.094117642407513,2,PowderBlue,B
10,1859,6.3920838738393595,2,PowderBlue,B
11,1860,6.420003669761419,2,PowderBlue,B
12,1861,7.295195805038258,2,PowderBlue,B
13,1862,6.994234391341156,2,PowderBlue,B
14,1863,6.638684358074083,2,PowderBlue,B
15,1864,6.46566156142916,2,PowderBlue,B
16,1865,6.3075175690859115,2,PowderBlue,B
17,1866,7.004395627379518,2,PowderBlue,B
18,1867,7.178535761267267,2,PowderBlue,B
19,1868,6.937638087655536,2,PowderBlue,B
20,1869,6.991222954374237,2,PowderBlue,B
21,1870,7.090437800961979,2,PowderBlue,B
22,1871,6.4168694083324995,2,PowderBlue,B
23,1872,6.3238127406836915,2,PowderBlue,B
24,1873,6.602446025226778,2,PowderBlue,B
25,1874,6.4937443408060505,2,PowderBlue,B
26,1875,6.508599700736387,2,PowderBlue,B
27,1876,6.029887105478222,2,PowderBlue,B
28,1877,6.5841797266782764,2,PowderBlue,B
29,1878,6.950235251212547,2,PowderBlue,B
30,1879,6.264313224069403,2,PowderBlue,B
31,1880,7.035236666643826,2,PowderBlue,B
32,1881,7.268795041683011,2,PowderBlue,B
33,1882,7.689793283419496,2,PowderBlue,B
34,1883,6.760917326109463,2,PowderBlue,B
35,1884,6.884134912706682,2,PowderBlue,B
36,1885,7.2746241451764915,2,PowderBlue,B
37,1886,6.931933218766067,2,PowderBlue,B
38,1887,7.170285968769806,2,PowderBlue,B
39,1888,7.017582108298736,2,PowderBlue,B
40,1889,7.048878639066959,2,PowderBlue,B
41,1890,7.2223522547127725,2,PowderBlue,B
42,1891,7.550697875503408,2,PowderBlue,B
43,1892,6.648469753763622,2,PowderBlue,B
44,1893,7.108856062022528,2,PowderBlue,B
45,1894,7.320732910266223,2,PowderBlue,B
46,1895,7.195028921550911,2,PowderBlue,B
47,1896,7.295781530057861,2,PowderBlue,B
48,1897,7.607808154251264,2,PowderBlue,B
49,1898,7.135422038604714,2,PowderBlue,B
50,1899,8.366861934844646,2,PowderBlue,B
51,1900,7.8915584378419945,2,PowderBlue,B
52,1901,7.814300430625173,2,PowderBlue,B
53,1902,7.558280418175608,2,PowderBlue,B
54,1903,7.636268903182438,2,PowderBlue,B
55,1904,7.687371305673573,2,PowderBlue,B
56,1905,8.350243704421622,2,PowderBlue,B
57,1906,7.7397499137959755,2,PowderBlue,B
58,1907,8.038108916454494,2,PowderBlue,B
59,1908,8.673447872504134,2,PowderBlue,B
60,1909,7.99538529401969,2,PowderBlue,B
61,1910,8.137170690220561,2,PowderBlue,B
62,1911,7.284477244860959,2,PowderBlue,B
63,1912,8.1193733519706,2,PowderBlue,B
64,1913,7.497561584601167,2,PowderBlue,B
65,1914,8.21257912664471,2,PowderBlue,B
66,1915,7.920664446750987,2,PowderBlue,B
67,1916,8.115763106990794,2,PowderBlue,B
68,1917,7.741614589147852,2,PowderBlue,B
69,1918,7.5186420950632185,2,PowderBlue,B
70,1919,8.090055173308741,2,PowderBlue,B
71,1920,8.048238592939342,2,PowderBlue,B
72,1921,7.19581422260383,2,PowderBlue,B
73,1922,7.700403120971176,2,PowderBlue,B
74,1923,7.594435151231358,2,PowderBlue,B
75,1924,8.047764407761141,2,PowderBlue,B
76,1925,8.30933270135074,2,PowderBlue,B
77,1926,8.443231815996105,2,PowderBlue,B
78,1927,8.547497998032897,2,PowderBlue,B
79,1928,8.92699653668786,2,PowderBlue,B
80,1929,8.958126858985084,2,PowderBlue,B
81,1930,8.154398650242767,2,PowderBlue,B
82,1931,8.217232954897923,2,PowderBlue,B
83,1932,8.115764018215035,2,PowderBlue,B
84,1933,7.582266918533544,2,PowderBlue,B
85,1934,7.7302128714680896,2,PowderBlue,B
86,1935,8.160504794550999,2,PowderBlue,B
87,1936,7.639427352834555,2,PowderBlue,B
88,1937,7.425043295710292,2,PowderBlue,B
89,1938,8.026470757701906,2,PowderBlue,B
90,1939,7.990316593375263,2,PowderBlue,B
91,1940,7.717286886707745,2,PowderBlue,B
92,1941,8.028780485903146,2,PowderBlue,B
93,1942,7.64206829292638,2,PowderBlue,B
94,1943,8.162669986469183,2,PowderBlue,B
95,1944,7.937138517854056,2,PowderBlue,B
96,1945,7.904274618822269,2,PowderBlue,B
97,1946,8.20311412352607,2,PowderBlue,B
98,1947,8.808052321658009,2,PowderBlue,B
99,1948,9.524003041034888,2,PowderBlue,B
100,1949,8.64697788617417,2,PowderBlue,B
101,1950,9.263001581392176,2,PowderBlue,B
102,1951,9.00416243482997,2,PowderBlue,B
103,1952,9.464139203071149,2,PowderBlue,B
104,1953,8.913029393695052,2,PowderBlue,B
105,1954,9.40561443056507,2,PowderBlue,B
106,1955,9.891484817355058,2,PowderBlue,B
107,1956,10.301203171589952,3,CornflowerBlue,C
108,1957,10.179133012474209,3,CornflowerBlue,C
109,1958,10.595714584150219,3,CornflowerBlue,C
110,1959,11.312108916051868,3,CornflowerBlue,C
111,1960,11.040871165950296,3,CornflowerBlue,C
112,1961,11.510147874703785,3,CornflowerBlue,C
113,1962,11.143866261994864,3,CornflowerBlue,C
114,1963,10.822005419847308,3,CornflowerBlue,C
115,1964,11.486358561839461,3,CornflowerBlue,C
116,1965,12.026147569919843,3,CornflowerBlue,C
117,1966,11.000442215828222,3,CornflowerBlue,C
118,1967,11.776957177628317,3,CornflowerBlue,C
119,1968,12.569639144608898,3,CornflowerBlue,C
120,1969,12.988559289248238,3,CornflowerBlue,C
121,1970,13.07680929794239,3,CornflowerBlue,C
122,1971,12.929029805163234,3,CornflowerBlue,C
123,1972,14.209112501733602,3,CornflowerBlue,C
124,1973,13.370742985856074,3,CornflowerBlue,C
125,1974,14.767660241633621,3,CornflowerBlue,C
126,1975,15.565461348488217,4,LightYellow,D
127,1976,14.697290391320278,3,CornflowerBlue,C
128,1977,15.374074962039334,4,LightYellow,D
129,1978,15.19999012358655,4,LightYellow,D
130,1979,16.15275081367518,4,LightYellow,D
131,1980,16.90249193724402,4,LightYellow,D
132,1981,17.03578395374432,4,LightYellow,D
