Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.732592604746966,2,PowderBlue,B
2,1851,9.858330222789089,2,PowderBlue,B
3,1852,10.08781145301761,3,CornflowerBlue,C
4,1853,10.319996363283693,3,CornflowerBlue,C
5,1854,9.862187600330296,2,PowderBlue,B
6,1855,9.783720564064996,2,PowderBlue,B
7,1856,9.882953471483528,2,PowderBlue,B
8,1857,9.663997360558486,2,PowderBlue,B
9,1858,9.609338328555475,2,PowderBlue,B
10,1859,10.70236247469799,3,CornflowerBlue,C
11,1860,9.273706185984308,2,PowderBlue,B
12,1861,10.036345635810406,3,CornflowerBlue,C
13,1862,9.323833120959526,2,PowderBlue,B
14,1863,10.28461028437246,3,CornflowerBlue,C
15,1864,10.999478075433307,3,CornflowerBlue,C
16,1865,9.95748031413869,2,PowderBlue,B
17,1866,9.371136971124457,2,PowderBlue,B
18,1867,10.243368571495429,3,CornflowerBlue,C
19,1868,10.512205897986151,3,CornflowerBlue,C
20,1869,9.502321778257702,2,PowderBlue,B
21,1870,9.634889716186159,2,PowderBlue,B
22,1871,9.90497771576248,2,PowderBlue,B
23,1872,9.00286338249829,2,PowderBlue,B
24,1873,10.10738230285674,3,CornflowerBlue,C
25,1874,10.374290164653047,3,CornflowerBlue,C
26,1875,9.7496106356924,2,PowderBlue,B
27,1876,10.201312979462074,3,CornflowerBlue,C
28,1877,9.932591889678315,2,PowderBlue,B
29,1878,9.901029935817922,2,PowderBlue,B
30,1879,10.023801705778823,3,CornflowerBlue,C
31,1880,10.12967517563432,3,CornflowerBlue,C
32,1881,9.691926421754882,2,PowderBlue,B
33,1882,9.633454439842712,2,PowderBlue,B
34,1883,9.848584925252405,2,PowderBlue,B
35,1884,10.00741901436263,3,CornflowerBlue,C
36,1885,10.401851782453038,3,CornflowerBlue,C
37,1886,9.63331329903303,2,PowderBlue,B
38,1887,9.760842498182143,2,PowderBlue,B
39,1888,11.490123227730257,3,CornflowerBlue,C
40,1889,10.111159088787144,3,CornflowerBlue,C
41,1890,10.421157931331686,3,CornflowerBlue,C
42,1891,10.279903375732625,3,CornflowerBlue,C
43,1892,9.873109628246203,2,PowderBlue,B
44,1893,10.091969010477934,3,CornflowerBlue,C
45,1894,11.159562543460245,3,CornflowerBlue,C
46,1895,10.624931794511507,3,CornflowerBlue,C
47,1896,10.449070484388654,3,CornflowerBlue,C
48,1897,10.973412477013964,3,CornflowerBlue,C
49,1898,11.044331772862021,3,CornflowerBlue,C
50,1899,10.57392645120812,3,CornflowerBlue,C
51,1900,9.980527649765822,2,PowderBlue,B
52,1901,10.68123325943474,3,CornflowerBlue,C
53,1902,10.188510025297775,3,CornflowerBlue,C
54,1903,10.05443376753695,3,CornflowerBlue,C
55,1904,10.596890018440547,3,CornflowerBlue,C
56,1905,10.817540462273678,3,CornflowerBlue,C
57,1906,10.82743122741473,3,CornflowerBlue,C
58,1907,11.50283379271547,3,CornflowerBlue,C
59,1908,10.698057522468021,3,CornflowerBlue,C
60,1909,10.989013274012152,3,CornflowerBlue,C
61,1910,11.051453412934752,3,CornflowerBlue,C
62,1911,11.125325932329678,3,CornflowerBlue,C
63,1912,10.465147344752264,3,CornflowerBlue,C
64,1913,10.542846329362249,3,CornflowerBlue,C
65,1914,11.282358504980579,3,CornflowerBlue,C
66,1915,10.716877746338215,3,CornflowerBlue,C
67,1916,11.519580432971804,3,CornflowerBlue,C
68,1917,10.613511500959593,3,CornflowerBlue,C
69,1918,10.182922084398983,3,CornflowerBlue,C
70,1919,11.62156741951736,3,CornflowerBlue,C
71,1920,10.442051765172074,3,CornflowerBlue,C
72,1921,10.44879729958753,3,CornflowerBlue,C
73,1922,10.83861972379504,3,CornflowerBlue,C
74,1923,10.902058238529296,3,CornflowerBlue,C
75,1924,10.84191010037326,3,CornflowerBlue,C
76,1925,11.746328960104687,3,CornflowerBlue,C
77,1926,10.522044162656217,3,CornflowerBlue,C
78,1927,10.913733208298765,3,CornflowerBlue,C
79,1928,10.733741287647678,3,CornflowerBlue,C
80,1929,10.354738233394503,3,CornflowerBlue,C
81,1930,11.18818894548811,3,CornflowerBlue,C
82,1931,11.19260872020493,3,CornflowerBlue,C
83,1932,10.943976309684778,3,CornflowerBlue,C
84,1933,10.447897189604042,3,CornflowerBlue,C
85,1934,10.893495513738861,3,CornflowerBlue,C
86,1935,11.274654284273518,3,CornflowerBlue,C
87,1936,11.41201831047584,3,CornflowerBlue,C
88,1937,10.721165930749658,3,CornflowerBlue,C
89,1938,11.536212099867353,3,CornflowerBlue,C
90,1939,11.612095951189495,3,CornflowerBlue,C
91,1940,11.227736340050516,3,CornflowerBlue,C
92,1941,10.839308643664026,3,CornflowerBlue,C
93,1942,10.48399288863771,3,CornflowerBlue,C
94,1943,10.952464281805534,3,CornflowerBlue,C
95,1944,9.930041574650698,2,PowderBlue,B
96,1945,10.191591468175222,3,CornflowerBlue,C
97,1946,11.256074643833644,3,CornflowerBlue,C
98,1947,11.900541447953712,3,CornflowerBlue,C
99,1948,12.0116654397154,3,CornflowerBlue,C
100,1949,10.968846621807947,3,CornflowerBlue,C
101,1950,11.370195453360273,3,CornflowerBlue,C
102,1951,11.981080834887896,3,CornflowerBlue,C
103,1952,11.94596526604564,3,CornflowerBlue,C
104,1953,11.870465944616376,3,CornflowerBlue,C
105,1954,11.942241062463824,3,CornflowerBlue,C
106,1955,12.380726380667646,3,CornflowerBlue,C
107,1956,11.978533630437449,3,CornflowerBlue,C
108,1957,12.609478774853972,3,CornflowerBlue,C
109,1958,12.443626121952638,3,CornflowerBlue,C
110,1959,12.165821202069532,3,CornflowerBlue,C
111,1960,12.824414577831956,3,CornflowerBlue,C
112,1961,13.691120081855004,3,CornflowerBlue,C
113,1962,13.595834036896063,3,CornflowerBlue,C
114,1963,13.924160942401539,3,CornflowerBlue,C
115,1964,13.98217993975443,3,CornflowerBlue,C
116,1965,13.999646360096937,3,CornflowerBlue,C
117,1966,13.889301620373956,3,CornflowerBlue,C
118,1967,13.879281517244126,3,CornflowerBlue,C
119,1968,14.816310355904896,3,CornflowerBlue,C
120,1969,14.78281964394667,3,CornflowerBlue,C
121,1970,14.781419496791685,3,CornflowerBlue,C
122,1971,14.374124682016593,3,CornflowerBlue,C
123,1972,15.623777183207316,4,LightYellow,D
124,1973,15.827882580176588,4,LightYellow,D
125,1974,16.647407797649453,4,LightYellow,D
126,1975,15.596562447595298,4,LightYellow,D
127,1976,15.236188231578366,4,LightYellow,D
128,1977,15.172908455193548,4,LightYellow,D
129,1978,16.020665491824573,4,LightYellow,D
130,1979,16.73595512110187,4,LightYellow,D
131,1980,16.545023446936213,4,LightYellow,D
132,1981,16.40607847148236,4,LightYellow,D
133,1982,15.363200225127077,4,LightYellow,D
134,1983,15.770652358499083,4,LightYellow,D
135,1984,15.080023615995136,4,LightYellow,D
136,1985,16.04873764236441,4,LightYellow,D
137,1986,15.692954214927761,4,LightYellow,D
138,1987,15.867132447792661,4,LightYellow,D
139,1988,16.02880982242822,4,LightYellow,D
140,1989,15.845189938688122,4,LightYellow,D
141,1990,15.332061900858236,4,LightYellow,D
142,1991,15.100463881297545,4,LightYellow,D
143,1992,14.832410844491509,3,CornflowerBlue,C
144,1993,14.018427497723925,3,CornflowerBlue,C
145,1994,14.476490594480817,3,CornflowerBlue,C
146,1995,14.609585282058516,3,CornflowerBlue,C
147,1996,14.089514297118098,3,CornflowerBlue,C
148,1997,14.398897580635781,3,CornflowerBlue,C
149,1998,14.889572857604144,3,CornflowerBlue,C
150,1999,13.195713268430827,3,CornflowerBlue,C
151,2000,13.116128079240239,3,CornflowerBlue,C
152,2001,13.308333396911621,3,CornflowerBlue,C
153,2002,13.325000762939453,3,CornflowerBlue,C
154,2003,15.183331489562988,4,LightYellow,D
155,2004,14.433333396911621,3,CornflowerBlue,C
156,2005,12.574999809265137,3,CornflowerBlue,C
157,2006,13.191668510437012,3,CornflowerBlue,C
158,2007,16.375,4,LightYellow,D
159,2008,15.183333396911621,4,LightYellow,D
160,2009,14.016666412353516,3,CornflowerBlue,C
161,2010,14.241665840148926,3,CornflowerBlue,C
162,2011,14.750000953674316,3,CornflowerBlue,C
163,2012,13.033333778381348,3,CornflowerBlue,C
164,2013,12.408332824707031,3,CornflowerBlue,C
165,2014,12.358332633972168,3,CornflowerBlue,C
166,2015,13.366665840148926,3,CornflowerBlue,C
167,2016,12.300000190734863,3,CornflowerBlue,C
168,2017,11.491665840148926,3,CornflowerBlue,C
169,2018,12.658332824707031,3,CornflowerBlue,C
170,2019,12.550002098083496,3,CornflowerBlue,C
171,2020,10.708333015441895,3,CornflowerBlue,C
172,2021,12.425000190734863,3,CornflowerBlue,C
173,2022,12.433333396911621,3,CornflowerBlue,C
