Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,11.882641869682955,3,CornflowerBlue,C
2,1851,12.135173097146888,3,CornflowerBlue,C
3,1852,13.398010404896079,3,CornflowerBlue,C
4,1853,12.937812345926922,3,CornflowerBlue,C
5,1854,11.816794458021267,3,CornflowerBlue,C
6,1855,12.413014712096164,3,CornflowerBlue,C
7,1856,13.189392218699712,3,CornflowerBlue,C
8,1857,12.613391537102792,3,CornflowerBlue,C
9,1858,12.296744580018473,3,CornflowerBlue,C
10,1859,13.916329218013553,3,CornflowerBlue,C
11,1860,11.764371620808184,3,CornflowerBlue,C
12,1861,13.933157225849262,3,CornflowerBlue,C
13,1862,13.322711642422933,3,CornflowerBlue,C
14,1863,12.717627200197963,3,CornflowerBlue,C
15,1864,14.400011600150462,3,CornflowerBlue,C
16,1865,13.302422649783272,3,CornflowerBlue,C
17,1866,13.645170625269333,3,CornflowerBlue,C
18,1867,13.600600404583878,3,CornflowerBlue,C
19,1868,14.11584837983885,3,CornflowerBlue,C
20,1869,13.396795861716432,3,CornflowerBlue,C
21,1870,13.637925047831597,3,CornflowerBlue,C
22,1871,13.388765330557266,3,CornflowerBlue,C
23,1872,12.988038482066287,3,CornflowerBlue,C
24,1873,14.424990282700216,3,CornflowerBlue,C
25,1874,13.25284990128385,3,CornflowerBlue,C
26,1875,13.845942366451267,3,CornflowerBlue,C
27,1876,13.8407292265917,3,CornflowerBlue,C
28,1877,14.21488404891729,3,CornflowerBlue,C
29,1878,13.374446543790357,3,CornflowerBlue,C
30,1879,13.167538626182267,3,CornflowerBlue,C
31,1880,14.017451449241067,3,CornflowerBlue,C
32,1881,14.136429283968686,3,CornflowerBlue,C
33,1882,13.9998766888582,3,CornflowerBlue,C
34,1883,13.992115673454002,3,CornflowerBlue,C
35,1884,14.359137611282165,3,CornflowerBlue,C
36,1885,14.946729177139959,3,CornflowerBlue,C
37,1886,14.657333302473871,3,CornflowerBlue,C
38,1887,14.648152341103348,3,CornflowerBlue,C
39,1888,14.961134732389658,3,CornflowerBlue,C
40,1889,14.824001509642327,3,CornflowerBlue,C
41,1890,14.091615252447651,3,CornflowerBlue,C
42,1891,15.241802999270224,4,LightYellow,D
43,1892,14.06834147978124,3,CornflowerBlue,C
44,1893,14.179922895693165,3,CornflowerBlue,C
45,1894,15.701602374484311,4,LightYellow,D
46,1895,15.338780654539105,4,LightYellow,D
47,1896,14.44803483488904,3,CornflowerBlue,C
48,1897,15.57513744211781,4,LightYellow,D
49,1898,14.8970652082859,3,CornflowerBlue,C
50,1899,15.537849638729684,4,LightYellow,D
51,1900,15.629133247807676,4,LightYellow,D
52,1901,16.420279391931924,4,LightYellow,D
53,1902,15.823514389366975,4,LightYellow,D
54,1903,16.02485888632631,4,LightYellow,D
55,1904,15.838763410202102,4,LightYellow,D
56,1905,17.02639736790481,4,LightYellow,D
57,1906,16.191095440842457,4,LightYellow,D
58,1907,17.838229977678804,4,LightYellow,D
59,1908,17.865605970882715,4,LightYellow,D
60,1909,16.779607079441178,4,LightYellow,D
61,1910,17.330998832790826,4,LightYellow,D
62,1911,17.07799239869436,4,LightYellow,D
63,1912,17.11521905418032,4,LightYellow,D
64,1913,17.418966965771368,4,LightYellow,D
65,1914,16.923884904153972,4,LightYellow,D
66,1915,16.001849980986517,4,LightYellow,D
67,1916,17.208522796526022,4,LightYellow,D
68,1917,15.32348646807662,4,LightYellow,D
69,1918,15.846676537942242,4,LightYellow,D
70,1919,16.18109243351696,4,LightYellow,D
71,1920,15.766176668969164,4,LightYellow,D
72,1921,15.18288739975245,4,LightYellow,D
73,1922,15.7211387606237,4,LightYellow,D
74,1923,15.978762670410251,4,LightYellow,D
75,1924,17.57699505421577,4,LightYellow,D
76,1925,16.666805627777116,4,LightYellow,D
77,1926,17.752808230576797,4,LightYellow,D
78,1927,17.891911104215506,4,LightYellow,D
79,1928,17.068033082216434,4,LightYellow,D
80,1929,17.96092212767071,4,LightYellow,D
81,1930,17.41959849487446,4,LightYellow,D
82,1931,17.34322053302475,4,LightYellow,D
83,1932,16.317477171029772,4,LightYellow,D
84,1933,16.294193073370252,4,LightYellow,D
85,1934,16.5584528761567,4,LightYellow,D
86,1935,17.18195648593137,4,LightYellow,D
87,1936,17.53679115601988,4,LightYellow,D
88,1937,18.408203170527692,4,LightYellow,D
89,1938,18.71495453037525,4,LightYellow,D
90,1939,19.766841953776204,4,LightYellow,D
91,1940,18.288872715472408,4,LightYellow,D
92,1941,18.00470579415616,4,LightYellow,D
93,1942,17.78453676131525,4,LightYellow,D
94,1943,16.83652533664466,4,LightYellow,D
95,1944,14.815947036262203,3,CornflowerBlue,C
96,1945,14.069173036591389,3,CornflowerBlue,C
97,1946,16.15211734036817,4,LightYellow,D
98,1947,18.66511868951897,4,LightYellow,D
99,1948,18.240696353609597,4,LightYellow,D
100,1949,18.216703721501077,4,LightYellow,D
101,1950,18.403674304031476,4,LightYellow,D
102,1951,19.452449359237495,4,LightYellow,D
103,1952,18.551427285570234,4,LightYellow,D
104,1953,18.159092641958704,4,LightYellow,D
105,1954,19.54938043571768,4,LightYellow,D
106,1955,21.032242662260806,5,Vanilla,E
107,1956,20.346157761799745,5,Vanilla,E
108,1957,21.06834037394152,5,Vanilla,E
109,1958,21.575842810355947,5,Vanilla,E
110,1959,21.592949550056577,5,Vanilla,E
111,1960,23.135394593581413,5,Vanilla,E
112,1961,25.71755416668581,5,Vanilla,E
113,1962,27.072473178872293,5,Vanilla,E
114,1963,26.482548300394047,5,Vanilla,E
115,1964,28.143232873483374,5,Vanilla,E
116,1965,29.453586508263403,5,Vanilla,E
117,1966,28.065417182884214,5,Vanilla,E
118,1967,29.46313683955742,5,Vanilla,E
119,1968,30.002732632551858,6,Dandelion,F
120,1969,31.447266747427058,6,Dandelion,F
121,1970,31.39944943002781,6,Dandelion,F
122,1971,31.380348141847502,6,Dandelion,F
123,1972,34.30651254629401,6,Dandelion,F
124,1973,33.07506453453873,6,Dandelion,F
125,1974,35.616866291649046,6,Dandelion,F
126,1975,33.63226796168828,6,Dandelion,F
127,1976,32.06315550585884,6,Dandelion,F
128,1977,32.854899064501325,6,Dandelion,F
129,1978,34.650969034173336,6,Dandelion,F
130,1979,36.444910780148014,6,Dandelion,F
131,1980,37.9026543539747,6,Dandelion,F
132,1981,35.970774453641546,6,Dandelion,F
133,1982,32.827747217156585,6,Dandelion,F
134,1983,33.203727036841265,6,Dandelion,F
135,1984,31.384612224877536,6,Dandelion,F
136,1985,32.11566235082299,6,Dandelion,F
137,1986,30.817946297323324,6,Dandelion,F
138,1987,32.54811864179864,6,Dandelion,F
139,1988,32.47785769053213,6,Dandelion,F
140,1989,32.69302363767619,6,Dandelion,F
141,1990,29.63230004770134,5,Vanilla,E
142,1991,28.54603595309342,5,Vanilla,E
143,1992,27.026136665368664,5,Vanilla,E
144,1993,25.201230806428928,5,Vanilla,E
145,1994,25.021355792166595,5,Vanilla,E
146,1995,24.21292580401041,5,Vanilla,E
147,1996,23.0362375231413,5,Vanilla,E
148,1997,23.54275665857306,5,Vanilla,E
149,1998,21.76386525357744,5,Vanilla,E
150,1999,19.885714963507258,4,LightYellow,D
151,2000,20.167829952705933,5,Vanilla,E
152,2001,18.083332061767578,4,LightYellow,D
153,2002,20.32499885559082,5,Vanilla,E
154,2003,20.608335494995117,5,Vanilla,E
155,2004,18.758333206176758,4,LightYellow,D
156,2005,18.233333587646484,4,LightYellow,D
157,2006,22.558334350585938,5,Vanilla,E
158,2007,21.308332443237305,5,Vanilla,E
159,2008,19.57499885559082,4,LightYellow,D
160,2009,18.95833396911621,4,LightYellow,D
161,2010,17.625001907348633,4,LightYellow,D
162,2011,19.8416690826416,4,LightYellow,D
163,2012,18.40833282470703,4,LightYellow,D
164,2013,16.908334732055664,4,LightYellow,D
165,2014,15.791666984558105,4,LightYellow,D
166,2015,17.33333396911621,4,LightYellow,D
167,2016,15.374999046325684,4,LightYellow,D
168,2017,14.941665649414062,3,CornflowerBlue,C
169,2018,14.291666984558105,3,CornflowerBlue,C
170,2019,13.516667366027832,3,CornflowerBlue,C
171,2020,14.458333015441895,3,CornflowerBlue,C
172,2021,13.666665077209473,3,CornflowerBlue,C
173,2022,14.241667747497559,3,CornflowerBlue,C
