Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,15.13797003450034,4,LightYellow,D
2,1851,13.66901355782029,3,CornflowerBlue,C
3,1852,14.133791785172816,3,CornflowerBlue,C
4,1853,14.218693844744658,3,CornflowerBlue,C
5,1854,13.667785525338182,3,CornflowerBlue,C
6,1855,15.090372976544842,4,LightYellow,D
7,1856,16.194233631422946,4,LightYellow,D
8,1857,15.989682406717822,4,LightYellow,D
9,1858,17.88512035142243,4,LightYellow,D
10,1859,17.592033923669934,4,LightYellow,D
11,1860,16.805051991975585,4,LightYellow,D
12,1861,18.795255094708544,4,LightYellow,D
13,1862,17.62944156056074,4,LightYellow,D
14,1863,18.057116871789248,4,LightYellow,D
15,1864,18.458348830753803,4,LightYellow,D
16,1865,17.59106071106441,4,LightYellow,D
17,1866,15.85922422687528,4,LightYellow,D
18,1867,16.989799474277657,4,LightYellow,D
19,1868,18.580686418613695,4,LightYellow,D
20,1869,18.533459765384997,4,LightYellow,D
21,1870,18.48430413443545,4,LightYellow,D
22,1871,19.948995510407943,4,LightYellow,D
23,1872,21.532721205107524,5,Vanilla,E
24,1873,21.431749733761087,5,Vanilla,E
25,1874,21.678389395498247,5,Vanilla,E
26,1875,20.827130155483697,5,Vanilla,E
27,1876,20.910905836015118,5,Vanilla,E
28,1877,20.797775559223552,5,Vanilla,E
29,1878,20.24774003411914,5,Vanilla,E
30,1879,21.0737674297604,5,Vanilla,E
31,1880,30.786017145147913,6,Dandelion,F
32,1881,21.34671229597734,5,Vanilla,E
33,1882,22.653721663818406,5,Vanilla,E
34,1883,23.928384837046693,5,Vanilla,E
35,1884,23.888286564953784,5,Vanilla,E
36,1885,24.62511704416148,5,Vanilla,E
37,1886,23.54047232407818,5,Vanilla,E
38,1887,23.591774815571828,5,Vanilla,E
39,1888,24.714103233116695,5,Vanilla,E
40,1889,24.5434016644026,5,Vanilla,E
41,1890,25.686684339705636,5,Vanilla,E
42,1891,26.254566260752046,5,Vanilla,E
43,1892,26.659311856476357,5,Vanilla,E
44,1893,28.46249727863327,5,Vanilla,E
45,1894,29.38552308376515,5,Vanilla,E
