Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,31.011905912576502,6,Dandelion,F
2,1851,32.045506725097596,6,Dandelion,F
3,1852,32.61436304327281,6,Dandelion,F
4,1853,31.362640181776968,6,Dandelion,F
5,1854,28.06959668683891,5,Vanilla,E
6,1855,30.36032623852846,6,Dandelion,F
7,1856,30.669358341294142,6,Dandelion,F
8,1857,33.05245570916803,6,Dandelion,F
9,1858,32.56539363837553,6,Dandelion,F
10,1859,34.97093978804231,6,Dandelion,F
11,1860,31.315785899644297,6,Dandelion,F
12,1861,29.05530901639584,5,Vanilla,E
13,1862,32.698931079189975,6,Dandelion,F
14,1863,29.99425864675603,5,Vanilla,E
15,1864,29.771620433052213,5,Vanilla,E
16,1865,32.430484548249126,6,Dandelion,F
17,1866,28.98392093893479,5,Vanilla,E
18,1867,32.97732341786998,6,Dandelion,F
19,1868,35.420154109807235,6,Dandelion,F
20,1869,30.49173558107335,6,Dandelion,F
21,1870,31.127048595088468,6,Dandelion,F
22,1871,31.922419510907712,6,Dandelion,F
23,1872,29.549631477292838,5,Vanilla,E
24,1873,30.88056453824893,6,Dandelion,F
25,1874,28.762666779933515,5,Vanilla,E
26,1875,29.49453265157636,5,Vanilla,E
27,1876,31.16514890211652,6,Dandelion,F
28,1877,33.38250828599742,6,Dandelion,F
29,1878,32.763008240125174,6,Dandelion,F
30,1879,32.693091117529214,6,Dandelion,F
31,1880,31.45536066688257,6,Dandelion,F
32,1881,30.997664513954373,6,Dandelion,F
33,1882,31.90612096948901,6,Dandelion,F
34,1883,29.353851660931454,5,Vanilla,E
35,1884,30.035092079937115,6,Dandelion,F
36,1885,31.160947326468104,6,Dandelion,F
37,1886,29.301275501711185,5,Vanilla,E
38,1887,31.346197836976526,6,Dandelion,F
39,1888,33.31685494022723,6,Dandelion,F
40,1889,29.054408121903975,5,Vanilla,E
41,1890,32.48548626731141,6,Dandelion,F
42,1891,29.233751693721373,5,Vanilla,E
43,1892,30.57570371427855,6,Dandelion,F
44,1893,30.066273621782663,6,Dandelion,F
45,1894,27.777285097747384,5,Vanilla,E
46,1895,29.60467730562325,5,Vanilla,E
47,1896,28.149016897470354,5,Vanilla,E
48,1897,33.012145226230054,6,Dandelion,F
49,1898,31.865490155638206,6,Dandelion,F
50,1899,31.194211948249315,6,Dandelion,F
51,1900,29.892550527750892,5,Vanilla,E
52,1901,30.31889265872376,6,Dandelion,F
53,1902,31.548876973340562,6,Dandelion,F
54,1903,28.283471890817758,5,Vanilla,E
55,1904,29.71947293326234,5,Vanilla,E
56,1905,31.03310937279983,6,Dandelion,F
57,1906,28.39363470805124,5,Vanilla,E
58,1907,32.56924666569741,6,Dandelion,F
59,1908,31.34114150193692,6,Dandelion,F
60,1909,31.64835429926708,6,Dandelion,F
61,1910,31.742282974644404,6,Dandelion,F
62,1911,30.36679394490145,6,Dandelion,F
63,1912,30.839993989118565,6,Dandelion,F
64,1913,30.227283390627004,6,Dandelion,F
65,1914,30.055618785869605,6,Dandelion,F
66,1915,30.333915410737724,6,Dandelion,F
67,1916,32.04069087338975,6,Dandelion,F
68,1917,34.28021005004371,6,Dandelion,F
69,1918,31.2697197147851,6,Dandelion,F
70,1919,32.69133358167664,6,Dandelion,F
71,1920,30.574342016679793,6,Dandelion,F
72,1921,30.066677834362547,6,Dandelion,F
73,1922,27.864117640322874,5,Vanilla,E
74,1923,32.91096941678908,6,Dandelion,F
75,1924,30.837309309221517,6,Dandelion,F
76,1925,32.036810855168476,6,Dandelion,F
77,1926,27.97959698488399,5,Vanilla,E
78,1927,29.04328055764121,5,Vanilla,E
79,1928,29.133135039294054,5,Vanilla,E
80,1929,34.29998537486739,6,Dandelion,F
81,1930,36.098107623596206,6,Dandelion,F
82,1931,30.413670823966896,6,Dandelion,F
83,1932,30.28264261672217,6,Dandelion,F
84,1933,31.85849698739945,6,Dandelion,F
85,1934,30.762666587582416,6,Dandelion,F
86,1935,29.198294924899283,5,Vanilla,E
87,1936,36.27122825984144,6,Dandelion,F
88,1937,27.471609164046885,5,Vanilla,E
89,1938,28.232296203887387,5,Vanilla,E
90,1939,31.386167080221323,6,Dandelion,F
91,1940,31.17674814634983,6,Dandelion,F
92,1941,25.599706640549883,5,Vanilla,E
93,1942,28.68040317891901,5,Vanilla,E
94,1943,32.38779049833512,6,Dandelion,F
95,1944,30.44584898616064,6,Dandelion,F
96,1945,29.470075652910623,5,Vanilla,E
97,1946,29.45464773505028,5,Vanilla,E
98,1947,28.858377259752526,5,Vanilla,E
99,1948,27.657287303155137,5,Vanilla,E
100,1949,27.683159915915393,5,Vanilla,E
101,1950,32.248660567590136,6,Dandelion,F
102,1951,25.766040216964864,5,Vanilla,E
103,1952,24.676658554594365,5,Vanilla,E
104,1953,27.07991211886358,5,Vanilla,E
105,1954,28.050581866584505,5,Vanilla,E
106,1955,28.344868602759792,5,Vanilla,E
107,1956,31.87187866154586,6,Dandelion,F
108,1957,34.29696997350424,6,Dandelion,F
109,1958,27.319802249396794,5,Vanilla,E
110,1959,31.535932203332806,6,Dandelion,F
111,1960,24.43829514554764,5,Vanilla,E
112,1961,27.104186727818387,5,Vanilla,E
113,1962,31.3982197951157,6,Dandelion,F
114,1963,25.13164374010444,5,Vanilla,E
115,1964,25.912566798132307,5,Vanilla,E
116,1965,27.38212398045666,5,Vanilla,E
117,1966,25.7878001584612,5,Vanilla,E
118,1967,25.454199397251625,5,Vanilla,E
119,1968,29.135278522560423,5,Vanilla,E
120,1969,23.49919128235014,5,Vanilla,E
121,1970,24.764688726517928,5,Vanilla,E
122,1971,25.42107117826035,5,Vanilla,E
123,1972,25.3788255234265,5,Vanilla,E
124,1973,23.625307339961505,5,Vanilla,E
125,1974,24.772367387468535,5,Vanilla,E
126,1975,26.545467063639613,5,Vanilla,E
127,1976,27.39115436651267,5,Vanilla,E
128,1977,28.83638117523412,5,Vanilla,E
129,1978,34.027426919910795,6,Dandelion,F
130,1979,31.86440177121703,6,Dandelion,F
131,1980,26.116699154218825,5,Vanilla,E
132,1981,27.24580082721022,5,Vanilla,E
133,1982,29.075636391095138,5,Vanilla,E
134,1983,28.224429932223337,5,Vanilla,E
135,1984,28.59933378223878,5,Vanilla,E
136,1985,30.343009325981676,6,Dandelion,F
137,1986,28.99047859985535,5,Vanilla,E
138,1987,26.369752352013364,5,Vanilla,E
139,1988,28.436744271447377,5,Vanilla,E
140,1989,27.303612699673195,5,Vanilla,E
141,1990,30.845505928168063,6,Dandelion,F
142,1991,31.12116634612887,6,Dandelion,F
143,1992,30.147985313551914,6,Dandelion,F
144,1993,28.437179514197883,5,Vanilla,E
145,1994,30.36816176296642,6,Dandelion,F
146,1995,28.84896753881274,5,Vanilla,E
147,1996,29.479355801629282,5,Vanilla,E
148,1997,27.712046589050953,5,Vanilla,E
149,1998,40.547054232279315,7,Tangerine,G
150,1999,36.61502492472701,6,Dandelion,F
151,2000,32.3459576373615,6,Dandelion,F
152,2001,28.308332443237305,5,Vanilla,E
153,2002,26.66666603088379,5,Vanilla,E
154,2003,26.816667556762695,5,Vanilla,E
155,2004,31.583335876464844,6,Dandelion,F
