Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,10.369238481896442,3,CornflowerBlue,C
2,1851,10.17375624764119,3,CornflowerBlue,C
3,1852,11.02938693440503,3,CornflowerBlue,C
4,1853,10.495049718791769,3,CornflowerBlue,C
5,1854,10.167766008999088,3,CornflowerBlue,C
6,1855,10.815050889891781,3,CornflowerBlue,C
7,1856,11.103191055935966,3,CornflowerBlue,C
8,1857,11.053229946727264,3,CornflowerBlue,C
9,1858,11.418600643805988,3,CornflowerBlue,C
10,1859,10.697821813571915,3,CornflowerBlue,C
11,1860,10.915542061435515,3,CornflowerBlue,C
12,1861,11.16676136392193,3,CornflowerBlue,C
13,1862,11.636552705773713,3,CornflowerBlue,C
14,1863,12.085659446150157,3,CornflowerBlue,C
15,1864,12.222481629823784,3,CornflowerBlue,C
16,1865,11.91618158954916,3,CornflowerBlue,C
17,1866,12.326650814559256,3,CornflowerBlue,C
18,1867,11.434142502712165,3,CornflowerBlue,C
19,1868,12.028994689792603,3,CornflowerBlue,C
20,1869,12.36177335755347,3,CornflowerBlue,C
21,1870,12.17014333314352,3,CornflowerBlue,C
22,1871,12.383042687293397,3,CornflowerBlue,C
23,1872,13.085443274761618,3,CornflowerBlue,C
24,1873,13.074325912795008,3,CornflowerBlue,C
25,1874,13.302091399111477,3,CornflowerBlue,C
26,1875,13.441139557878389,3,CornflowerBlue,C
27,1876,13.474490572327479,3,CornflowerBlue,C
28,1877,14.347761398315647,3,CornflowerBlue,C
29,1878,14.139614379715306,3,CornflowerBlue,C
30,1879,14.591040690076255,3,CornflowerBlue,C
31,1880,14.453196679716168,3,CornflowerBlue,C
32,1881,14.02934790734597,3,CornflowerBlue,C
33,1882,14.398164346211104,3,CornflowerBlue,C
34,1883,15.054992198255169,4,LightYellow,D
35,1884,14.9303509586271,3,CornflowerBlue,C
36,1885,15.713694895084155,4,LightYellow,D
37,1886,16.27044700216713,4,LightYellow,D
38,1887,14.787969195074112,3,CornflowerBlue,C
39,1888,15.480184875418875,4,LightYellow,D
40,1889,15.881242971997544,4,LightYellow,D
41,1890,16.25547778670748,4,LightYellow,D
42,1891,15.492497500776057,4,LightYellow,D
43,1892,16.820764831438446,4,LightYellow,D
44,1893,15.926027749443909,4,LightYellow,D
45,1894,17.448960863553104,4,LightYellow,D
46,1895,17.01849732545015,4,LightYellow,D
47,1896,17.394355287109086,4,LightYellow,D
48,1897,19.064245252820612,4,LightYellow,D
49,1898,18.216067470029575,4,LightYellow,D
50,1899,18.114508270987884,4,LightYellow,D
51,1900,18.771388734368355,4,LightYellow,D
52,1901,18.32784161705832,4,LightYellow,D
