Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,17.043144137754645,4,LightYellow,D
2,1851,16.27766859318235,4,LightYellow,D
3,1852,17.033051930926543,4,LightYellow,D
4,1853,17.037283016005176,4,LightYellow,D
5,1854,16.947767599214824,4,LightYellow,D
6,1855,18.049317728162404,4,LightYellow,D
7,1856,18.10054223678615,4,LightYellow,D
8,1857,17.52602361212502,4,LightYellow,D
9,1858,18.860889344212463,4,LightYellow,D
10,1859,18.743723367511258,4,LightYellow,D
11,1860,17.66230456000701,4,LightYellow,D
12,1861,18.501805335059142,4,LightYellow,D
13,1862,19.335385711404022,4,LightYellow,D
14,1863,20.117539918574913,5,Vanilla,E
15,1864,20.463691207104013,5,Vanilla,E
16,1865,19.367960283390484,4,LightYellow,D
17,1866,19.58381600401287,4,LightYellow,D
18,1867,18.73241594615905,4,LightYellow,D
19,1868,19.603525546918625,4,LightYellow,D
20,1869,20.45341307114612,5,Vanilla,E
21,1870,20.048943717740546,5,Vanilla,E
22,1871,20.215587197490372,5,Vanilla,E
23,1872,22.23022346843363,5,Vanilla,E
24,1873,22.320637541037648,5,Vanilla,E
25,1874,23.091807767196883,5,Vanilla,E
26,1875,22.169649489513642,5,Vanilla,E
27,1876,21.77548901826534,5,Vanilla,E
28,1877,24.547649362221975,5,Vanilla,E
29,1878,22.982547441667165,5,Vanilla,E
30,1879,22.94035565049356,5,Vanilla,E
31,1880,24.65538349792964,5,Vanilla,E
32,1881,22.38656554792398,5,Vanilla,E
33,1882,24.130650024609093,5,Vanilla,E
34,1883,24.954543206589616,5,Vanilla,E
35,1884,24.326342983164817,5,Vanilla,E
36,1885,25.353271625399234,5,Vanilla,E
37,1886,25.10497972420778,5,Vanilla,E
38,1887,24.294219898580852,5,Vanilla,E
39,1888,25.354229932157004,5,Vanilla,E
40,1889,25.745455485059402,5,Vanilla,E
41,1890,27.231952547208223,5,Vanilla,E
42,1891,25.862656281817266,5,Vanilla,E
43,1892,26.971273914227982,5,Vanilla,E
44,1893,25.566975418256174,5,Vanilla,E
45,1894,27.788233481554588,5,Vanilla,E
46,1895,27.24638839223055,5,Vanilla,E
47,1896,26.381840379614605,5,Vanilla,E
48,1897,30.22257557172806,6,Dandelion,F
49,1898,29.880474839811445,5,Vanilla,E
50,1899,28.51009168285696,5,Vanilla,E
51,1900,30.709010504664843,6,Dandelion,F
52,1901,28.37041538647499,5,Vanilla,E
53,1902,29.35785588862302,5,Vanilla,E
54,1903,28.62343276205562,5,Vanilla,E
55,1904,29.711622300231394,5,Vanilla,E
56,1905,30.88561312135481,6,Dandelion,F
57,1906,29.51297666851868,5,Vanilla,E
58,1907,31.29061575645639,6,Dandelion,F
59,1908,31.768143511728564,6,Dandelion,F
60,1909,31.64100283358925,6,Dandelion,F
61,1910,32.10768012269601,6,Dandelion,F
62,1911,32.28688371019033,6,Dandelion,F
63,1912,32.53461478294692,6,Dandelion,F
64,1913,34.62970518221169,6,Dandelion,F
65,1914,28.970328307654125,5,Vanilla,E
66,1915,29.4940391983756,5,Vanilla,E
67,1916,30.77407686550645,6,Dandelion,F
68,1917,34.62116047285151,6,Dandelion,F
69,1918,29.84909681040568,5,Vanilla,E
70,1919,20.684338188110843,5,Vanilla,E
71,1920,26.167582041590894,5,Vanilla,E
72,1921,26.03502144493652,5,Vanilla,E
73,1922,26.521460491583596,5,Vanilla,E
74,1923,25.29642034706361,5,Vanilla,E
75,1924,26.12342068836766,5,Vanilla,E
