Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,16.14918575693953,4,LightYellow,D
2,1851,17.016569444848468,4,LightYellow,D
3,1852,16.917277407825875,4,LightYellow,D
4,1853,16.23137331484478,4,LightYellow,D
5,1854,16.308100790429204,4,LightYellow,D
6,1855,16.653720803904726,4,LightYellow,D
7,1856,17.73824237484195,4,LightYellow,D
8,1857,17.491843669372297,4,LightYellow,D
9,1858,17.155592859520397,4,LightYellow,D
10,1859,17.959391234746562,4,LightYellow,D
11,1860,17.980957110985965,4,LightYellow,D
12,1861,17.799778261275286,4,LightYellow,D
13,1862,17.857927953702557,4,LightYellow,D
14,1863,17.82464014397589,4,LightYellow,D
15,1864,17.550794201960013,4,LightYellow,D
16,1865,18.311489989558194,4,LightYellow,D
17,1866,17.378873032199664,4,LightYellow,D
18,1867,18.363533101948132,4,LightYellow,D
19,1868,18.0371637901328,4,LightYellow,D
20,1869,19.11424696695405,4,LightYellow,D
21,1870,19.059159436091274,4,LightYellow,D
22,1871,19.18231349408123,4,LightYellow,D
23,1872,20.043887625134772,5,Vanilla,E
24,1873,19.468326569574522,4,LightYellow,D
25,1874,18.506193517227032,4,LightYellow,D
26,1875,18.156037999837142,4,LightYellow,D
27,1876,19.644255630018485,4,LightYellow,D
28,1877,19.835160608335876,4,LightYellow,D
29,1878,18.975547469539944,4,LightYellow,D
30,1879,18.514307207331296,4,LightYellow,D
31,1880,19.411683579924794,4,LightYellow,D
32,1881,19.385540504680538,4,LightYellow,D
33,1882,19.4973366958106,4,LightYellow,D
34,1883,19.018448717897023,4,LightYellow,D
35,1884,19.502813228101104,4,LightYellow,D
36,1885,18.168400735851232,4,LightYellow,D
37,1886,18.422778011873657,4,LightYellow,D
38,1887,18.42417165159686,4,LightYellow,D
39,1888,19.13951351061944,4,LightYellow,D
40,1889,17.645233639132975,4,LightYellow,D
41,1890,19.12464843337029,4,LightYellow,D
42,1891,18.47418459864431,4,LightYellow,D
43,1892,18.743564116875547,4,LightYellow,D
44,1893,19.176098772248178,4,LightYellow,D
45,1894,18.84603230927196,4,LightYellow,D
46,1895,18.21878975234794,4,LightYellow,D
47,1896,19.045821187087498,4,LightYellow,D
48,1897,18.03355909809731,4,LightYellow,D
49,1898,18.93947529367832,4,LightYellow,D
50,1899,18.83325169831583,4,LightYellow,D
51,1900,19.041172725674535,4,LightYellow,D
52,1901,19.59661683824966,4,LightYellow,D
53,1902,19.111742690418474,4,LightYellow,D
54,1903,20.532520386295143,5,Vanilla,E
55,1904,20.63043398587773,5,Vanilla,E
56,1905,20.7209172308935,5,Vanilla,E
57,1906,21.616429622849175,5,Vanilla,E
58,1907,22.43722399795463,5,Vanilla,E
59,1908,20.830590497576623,5,Vanilla,E
60,1909,21.91053717472813,5,Vanilla,E
61,1910,22.132246881102144,5,Vanilla,E
62,1911,22.969873899530587,5,Vanilla,E
63,1912,22.895384913758207,5,Vanilla,E
64,1913,22.524067022505086,5,Vanilla,E
65,1914,22.311883955746836,5,Vanilla,E
66,1915,22.66619716817325,5,Vanilla,E
67,1916,23.693080203750572,5,Vanilla,E
68,1917,24.70611327990624,5,Vanilla,E
69,1918,23.99960658842396,5,Vanilla,E
70,1919,21.913965257595585,5,Vanilla,E
71,1920,23.595926079793138,5,Vanilla,E
72,1921,20.958641649705342,5,Vanilla,E
73,1922,19.911138635855178,4,LightYellow,D
74,1923,23.982263638576335,5,Vanilla,E
75,1924,21.454232571354027,5,Vanilla,E
76,1925,21.322382192885318,5,Vanilla,E
77,1926,22.587386947280546,5,Vanilla,E
78,1927,21.212666512919572,5,Vanilla,E
79,1928,21.902954390018632,5,Vanilla,E
80,1929,22.137451431461187,5,Vanilla,E
81,1930,19.468023984858352,4,LightYellow,D
82,1931,17.284714270701034,4,LightYellow,D
83,1932,16.262931934723643,4,LightYellow,D
84,1933,17.19287187507733,4,LightYellow,D
85,1934,16.69332964448941,4,LightYellow,D
86,1935,17.031321207291402,4,LightYellow,D
87,1936,19.02063801169188,4,LightYellow,D
88,1937,19.74360304641405,4,LightYellow,D
89,1938,16.847984970141056,4,LightYellow,D
90,1939,18.375037472732984,4,LightYellow,D
91,1940,18.954037479012836,4,LightYellow,D
92,1941,19.52873873102282,4,LightYellow,D
93,1942,21.569448163012787,5,Vanilla,E
94,1943,20.38368518607483,5,Vanilla,E
