Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,5.113509200483225,2,PowderBlue,B
2,1851,5.36776460971287,2,PowderBlue,B
3,1852,5.222020597497403,2,PowderBlue,B
4,1853,5.382853100010267,2,PowderBlue,B
5,1854,5.13524136695991,2,PowderBlue,B
6,1855,5.167445741188416,2,PowderBlue,B
7,1856,5.315664937341445,2,PowderBlue,B
8,1857,5.526054413069296,2,PowderBlue,B
9,1858,5.283793922243253,2,PowderBlue,B
10,1859,5.308544957468333,2,PowderBlue,B
11,1860,5.221537016034084,2,PowderBlue,B
12,1861,5.3916797980445645,2,PowderBlue,B
13,1862,5.53780664661108,2,PowderBlue,B
14,1863,5.2774905126771605,2,PowderBlue,B
15,1864,5.261164515294048,2,PowderBlue,B
16,1865,5.380781321057339,2,PowderBlue,B
17,1866,5.410492111541638,2,PowderBlue,B
18,1867,5.217643783522686,2,PowderBlue,B
19,1868,5.361148637819493,2,PowderBlue,B
20,1869,5.315139506093098,2,PowderBlue,B
21,1870,5.411472939410928,2,PowderBlue,B
22,1871,5.43563745137897,2,PowderBlue,B
23,1872,5.5620032092906175,2,PowderBlue,B
24,1873,5.3146962224804195,2,PowderBlue,B
25,1874,5.361456911420329,2,PowderBlue,B
26,1875,5.325314999846605,2,PowderBlue,B
27,1876,5.32508026455777,2,PowderBlue,B
28,1877,5.369645067438788,2,PowderBlue,B
29,1878,5.447250717379177,2,PowderBlue,B
30,1879,5.246980047248122,2,PowderBlue,B
31,1880,5.157027230756716,2,PowderBlue,B
32,1881,5.385644093633875,2,PowderBlue,B
33,1882,5.215727457544911,2,PowderBlue,B
34,1883,5.169281197219068,2,PowderBlue,B
35,1884,5.384930517276919,2,PowderBlue,B
36,1885,5.372373464324609,2,PowderBlue,B
37,1886,5.284530414668535,2,PowderBlue,B
38,1887,5.393010613954547,2,PowderBlue,B
39,1888,5.337596804931325,2,PowderBlue,B
40,1889,5.255520404967583,2,PowderBlue,B
41,1890,5.391014727928629,2,PowderBlue,B
42,1891,5.377861666232553,2,PowderBlue,B
43,1892,5.307960738936535,2,PowderBlue,B
44,1893,5.340808915592925,2,PowderBlue,B
45,1894,5.371535158907864,2,PowderBlue,B
46,1895,5.33413477514547,2,PowderBlue,B
47,1896,5.364809235551793,2,PowderBlue,B
48,1897,5.463208020114342,2,PowderBlue,B
49,1898,5.4738176013107935,2,PowderBlue,B
50,1899,5.28103570377764,2,PowderBlue,B
51,1900,5.391174403614822,2,PowderBlue,B
52,1901,5.283455515825239,2,PowderBlue,B
53,1902,5.517844157914004,2,PowderBlue,B
54,1903,5.4831125011839,2,PowderBlue,B
55,1904,5.580720504464887,2,PowderBlue,B
56,1905,5.397553100665209,2,PowderBlue,B
57,1906,5.397518834797421,2,PowderBlue,B
58,1907,5.3496527822217566,2,PowderBlue,B
59,1908,5.329788054019712,2,PowderBlue,B
60,1909,5.531160475352426,2,PowderBlue,B
61,1910,5.2526073952163665,2,PowderBlue,B
62,1911,5.323034345473824,2,PowderBlue,B
63,1912,5.378162247015218,2,PowderBlue,B
64,1913,5.569059820054727,2,PowderBlue,B
