Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,9.67928062718064,2,PowderBlue,B
2,1851,10.434940765410119,3,CornflowerBlue,C
3,1852,10.099614003436038,3,CornflowerBlue,C
4,1853,10.370137366463391,3,CornflowerBlue,C
5,1854,10.583427851604227,3,CornflowerBlue,C
6,1855,9.991952469684731,2,PowderBlue,B
7,1856,9.809145909528077,2,PowderBlue,B
8,1857,10.423632049666983,3,CornflowerBlue,C
9,1858,10.591337369501343,3,CornflowerBlue,C
10,1859,9.841882679533878,2,PowderBlue,B
11,1860,10.085057377900348,3,CornflowerBlue,C
12,1861,10.346256446610912,3,CornflowerBlue,C
13,1862,9.796546779484821,2,PowderBlue,B
14,1863,10.021226159687995,3,CornflowerBlue,C
15,1864,9.699768020484042,2,PowderBlue,B
16,1865,9.953785424930901,2,PowderBlue,B
17,1866,10.348736684707402,3,CornflowerBlue,C
18,1867,10.443931661220212,3,CornflowerBlue,C
19,1868,9.945681184713875,2,PowderBlue,B
20,1869,10.44536498194768,3,CornflowerBlue,C
21,1870,10.462429406034964,3,CornflowerBlue,C
22,1871,10.34677491498492,3,CornflowerBlue,C
23,1872,9.812719468543962,2,PowderBlue,B
24,1873,10.27117146903366,3,CornflowerBlue,C
25,1874,10.729324501450538,3,CornflowerBlue,C
26,1875,10.769892270130212,3,CornflowerBlue,C
27,1876,10.17076207574653,3,CornflowerBlue,C
28,1877,10.007794329070475,3,CornflowerBlue,C
29,1878,10.926644485310973,3,CornflowerBlue,C
30,1879,10.02632952734385,3,CornflowerBlue,C
31,1880,9.956675128300406,2,PowderBlue,B
32,1881,10.356962004713083,3,CornflowerBlue,C
33,1882,10.368504946143513,3,CornflowerBlue,C
34,1883,10.238455733594082,3,CornflowerBlue,C
35,1884,10.389502264874837,3,CornflowerBlue,C
36,1885,9.364470282145387,2,PowderBlue,B
37,1886,9.774597040886283,2,PowderBlue,B
38,1887,9.783641127222044,2,PowderBlue,B
39,1888,10.95313120155845,3,CornflowerBlue,C
40,1889,10.268430762356989,3,CornflowerBlue,C
41,1890,10.471797307769489,3,CornflowerBlue,C
42,1891,10.737344830851745,3,CornflowerBlue,C
43,1892,10.280170777558952,3,CornflowerBlue,C
44,1893,10.67233906995976,3,CornflowerBlue,C
45,1894,11.020299291269259,3,CornflowerBlue,C
46,1895,10.731578686055697,3,CornflowerBlue,C
47,1896,9.549092339942728,2,PowderBlue,B
48,1897,11.067221036953235,3,CornflowerBlue,C
49,1898,11.130075833673018,3,CornflowerBlue,C
50,1899,10.71551734064798,3,CornflowerBlue,C
51,1900,10.38054370013851,3,CornflowerBlue,C
52,1901,10.424460431629695,3,CornflowerBlue,C
53,1902,10.649725371974323,3,CornflowerBlue,C
54,1903,10.264464651424573,3,CornflowerBlue,C
55,1904,10.700844062936476,3,CornflowerBlue,C
56,1905,10.43010218608784,3,CornflowerBlue,C
57,1906,10.048482936097171,3,CornflowerBlue,C
58,1907,10.869547463958483,3,CornflowerBlue,C
59,1908,10.956598021569999,3,CornflowerBlue,C
60,1909,10.46415523723012,3,CornflowerBlue,C
61,1910,10.432936842409681,3,CornflowerBlue,C
62,1911,10.496940676515903,3,CornflowerBlue,C
63,1912,10.831359584278974,3,CornflowerBlue,C
64,1913,10.597937457636085,3,CornflowerBlue,C
65,1914,11.100796610782268,3,CornflowerBlue,C
66,1915,10.66124727646215,3,CornflowerBlue,C
67,1916,9.945375827980163,2,PowderBlue,B
68,1917,10.59606139852681,3,CornflowerBlue,C
