Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,5.457011571985697,2,PowderBlue,B
2,1851,4.753669612591907,1,LightTurquoise,A
3,1852,4.606749981575922,1,LightTurquoise,A
4,1853,4.710988710035567,1,LightTurquoise,A
5,1854,5.596463667578073,2,PowderBlue,B
6,1855,4.503533793561159,1,LightTurquoise,A
7,1856,5.118750433129361,2,PowderBlue,B
8,1857,4.542323805750518,1,LightTurquoise,A
9,1858,4.55043691376674,1,LightTurquoise,A
10,1859,4.954455056232823,1,LightTurquoise,A
11,1860,5.764497631567317,2,PowderBlue,B
12,1861,4.876427798985179,1,LightTurquoise,A
13,1862,5.196892799849467,2,PowderBlue,B
14,1863,5.232688054139975,2,PowderBlue,B
15,1864,4.563218931397041,1,LightTurquoise,A
16,1865,4.786368601529906,1,LightTurquoise,A
17,1866,4.64772834298121,1,LightTurquoise,A
18,1867,4.99237920552111,1,LightTurquoise,A
19,1868,5.336293746519212,2,PowderBlue,B
20,1869,5.1842935665941186,2,PowderBlue,B
21,1870,5.563279246450615,2,PowderBlue,B
22,1871,4.614961214861595,1,LightTurquoise,A
23,1872,4.5737496037778556,1,LightTurquoise,A
24,1873,5.215918128054591,2,PowderBlue,B
25,1874,5.9902989732218925,2,PowderBlue,B
26,1875,4.509310887233798,1,LightTurquoise,A
27,1876,5.1891440299239155,2,PowderBlue,B
28,1877,4.850075583195771,1,LightTurquoise,A
29,1878,4.921373487737284,1,LightTurquoise,A
30,1879,5.308994347371409,2,PowderBlue,B
31,1880,5.6295843322953765,2,PowderBlue,B
32,1881,4.936016110315348,1,LightTurquoise,A
33,1882,5.202054894099484,2,PowderBlue,B
34,1883,4.73029216553701,1,LightTurquoise,A
35,1884,4.834104141511154,1,LightTurquoise,A
36,1885,5.104703550212862,2,PowderBlue,B
37,1886,4.752147112565805,1,LightTurquoise,A
38,1887,4.898147770283048,1,LightTurquoise,A
39,1888,5.7174932410735755,2,PowderBlue,B
40,1889,5.305127090792046,2,PowderBlue,B
41,1890,5.976013048168367,2,PowderBlue,B
42,1891,5.087650973251407,2,PowderBlue,B
43,1892,4.632759657639711,1,LightTurquoise,A
44,1893,4.786931682659079,1,LightTurquoise,A
45,1894,6.22989572540185,2,PowderBlue,B
46,1895,4.913655569315308,1,LightTurquoise,A
47,1896,5.292899498980889,2,PowderBlue,B
48,1897,4.795643667615081,1,LightTurquoise,A
49,1898,4.708689876340189,1,LightTurquoise,A
50,1899,5.878695969278917,2,PowderBlue,B
51,1900,5.935733514032353,2,PowderBlue,B
52,1901,4.815874335858218,1,LightTurquoise,A
53,1902,5.206136147387462,2,PowderBlue,B
54,1903,5.182730389912296,2,PowderBlue,B
55,1904,5.6563771348850755,2,PowderBlue,B
56,1905,5.009889393874408,2,PowderBlue,B
57,1906,5.291521072139898,2,PowderBlue,B
58,1907,5.924443502958257,2,PowderBlue,B
59,1908,5.679227143830594,2,PowderBlue,B
60,1909,5.443685271156906,2,PowderBlue,B
61,1910,6.500321633875875,2,PowderBlue,B
62,1911,5.366418611498474,2,PowderBlue,B
63,1912,4.827826053931826,1,LightTurquoise,A
64,1913,5.634944262110523,2,PowderBlue,B
65,1914,6.701039325275882,2,PowderBlue,B
66,1915,5.855920873171908,2,PowderBlue,B
67,1916,6.184580992225184,2,PowderBlue,B
68,1917,5.6940152167412394,2,PowderBlue,B
69,1918,5.99616602133367,2,PowderBlue,B
70,1919,6.439401906481501,2,PowderBlue,B
71,1920,6.947089620951999,2,PowderBlue,B
72,1921,5.448209364372566,2,PowderBlue,B
73,1922,5.920645163881561,2,PowderBlue,B
74,1923,5.328275286943834,2,PowderBlue,B
75,1924,5.855906572175602,2,PowderBlue,B
76,1925,5.161722999076023,2,PowderBlue,B
77,1926,5.416802844597029,2,PowderBlue,B
78,1927,5.339066182399598,2,PowderBlue,B
79,1928,5.075977762229164,2,PowderBlue,B
80,1929,5.768817874948812,2,PowderBlue,B
81,1930,6.605041158343745,2,PowderBlue,B
82,1931,5.967910310736868,2,PowderBlue,B
83,1932,5.674252219943159,2,PowderBlue,B
84,1933,6.269274420085588,2,PowderBlue,B
85,1934,6.343835563824035,2,PowderBlue,B
86,1935,6.703702341536062,2,PowderBlue,B
87,1936,6.442501490293708,2,PowderBlue,B
88,1937,6.369991805887536,2,PowderBlue,B
89,1938,5.78341738944369,2,PowderBlue,B
90,1939,5.961197559496015,2,PowderBlue,B
91,1940,6.074181904768292,2,PowderBlue,B
92,1941,5.5587790470719645,2,PowderBlue,B
93,1942,6.083000809322676,2,PowderBlue,B
94,1943,5.600566867865977,2,PowderBlue,B
95,1944,6.075775823893483,2,PowderBlue,B
96,1945,4.984431608766485,1,LightTurquoise,A
97,1946,5.775327110838596,2,PowderBlue,B
98,1947,5.4367633102912,2,PowderBlue,B
99,1948,4.974470845151188,1,LightTurquoise,A
100,1949,6.438948409355899,2,PowderBlue,B
101,1950,7.044036937720183,2,PowderBlue,B
102,1951,6.192638172276792,2,PowderBlue,B
103,1952,7.0873028295457905,2,PowderBlue,B
104,1953,7.228367640535984,2,PowderBlue,B
105,1954,6.07912546158013,2,PowderBlue,B
106,1955,5.793424048830971,2,PowderBlue,B
107,1956,5.553040283960664,2,PowderBlue,B
108,1957,6.499769971700386,2,PowderBlue,B
109,1958,6.112649639925476,2,PowderBlue,B
110,1959,6.527833630520739,2,PowderBlue,B
111,1960,6.3219237441799985,2,PowderBlue,B
112,1961,6.329819171363133,2,PowderBlue,B
113,1962,6.407177707089929,2,PowderBlue,B
114,1963,7.154004521765563,2,PowderBlue,B
115,1964,6.555320472110112,2,PowderBlue,B
116,1965,6.219773919139957,2,PowderBlue,B
117,1966,6.691907248972317,2,PowderBlue,B
118,1967,6.955445489436095,2,PowderBlue,B
119,1968,7.905835962322104,2,PowderBlue,B
120,1969,6.683024514477986,2,PowderBlue,B
121,1970,7.655621820249851,2,PowderBlue,B
122,1971,7.9536050478065965,2,PowderBlue,B
123,1972,8.218732025639424,2,PowderBlue,B
124,1973,8.190387058540999,2,PowderBlue,B
