Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,34.66754415663108,6,Dandelion,F
2,1851,37.99433314441432,6,Dandelion,F
3,1852,35.95696121165583,6,Dandelion,F
4,1853,33.378303476762014,6,Dandelion,F
5,1854,39.110671774825256,6,Dandelion,F
6,1855,37.37154334388668,6,Dandelion,F
7,1856,36.90356007401346,6,Dandelion,F
8,1857,38.45338656267637,6,Dandelion,F
9,1858,35.5546987606626,6,Dandelion,F
10,1859,36.178149019139056,6,Dandelion,F
11,1860,40.18533975001959,7,Tangerine,G
12,1861,38.10159662030777,6,Dandelion,F
13,1862,35.35815887679551,6,Dandelion,F
14,1863,32.36469523904516,6,Dandelion,F
15,1864,32.45550558608166,6,Dandelion,F
16,1865,37.80287522263507,6,Dandelion,F
17,1866,36.68438133178279,6,Dandelion,F
18,1867,37.357720240837274,6,Dandelion,F
19,1868,35.49147305934745,6,Dandelion,F
20,1869,39.73836977282216,6,Dandelion,F
21,1870,37.590398110553636,6,Dandelion,F
22,1871,34.25198725391291,6,Dandelion,F
23,1872,34.37794391770871,6,Dandelion,F
24,1873,35.6056145424609,6,Dandelion,F
25,1874,34.81254191054008,6,Dandelion,F
26,1875,36.967259828194294,6,Dandelion,F
27,1876,36.76591882141249,6,Dandelion,F
28,1877,34.842215814791096,6,Dandelion,F
29,1878,37.02616999788431,6,Dandelion,F
30,1879,36.66327971307548,6,Dandelion,F
31,1880,37.02333722064045,6,Dandelion,F
32,1881,38.75563278627487,6,Dandelion,F
33,1882,38.76020504248533,6,Dandelion,F
34,1883,34.132174559734274,6,Dandelion,F
35,1884,35.20011321341814,6,Dandelion,F
36,1885,35.790122072805545,6,Dandelion,F
37,1886,36.85227246653656,6,Dandelion,F
38,1887,37.11093432476877,6,Dandelion,F
39,1888,34.38035274068579,6,Dandelion,F
40,1889,36.3984972130217,6,Dandelion,F
41,1890,35.73173334148127,6,Dandelion,F
42,1891,36.985065094319,6,Dandelion,F
43,1892,36.06033335807232,6,Dandelion,F
44,1893,37.352171261769,6,Dandelion,F
45,1894,34.454200040346464,6,Dandelion,F
46,1895,37.39596459226541,6,Dandelion,F
47,1896,35.40554183801097,6,Dandelion,F
48,1897,37.08968077609402,6,Dandelion,F
49,1898,33.901034476902325,6,Dandelion,F
50,1899,38.982524830470496,6,Dandelion,F
51,1900,36.475876052754835,6,Dandelion,F
52,1901,33.92469338320047,6,Dandelion,F
53,1902,35.84288559060575,6,Dandelion,F
54,1903,35.579009951279474,6,Dandelion,F
55,1904,37.91773232885431,6,Dandelion,F
56,1905,35.07842363330786,6,Dandelion,F
57,1906,37.08730242643289,6,Dandelion,F
58,1907,36.81480872293735,6,Dandelion,F
59,1908,36.98760577433218,6,Dandelion,F
60,1909,35.18550885455871,6,Dandelion,F
61,1910,37.60113327080712,6,Dandelion,F
62,1911,36.06180842292952,6,Dandelion,F
63,1912,38.7066153366398,6,Dandelion,F
64,1913,36.587486508922034,6,Dandelion,F
65,1914,39.14703683082967,6,Dandelion,F
66,1915,38.16959633022489,6,Dandelion,F
67,1916,39.510893364125735,6,Dandelion,F
68,1917,36.387737207068504,6,Dandelion,F
69,1918,37.2843201649717,6,Dandelion,F
70,1919,36.142334493698066,6,Dandelion,F
71,1920,37.780351018215136,6,Dandelion,F
72,1921,38.10661479948674,6,Dandelion,F
73,1922,37.323095586543836,6,Dandelion,F
74,1923,36.60087194612734,6,Dandelion,F
75,1924,36.66995595412117,6,Dandelion,F
76,1925,36.59234323986225,6,Dandelion,F
77,1926,39.46120461162805,6,Dandelion,F
78,1927,38.7966024330636,6,Dandelion,F
79,1928,39.04966481668172,6,Dandelion,F
80,1929,41.604858059712804,7,Tangerine,G
81,1930,39.66484489906855,6,Dandelion,F
82,1931,39.727187144491566,6,Dandelion,F
83,1932,38.451786947580835,6,Dandelion,F
84,1933,39.48313014104739,6,Dandelion,F
85,1934,36.99144187041026,6,Dandelion,F
86,1935,38.935179425926336,6,Dandelion,F
87,1936,36.99528705395191,6,Dandelion,F
88,1937,42.85831988729828,7,Tangerine,G
89,1938,43.216583355678,7,Tangerine,G
90,1939,38.15720430352482,6,Dandelion,F
91,1940,36.5713434081054,6,Dandelion,F
92,1941,36.722313366658184,6,Dandelion,F
93,1942,38.70488161936297,6,Dandelion,F
94,1943,38.848285601387644,6,Dandelion,F
95,1944,39.2159996667055,6,Dandelion,F
96,1945,38.6237126197637,6,Dandelion,F
97,1946,39.50773230189472,6,Dandelion,F
98,1947,40.27910721720621,7,Tangerine,G
