Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,14.4400834613339,3,CornflowerBlue,C
2,1851,14.956506625866673,3,CornflowerBlue,C
3,1852,15.069141923597218,4,LightYellow,D
4,1853,14.46945603111919,3,CornflowerBlue,C
5,1854,14.386404492983154,3,CornflowerBlue,C
6,1855,12.764675986496766,3,CornflowerBlue,C
7,1856,13.495761075883658,3,CornflowerBlue,C
8,1857,14.417110651376246,3,CornflowerBlue,C
9,1858,13.17698850851799,3,CornflowerBlue,C
10,1859,13.547506426599352,3,CornflowerBlue,C
11,1860,14.432737874213652,3,CornflowerBlue,C
12,1861,14.542863421630416,3,CornflowerBlue,C
13,1862,13.787324516226944,3,CornflowerBlue,C
14,1863,13.82066254812101,3,CornflowerBlue,C
15,1864,14.99726880199751,3,CornflowerBlue,C
16,1865,13.971420375133533,3,CornflowerBlue,C
17,1866,14.425506314597552,3,CornflowerBlue,C
18,1867,14.931243660884515,3,CornflowerBlue,C
19,1868,15.23475686477086,4,LightYellow,D
20,1869,14.22656817070779,3,CornflowerBlue,C
21,1870,13.983595438644846,3,CornflowerBlue,C
22,1871,13.543257465830884,3,CornflowerBlue,C
23,1872,13.457561404114537,3,CornflowerBlue,C
24,1873,14.783471675209402,3,CornflowerBlue,C
25,1874,15.062782845459413,4,LightYellow,D
26,1875,15.04900922852886,4,LightYellow,D
27,1876,15.602967546199926,4,LightYellow,D
28,1877,15.122641993971813,4,LightYellow,D
29,1878,14.974654169452243,3,CornflowerBlue,C
30,1879,15.634405141965669,4,LightYellow,D
31,1880,15.247192745075484,4,LightYellow,D
32,1881,14.052870987805434,3,CornflowerBlue,C
33,1882,15.700548771307234,4,LightYellow,D
34,1883,15.763354778337197,4,LightYellow,D
35,1884,15.080396948232037,4,LightYellow,D
36,1885,15.556034371389984,4,LightYellow,D
37,1886,16.38069975434488,4,LightYellow,D
38,1887,16.166583362671663,4,LightYellow,D
39,1888,17.40336155886622,4,LightYellow,D
40,1889,15.689208558036821,4,LightYellow,D
41,1890,16.006139510451668,4,LightYellow,D
42,1891,15.588725641858508,4,LightYellow,D
43,1892,17.493800186495484,4,LightYellow,D
44,1893,15.904354769513363,4,LightYellow,D
45,1894,16.248923286731834,4,LightYellow,D
46,1895,17.82258669710626,4,LightYellow,D
47,1896,17.70413679864746,4,LightYellow,D
48,1897,16.329201820597557,4,LightYellow,D
49,1898,15.94667431791575,4,LightYellow,D
50,1899,16.783608338328886,4,LightYellow,D
51,1900,18.987825670306197,4,LightYellow,D
52,1901,16.517663995036227,4,LightYellow,D
53,1902,16.9072712989954,4,LightYellow,D
54,1903,17.458077656902326,4,LightYellow,D
55,1904,17.37511582219424,4,LightYellow,D
56,1905,18.15028564027149,4,LightYellow,D
57,1906,16.94677293210333,4,LightYellow,D
58,1907,18.05223670044286,4,LightYellow,D
59,1908,16.231859393675652,4,LightYellow,D
60,1909,17.630496884496527,4,LightYellow,D
61,1910,17.965369920285088,4,LightYellow,D
62,1911,17.54087401497393,4,LightYellow,D
63,1912,18.20544841062142,4,LightYellow,D
64,1913,18.08143203208392,4,LightYellow,D
65,1914,17.96582434446925,4,LightYellow,D
66,1915,17.62722742122661,4,LightYellow,D
67,1916,18.96848754620918,4,LightYellow,D
