Row Number,Year,PM Data,Levels Value,Yarn Colour,Yarn Letter
1,1850,12.760411071349543,3,CornflowerBlue,C
2,1851,11.6767356211559,3,CornflowerBlue,C
3,1852,12.327309853221259,3,CornflowerBlue,C
4,1853,12.382403538827733,3,CornflowerBlue,C
5,1854,11.8534905544238,3,CornflowerBlue,C
6,1855,12.628269646934465,3,CornflowerBlue,C
7,1856,13.30907941953924,3,CornflowerBlue,C
8,1857,12.477537662022058,3,CornflowerBlue,C
9,1858,12.985306021902586,3,CornflowerBlue,C
10,1859,13.698825309346336,3,CornflowerBlue,C
11,1860,12.384232598106406,3,CornflowerBlue,C
12,1861,14.196878629408385,3,CornflowerBlue,C
13,1862,13.53968866597849,3,CornflowerBlue,C
14,1863,13.40052737575493,3,CornflowerBlue,C
15,1864,14.728734771711462,3,CornflowerBlue,C
16,1865,13.667384236804287,3,CornflowerBlue,C
17,1866,13.776390020726003,3,CornflowerBlue,C
18,1867,13.283399141361796,3,CornflowerBlue,C
19,1868,13.87203290391292,3,CornflowerBlue,C
20,1869,13.425266845953118,3,CornflowerBlue,C
21,1870,13.505815713861374,3,CornflowerBlue,C
22,1871,14.541543704696466,3,CornflowerBlue,C
23,1872,14.364736330201595,3,CornflowerBlue,C
24,1873,14.480881592660952,3,CornflowerBlue,C
25,1874,15.010939367164731,4,LightYellow,D
26,1875,14.98197486660893,3,CornflowerBlue,C
27,1876,15.045333778276545,4,LightYellow,D
28,1877,15.51519404786371,4,LightYellow,D
29,1878,14.834626755330063,3,CornflowerBlue,C
30,1879,14.63766555755148,3,CornflowerBlue,C
31,1880,16.733902309283078,4,LightYellow,D
32,1881,14.72783730487546,3,CornflowerBlue,C
33,1882,15.76167182221417,4,LightYellow,D
34,1883,16.189700132067365,4,LightYellow,D
35,1884,15.969594097545276,4,LightYellow,D
36,1885,16.7161828042208,4,LightYellow,D
37,1886,16.15819361042026,4,LightYellow,D
38,1887,15.377554605449866,4,LightYellow,D
39,1888,16.042285240245693,4,LightYellow,D
40,1889,16.580282599800473,4,LightYellow,D
41,1890,16.679865559861792,4,LightYellow,D
42,1891,16.34243959150333,4,LightYellow,D
43,1892,16.848921578961804,4,LightYellow,D
44,1893,16.56157664560655,4,LightYellow,D
45,1894,17.845591983226743,4,LightYellow,D
46,1895,18.861206724161775,4,LightYellow,D
47,1896,16.895903942222596,4,LightYellow,D
48,1897,19.180755552347204,4,LightYellow,D
49,1898,18.473253013137285,4,LightYellow,D
50,1899,19.12423421066169,4,LightYellow,D
51,1900,19.448225207821682,4,LightYellow,D
52,1901,19.556295849169352,4,LightYellow,D
53,1902,18.597047671009587,4,LightYellow,D
54,1903,19.493487801718164,4,LightYellow,D
55,1904,19.99209011790936,4,LightYellow,D
56,1905,20.654422509469764,5,Vanilla,E
57,1906,19.342268761407,4,LightYellow,D
58,1907,21.95563854277204,5,Vanilla,E
59,1908,22.822054928698268,5,Vanilla,E
60,1909,22.014829402203485,5,Vanilla,E
61,1910,22.749434595434835,5,Vanilla,E
62,1911,21.651615623290642,5,Vanilla,E
63,1912,23.134743107245974,5,Vanilla,E
64,1913,24.38078229550021,5,Vanilla,E
65,1914,20.63441148601942,5,Vanilla,E
66,1915,19.41567103496804,4,LightYellow,D
67,1916,18.606347110652898,4,LightYellow,D
68,1917,18.05557509517706,4,LightYellow,D
69,1918,17.092811257527828,4,LightYellow,D
70,1919,16.358555887495744,4,LightYellow,D
71,1920,18.181538262361634,4,LightYellow,D
72,1921,18.154686480817322,4,LightYellow,D
73,1922,18.475367425194552,4,LightYellow,D
74,1923,18.76601749663709,4,LightYellow,D
75,1924,20.332505803737742,5,Vanilla,E
76,1925,19.365836420013455,4,LightYellow,D
77,1926,19.812590689677755,4,LightYellow,D
78,1927,20.3069528448797,5,Vanilla,E
79,1928,19.89672495257622,4,LightYellow,D
80,1929,20.912179550251924,5,Vanilla,E
81,1930,20.29617352770057,5,Vanilla,E
82,1931,20.242240778997008,5,Vanilla,E
83,1932,18.549486441496047,4,LightYellow,D
84,1933,18.32231061514893,4,LightYellow,D
85,1934,20.12281244097019,5,Vanilla,E
86,1935,20.42845801871997,5,Vanilla,E
87,1936,20.76977063262272,5,Vanilla,E
